P,Q,A,Y
-4.472996968909508,3,1,0
9.887026962261992,2,1,1
10.342066894315428,1,1,1
6.7770658155751295,2,0,1
7.813366155150593,2,0,0
2.0947355249300452,1,0,1
0.276835146372562,0,1,1
6.345573140958008,3,1,0
7.176239956034404,1,0,1
1.6862417871140996,1,0,0
3.702834362948739,1,0,0
10.413961670876208,2,1,1
10.924719841835037,1,1,1
7.718304101930496,1,1,1
7.7236390272113,1,0,1
2.8867147210304274,0,1,1
9.819516931548584,0,1,1
5.098040805792285,1,1,1
10.822511919191712,1,0,1
-6.081106013991535,3,1,0
11.381114113256547,3,0,0
9.34302183545566,1,1,1
3.893130316950024,1,1,0
11.709565963853436,2,0,1
4.781384059431351,1,0,1
8.36310039626131,1,0,1
6.9800968970773685,2,0,0
12.852740914732768,2,1,1
1.5948813890827565,1,0,0
2.9434537582810516,3,0,0
4.765687580045853,2,0,0
4.521699349602723,1,0,1
6.331006076013148,1,1,0
3.704797538175827,1,0,0
14.916486299554167,1,0,1
-1.7239163101039083,3,1,0
6.866950045561761,3,0,0
3.791252218273323,2,1,0
13.385609342520612,1,0,1
1.9917255997616703,3,0,0
1.7792743373373177,2,1,1
8.322736030082828,2,1,1
0.2124405665253252,1,0,0
2.963236339090732,1,0,0
3.243780501438124,3,1,0
9.645504299003347,3,1,1
9.668193803858928,2,0,1
3.6531565330115505,2,1,0
9.2013581060432,3,1,1
15.425041380240677,1,0,1
-0.0637489592058209,2,1,0
-1.4835112982508436,1,1,0
10.10980007571256,2,1,0
3.688335310803226,0,0,1
3.2300311879377928,0,0,0
3.15541165239522,1,0,0
5.269907706779899,1,0,0
5.254355806252306,2,0,0
-0.0457092914053776,3,1,0
3.603738322501185,1,0,0
2.380500534676883,1,1,0
0.1742831940383133,0,0,1
-2.039000055186088,3,0,0
16.821793764716457,1,1,1
8.907576660648052,1,1,1
13.824447072353369,1,0,1
-1.8008537651939784,2,1,0
-0.8200888750685297,0,1,0
11.637488358292511,1,1,1
2.7571763382597707,2,0,0
-1.552955599375217,1,1,0
-0.7323951043946857,2,1,0
-1.5652530367128343,2,0,0
8.820884444987412,2,1,1
15.52459694254473,1,0,1
5.821015742702558,2,0,0
4.101549509643828,1,0,0
4.3187123446696525,2,1,0
7.895644797933831,2,0,1
-0.4204145096822105,1,1,0
4.794144077682652,3,0,0
5.935538987811054,1,0,0
0.0165287797676401,0,0,1
3.676857977309555,1,0,1
3.3503975949156626,1,0,0
1.420516624330575,2,0,0
9.652612259764412,1,0,1
-2.1975902435073085,0,1,0
5.357249473956461,2,1,1
13.041111491911629,3,1,1
0.7416846712029507,1,0,0
14.5977715098923,3,1,1
1.6565420628974676,1,0,0
-0.4155543706959048,1,1,0
5.341814195544751,1,0,1
1.6987995072862965,3,1,0
1.3191595306048498,1,1,0
12.241115522584616,2,0,1
5.112249902459668,2,0,1
2.6727875995533426,1,1,0
-0.1481115567929483,2,1,1
5.686765911384929,2,0,0
0.038152460572991,2,1,0
2.1350503594964048,1,0,0
10.16976789726164,0,1,1
1.0893690798887892,2,1,0
9.830497050375284,2,0,1
11.620107525935245,3,1,1
-1.4566780850449152,1,1,0
2.8083761845292514,1,1,1
5.825935099206709,1,0,1
13.945792011341387,1,1,1
0.6459310203542709,1,1,0
2.9285940023473604,1,0,0
4.658144854078147,1,1,0
-0.1581964949772687,2,1,0
4.815103366902755,1,0,1
5.65129815576588,2,1,1
-0.6616980404565689,1,1,0
4.90119291510626,0,0,1
3.609992080895316,0,0,1
5.81270659281575,2,0,0
0.106569311511886,2,1,0
16.842598982159213,0,0,1
-2.963143760112848,0,0,0
1.8019116037383096,3,0,0
11.64437288185439,1,1,1
12.541315493146907,2,0,1
10.455317977730951,2,0,1
1.5021110078016071,1,1,0
7.24001363385894,3,0,0
4.260743084289398,3,1,0
0.4134026414305825,1,0,0
7.234947337498177,3,0,1
8.772039524430166,1,0,1
3.840168764614824,2,0,1
0.8041690427359518,2,0,0
7.766025791165902,1,1,1
4.449021733855647,2,1,0
6.480261841604415,2,1,0
1.951176827297512,2,0,0
2.836254403833313,1,1,1
7.799599697707297,0,0,1
-0.8785598041570488,3,1,0
-0.9155706816478836,0,1,1
1.3222631083336205,1,1,0
-0.8922927794914797,1,1,1
2.0193149552793015,2,1,0
2.5268233635257653,1,0,0
6.929255092731825,1,0,1
9.959837619114031,0,0,1
11.589259709170015,3,0,0
12.201828787242334,0,1,1
4.946466373655074,1,1,1
1.2506829326390865,2,0,0
-1.2034353387332837,1,1,0
-3.3527025440395137,2,1,0
5.535827725369169,0,1,1
0.9898832565810568,2,0,0
2.72277197959548,0,1,1
-0.4762761263233133,0,1,0
9.271510406234686,1,0,1
5.381857527316357,2,1,0
-0.2223653320432177,3,1,0
2.7338945622177415,1,0,0
7.264277859231338,2,1,0
2.9706980697663132,2,0,0
8.80047494437959,2,1,1
5.836975927033587,1,0,1
0.8753764591667135,2,0,0
6.581112155764876,1,0,1
1.00977670264374,1,1,0
4.720880974683381,3,0,0
-1.704867214384369,1,1,0
9.112981335765747,1,1,1
-7.196991407568679,2,1,0
1.680923089233266,3,1,0
-0.3702669765602353,0,1,0
6.6591208506408375,2,1,1
19.637138155118727,1,1,1
2.842778030272676,1,0,0
1.988554379150755,2,1,0
2.0219899688974325,1,0,0
3.931107377521037,1,1,1
6.091733817664692,2,0,0
0.7361203772654494,2,1,0
1.4177660115931696,3,1,0
8.290121260064698,1,1,1
9.47033717119833,2,0,1
5.053634063607666,2,0,0
5.132301398910759,2,1,1
-0.070734797115664,1,1,0
4.257454560038709,3,0,0
10.075130865921167,3,0,0
1.4532111733555118,2,0,0
0.4752285013977548,2,1,0
3.2608149310614163,2,1,0
0.4473965981114167,1,1,0
3.50596114515898,2,0,0
5.8978446411154755,2,0,1
12.948557572587948,1,0,1
8.759432315434653,3,0,1
3.5271853661230947,1,1,0
-1.145843299387255,1,1,0
12.811336861415365,2,1,1
9.134339597503647,2,0,1
5.042390842567086,1,1,1
4.342696719481986,1,0,1
0.6215363851714624,1,0,0
8.265880560325668,2,1,1
9.6409712764139,2,1,1
2.1582215612210742,2,0,0
1.370978537928628,2,1,0
6.162884589980585,2,0,1
14.218369711150036,3,0,0
8.89529403830367,2,0,0
5.728031435898706,2,1,1
2.519786482643222,0,1,1
6.0539635631516,1,1,1
-1.837351704191959,1,0,0
-3.0132608289216267,0,1,0
7.370292689527724,1,0,1
7.191844047042419,2,1,1
2.0335753936680323,3,1,0
-3.3843844569186876,1,1,0
10.214228046214808,1,1,1
3.964131411735312,2,0,0
3.4758147835776563,2,0,1
5.415885427568099,2,1,1
7.923545541198967,1,1,1
0.2247945340849104,1,1,0
1.9211974745372944,2,1,0
10.292831756480634,1,1,1
-4.067390211042747,1,1,0
4.160188257954081,1,0,1
14.492663495685225,2,0,1
10.186159460677391,1,0,1
2.4231705463882545,2,1,0
3.862871472201584,2,1,1
10.51735489307241,2,0,1
3.07308196250054,0,1,1
5.2531675209341095,2,1,0
31.796631135939688,3,1,1
12.454083471114163,2,0,1
5.82834730674519,3,0,0
1.9456526112280903,2,0,0
0.7399135563931813,2,1,0
0.4332541264618004,2,0,0
5.656096248886583,1,0,0
6.962637563246767,2,1,1
0.0068774556121897,2,1,0
5.908969357548778,2,0,0
7.222312282392335,0,1,1
3.98749813946933,2,0,0
9.776071615948233,1,1,1
11.661468131260872,0,1,1
-0.9543009576462124,2,1,0
12.758957358225052,1,1,1
18.2798337233052,1,1,1
4.7702880015507985,1,1,0
1.146537390082313,2,1,0
5.136680930460758,2,0,0
3.9692176724842776,2,0,0
12.313189464874757,1,0,1
7.390459574999087,1,0,0
4.911921162420405,1,1,1
7.0596519682932515,1,1,1
2.8909496267116483,1,1,0
2.0647237814208204,0,1,0
17.66977307500982,2,0,1
4.73923931480695,2,0,0
0.0790021848599584,1,0,0
3.131384168213626,2,1,0
11.447125768486533,3,0,1
4.541481647175668,1,1,1
5.533487422686627,1,0,1
4.2718487094427875,2,0,0
3.742966191798431,1,0,1
6.484175362272852,1,0,0
3.639654060293025,1,0,1
6.876854045767249,0,0,1
8.089143194240801,3,1,0
3.040846302819795,3,1,0
4.442115132928537,1,1,1
7.0019699822186166,2,0,0
1.647954687026787,2,0,0
12.311165940504,0,0,1
-0.1943764491386563,1,1,0
3.510622507515884,2,1,0
