R,Q,A,Y
0.435518503329348,3,1,0
9.023314560745266,2,1,1
11.35199579139842,1,1,1
9.52314348029448,2,0,1
7.763201259727468,2,0,1
3.594415791038286,1,0,1
2.1668189267464797,0,1,0
3.854650847314715,3,1,0
3.865387551681347,1,0,1
0.6997136074500991,1,0,0
2.9858741551264205,1,0,1
11.465044261499116,2,1,1
8.930161988497463,1,1,1
5.414952527602283,1,1,1
6.136976957184384,1,0,1
3.5641701491774276,0,1,1
6.678160158542797,0,1,1
5.007505519101491,1,1,1
11.373410945882393,1,0,1
-1.5710851178201293,3,1,0
10.154917330936598,3,0,1
7.633082298654541,1,1,1
4.9612102625809555,1,1,0
9.587384715030758,2,0,1
5.423822051906439,1,0,1
6.79734536591777,1,0,1
7.082394813038601,2,0,1
9.8854654996321,2,1,1
3.117473195038813,1,0,0
3.0057709254608524,3,0,0
5.160181604507018,2,0,0
7.015070568237263,1,0,1
6.894220504921554,1,1,0
4.156610387726937,1,0,0
10.40124502445334,1,0,1
-0.3495412096773178,3,1,0
6.402929837242172,3,0,0
-0.3705755106093367,2,1,0
15.551438902132825,1,0,1
4.853036294563522,3,0,0
3.3026133003821068,2,1,1
7.924817355624864,2,1,1
4.787935482770691,1,0,1
4.978495977371066,1,0,1
4.079060457821903,3,1,0
8.813920837192512,3,1,1
10.24924747267996,2,0,1
0.0713547707787425,2,1,0
5.870009268346761,3,1,1
9.967182629826992,1,0,1
2.267981050963969,2,1,0
2.241230350120029,1,1,0
6.897397388955527,2,1,0
2.7577911190489237,0,0,1
1.442327064878374,0,0,0
1.1688293692742309,1,0,0
1.6248391614991378,1,0,0
6.213604375277218,2,0,0
2.5339249760466576,3,1,0
5.906758349975017,1,0,1
1.006958698895708,1,1,0
3.60560988782419,0,0,1
0.6237435920068249,3,0,0
20.334434298988164,1,1,1
9.26213361322365,1,1,1
14.857264047609462,1,0,1
-1.2769226570632202,2,1,0
-0.673518707172684,0,1,0
13.309042787210917,1,1,1
2.4761665936693045,2,0,0
1.7314111105608303,1,1,0
0.750428746583184,2,1,0
1.4343563068333118,2,0,0
9.193907463858617,2,1,1
12.57141061355821,1,0,1
3.631369837843001,2,0,0
2.9328729539729887,1,0,0
4.384382845969192,2,1,0
6.92141448085969,2,0,1
0.0604897811435098,1,1,0
4.362882005572336,3,0,0
2.508156150524542,1,0,0
1.2084414186642418,0,0,1
3.865175683148323,1,0,1
1.781564890510406,1,0,0
