R,Q,A,Y
1.0567757633780144,1,0,0
4.932461940602252,2,0,1
6.153589281097394,1,0,1
15.853266354851726,1,0,1
5.491988532622276,2,0,0
2.756338316366111,2,0,0
0.8741442766509864,1,0,0
7.771112706003584,2,0,1
-2.615617154030808,2,1,0
2.389334706273644,1,0,0
5.783866180720974,1,0,1
8.615981561122608,1,0,1
18.807684522993434,2,0,1
13.095530602450586,2,0,1
5.741140554234001,1,0,1
8.093715034512641,2,0,1
5.218941816081944,3,0,0
0.1344694010789743,1,0,0
2.6114822324498173,3,0,0
0.7038157960915828,0,0,0
15.156502650373945,2,0,1
7.514522220869978,2,0,1
2.5780105000565063,1,0,0
7.111053345051875,3,0,0
10.522663856692557,1,0,1
5.297880403758539,2,0,1
2.6967311880054203,3,0,0
14.438765231860394,0,0,1
9.153762419741764,2,0,1
2.863695120182989,1,0,1
6.789589677322217,2,0,1
12.061769831279925,3,0,1
3.365306563987118,1,0,0
6.638729425250963,2,0,0
1.0808511557061746,3,0,0
6.127763898824542,3,0,0
-6.596858855365959,1,1,0
4.903696005096843,2,0,1
2.937539770807553,0,0,0
2.760245228276547,1,0,1
0.2912435960557827,1,0,0
3.734630519739464,1,0,1
2.5574980820154365,1,0,0
2.4365755759025225,3,0,0
6.490768444868321,2,0,0
3.748573698234254,2,0,0
4.097602208742298,1,0,0
4.251632644036306,3,0,0
1.962596650532556,3,0,0
2.8534950023301033,1,0,0
8.67854231241864,2,0,1
10.091193377280195,3,0,1
0.5065885361877119,1,0,0
16.251554350821632,1,0,1
11.719477534982008,1,0,1
5.133441560231339,0,0,1
6.660662617180174,2,0,0
7.751696135806632,2,0,1
1.5392373244728632,2,0,0
2.272209562531793,1,0,0
6.426441321395762,2,0,1
5.893127085663899,1,0,1
5.426658625753586,1,0,0
16.360124668706977,2,0,1
4.198671682189315,1,0,0
5.161189345997278,2,0,0
3.8536709585396896,2,0,0
3.921097526946596,1,0,1
6.647746511969978,1,0,1
6.2322704384933045,2,0,0
3.883621180509481,2,0,0
3.2425168694589095,2,0,0
4.251201766492148,3,0,0
7.554257642023975,3,0,0
4.738864288737108,1,0,1
4.351051166664051,1,0,0
2.6258004715021563,2,0,0
3.626403284949522,2,0,0
5.259390732787153,3,0,0
1.2458463830907625,2,0,0
5.127477957124332,2,0,1
9.788706347950816,2,0,1
0.550871918519851,0,0,0
2.762019451483244,1,0,0
-4.853149246887139,2,1,0
4.822962655298373,1,0,1
5.388533751664632,0,0,1
4.574419172275871,3,0,0
10.306713036618689,2,0,0
4.5004812788915185,1,0,1
5.5900163672202225,0,0,1
3.924081654435115,1,0,0
10.457945218738674,0,0,1
1.4786759465917665,1,0,0
5.1099412570345715,1,0,0
3.552923649317112,3,0,0
3.200904365555208,1,0,0
6.186302047907317,2,0,1
9.898625528073184,3,0,1
9.550512714346466,1,0,1
4.3356198562945,2,0,0
4.518515473161919,3,0,0
1.872925737785469,1,0,0
3.3284817223088385,2,0,0
2.9357088010681687,2,0,0
5.002645012719934,1,0,1
6.260547424358107,1,0,0
3.6821098080296832,0,0,1
5.601283230412168,3,0,0
1.791533002282507,2,0,0
1.8916078270724264,1,0,0
5.206785530128573,0,0,1
2.7845321041248767,2,0,0
6.0948730655267385,3,0,0
2.3540855363712803,2,0,0
3.645769615150904,3,0,0
11.673868635828953,2,0,1
2.4205107777055046,2,0,0
5.755005269435468,2,0,0
5.041529470658077,0,0,1
3.0855066729395304,1,0,0
12.011479669806295,3,0,1
1.3302595904535122,1,0,0
5.737577530312582,2,0,1
3.493539722560758,2,0,0
7.932576756016554,1,0,1
5.426726318361098,0,0,1
7.723688193874669,1,0,1
6.219074149177991,0,0,1
14.857264047609462,1,0,1
11.039440276333936,1,0,1
2.7577911190489237,0,0,1
4.657498516298888,2,0,0
3.2510496607990547,2,0,0
2.7402404949364096,2,0,0
2.9960309831636733,3,0,0
8.119736710572171,2,0,1
0.4875886853321375,3,0,0
3.9243217911485537,1,0,0
7.367477104190073,2,0,1
2.9523525571580507,1,0,0
5.128992357135889,0,0,1
12.33454214826461,2,0,1
4.911954294578896,3,0,0
2.353856197851554,2,0,0
2.6874983570589928,2,0,0
11.100239433031655,3,0,0
11.610343365834163,2,0,1
4.841094263934722,3,0,0
3.9532241434175655,2,0,0
4.20022470931864,2,0,0
31.013794631763723,3,0,1
16.45327417770019,0,0,1
6.861953904389355,3,0,1
9.972766280867765,2,0,1
6.806298245874071,2,0,1
0.8427855461234182,1,0,0
3.981621820750156,1,0,0
1.059346642072981,2,0,0
7.765352439472192,2,0,1
0.542447329936354,3,0,0
-3.6145174785633607,1,1,0
2.7234378589387944,2,0,0
9.317042283884383,2,0,0
4.0498609234571745,0,0,1
6.003738444097287,2,0,0
7.001523590757759,3,0,0
18.93598676864731,1,0,1
4.76034732737378,2,0,1
11.011343229537957,2,0,1
2.530430989616251,2,0,0
5.183137794333852,2,0,0
1.56180312794984,0,0,0
4.137748049263724,2,0,0
8.866583549510613,2,0,0
6.311007265066037,3,0,0
1.1537675929448872,1,0,0
11.613874690109576,2,0,1
3.959021164682216,2,0,0
3.2499555297189335,3,0,0
11.215788976198168,3,0,0
2.8235598694653605,2,0,0
8.191875723587485,2,0,1
3.209152179067617,1,0,0
12.122846213717832,2,0,1
1.4641387008495386,1,0,0
1.6544451708565329,1,0,0
5.327478240229663,2,0,0
3.2482188360294657,1,0,1
3.687149188133083,2,0,0
8.942581586602104,0,0,1
3.9761324213690177,1,0,0
5.23691708335567,1,0,0
13.666299895569637,1,0,1
5.205930787008249,2,0,1
6.9267645083657285,2,0,0
5.663685344376562,2,0,1
8.725672973831998,2,0,1
13.553214686838016,2,0,1
11.416220022448927,2,0,1
3.338388098417573,2,0,0
10.053721226040158,2,0,1
8.156795814092757,2,0,1
9.71765052979649,1,0,1
6.557207054554314,2,0,0
11.030053565282374,2,0,1
6.599278046028605,3,0,0
2.0424557518243396,3,0,0
8.593494336206966,1,0,1
6.999163799944089,3,0,0
9.691319759904054,1,0,1
1.1556450948738106,1,0,0
2.4179270327961784,0,0,1
1.407305291373345,1,0,0
10.514437668084888,1,0,1
1.213297600722902,1,0,0
3.902764792968667,1,0,0
2.250299869441227,1,0,0
10.023208012368102,2,0,0
3.505330040156594,3,0,0
7.2014203883958805,3,0,0
6.1145641574309035,2,0,1
8.895550661213226,3,0,0
3.8969711684367248,2,0,0
4.535945681464053,1,0,0
2.1478514149907664,1,0,0
4.249729039134749,1,0,0
2.324693660402666,3,0,0
7.840290787049131,1,0,0
4.405305000347795,1,0,0
1.3796753580454335,1,0,0
5.205594131716671,1,0,0
3.5070989191108284,2,0,0
6.512309026999685,2,0,0
7.804657768136403,0,0,1
5.601465394354106,3,0,0
5.14010918914419,1,0,0
10.39983827144755,0,0,1
17.357756789795516,2,0,1
3.5675574875521745,2,0,0
4.675179557445863,2,0,1
8.249198060697225,1,0,1
6.400785482164775,1,0,1
7.159973612468299,1,0,0
12.57141061355821,1,0,1
15.139734637247514,2,0,1
1.9917935195422551,2,0,0
0.7598070889141484,2,0,0
6.208399898344506,2,0,1
3.238163460712526,1,0,0
6.211961484746747,2,0,0
2.154026764511066,1,0,0
2.4764916495584473,2,0,0
4.362882005572336,3,0,0
6.416784555845926,1,0,0
3.719935952883876,2,0,0
4.844375844504735,0,0,1
10.937932824123813,1,0,1
5.036066654212574,1,0,1
1.2842760185055984,0,0,0
9.281247375521737,2,0,1
9.510248143712294,0,0,1
2.6284555351909114,1,0,0
8.062980679245358,1,0,1
10.654660967031928,1,0,1
7.002866505060675,1,0,1
3.493867841250575,0,0,1
5.184171158033383,0,0,1
3.2014186605816923,3,0,0
6.046075040343161,2,0,0
4.813257191019147,1,0,0
5.232577875756775,2,0,0
2.7343308536536908,2,0,0
5.28558001123805,2,0,0
8.662808481988861,2,0,1
3.8251651450922406,1,0,0
2.2523010138268136,0,0,1
6.972194312263362,1,0,1
3.906186773138739,2,0,0
1.552448387897237,2,0,0
14.794039612276524,1,0,1
2.5703547832469766,1,0,0
2.092801862974966,2,0,0
1.280121353538329,2,0,0
4.30714422281739,1,0,0
14.495455028162366,3,0,1
2.661358025494696,2,0,0
3.3809711830479277,1,0,1
12.27045452995107,2,0,1
6.061912167636182,1,0,1
13.782316552865254,1,0,1
1.0029939110919448,2,0,0
6.713230601347607,1,0,1
9.318417505855113,2,0,1
1.0336493466759868,1,0,0
2.7836369703967794,2,0,0
8.420007444809,2,0,1
2.774052833504681,2,0,0
5.323666945368123,3,0,0
3.708402580051317,2,0,0
4.400995111084819,1,0,1
8.194041805035102,1,0,1
7.461644328379837,2,0,1
7.374732242676219,0,0,1
3.100243186503283,1,0,0
12.815555029292904,2,0,1
10.40124502445334,1,0,1
9.61988654955163,1,0,1
0.5777943584573437,1,0,0
7.63113455903169,2,0,1
4.530701358097602,1,0,1
6.1792979603574505,2,0,0
5.5990866118203435,2,0,0
0.9977185519383416,2,0,0
9.236984189315638,3,0,0
3.0467352933548835,0,0,0
1.649628816545348,1,0,0
3.55580095403655,2,0,0
4.699982603629904,1,0,1
1.0505634012724487,1,0,0
10.154917330936598,3,0,0
7.431795566020468,1,0,1
12.182606402137296,1,0,1
3.0285955981769046,1,0,0
6.261178567391992,3,0,0
1.956472691158822,2,0,0
1.777215605796286,2,0,0
7.224478961476204,1,0,1
2.756758456982162,1,0,0
1.781564890510406,1,0,0
3.430022703050758,1,0,0
3.975119088885533,2,0,0
1.8985443814654508,1,0,0
8.624390796600629,1,0,1
2.9053228310314667,3,0,0
12.70488128491824,0,0,1
2.8051219210353513,2,0,0
6.213604375277218,2,0,0
4.81392739230757,1,0,1
7.3797452353532655,2,0,0
4.078101843060072,2,0,0
12.29007837323495,3,0,1
10.154388099610276,1,0,1
2.7899020351289967,1,0,0
7.368264682195901,2,0,0
3.9420996567773754,2,0,0
1.1455784949297587,1,0,0
3.273413826393688,2,0,0
7.164307263926078,2,0,0
2.5667139772844116,2,0,0
6.52204409794758,1,0,1
18.94461007014738,3,0,1
10.590081748724137,3,0,1
9.999721708369997,2,0,1
6.982368667173052,2,0,0
5.527820899965001,2,0,1
6.37358508824302,1,0,1
2.5012736007824343,3,0,0
3.1907294967303415,0,0,0
10.163931886742642,1,0,1
3.055944549450537,0,0,1
8.565339916056224,2,0,1
3.9649511065971375,1,0,0
3.246259468774171,1,0,0
2.235927712908791,1,0,1
6.743471577123057,1,0,1
0.3816183990069648,2,0,0
8.119311519477662,2,0,1
1.9242336671664368,1,0,0
10.457995851326189,3,0,1
10.76261016401594,1,0,1
5.738942941777951,1,0,1
3.225140633239202,0,0,1
0.6780833699411576,0,0,0
3.352759064684272,2,0,0
3.352386971178012,0,0,1
8.648316464151803,1,0,1
5.787340231765191,3,0,0
7.531997236707287,1,0,1
2.723124890378752,2,0,0
3.81727629709312,1,0,0
5.498892990872408,2,0,0
6.828800104965068,1,0,1
3.2732089034185954,1,0,0
4.179029541954932,2,0,0
8.640208496882332,2,0,0
11.317260989159786,1,0,1
