R,Q,A,Y
-6.564481496670652,3,1,0
2.0233145607452663,2,1,0
4.351995791398419,1,1,1
9.52314348029448,2,0,1
7.763201259727468,2,0,1
3.594415791038286,1,0,1
-4.83318107325352,0,1,0
-3.1453491526852844,3,1,0
3.865387551681347,1,0,1
0.6997136074500991,1,0,1
2.9858741551264205,1,0,1
4.465044261499116,2,1,1
1.9301619884974637,1,1,0
-1.5850474723977168,1,1,0
6.136976957184384,1,0,1
-3.4358298508225724,0,1,0
-0.3218398414572032,0,1,1
-1.9924944808985092,1,1,0
11.373410945882393,1,0,1
-8.571085117820129,3,1,0
10.154917330936598,3,0,1
0.633082298654541,1,1,1
-2.0387897374190445,1,1,0
9.587384715030758,2,0,1
5.423822051906439,1,0,1
6.79734536591777,1,0,1
7.082394813038601,2,0,1
2.885465499632101,2,1,0
3.117473195038813,1,0,1
3.0057709254608524,3,0,1
5.160181604507018,2,0,1
7.015070568237263,1,0,1
-0.1057794950784458,1,1,0
4.156610387726937,1,0,1
10.40124502445334,1,0,1
-7.349541209677318,3,1,0
6.402929837242172,3,0,1
-7.370575510609337,2,1,0
15.551438902132825,1,0,1
4.853036294563522,3,0,1
-3.697386699617893,2,1,0
0.9248173556248638,2,1,0
4.787935482770691,1,0,1
4.978495977371066,1,0,1
-2.920939542178097,3,1,0
1.813920837192512,3,1,0
10.24924747267996,2,0,1
-6.9286452292212575,2,1,0
-1.1299907316532387,3,1,0
9.967182629826992,1,0,1
-4.732018949036031,2,1,0
-4.758769649879971,1,1,0
-0.1026026110444728,2,1,0
2.7577911190489237,0,0,1
1.442327064878374,0,0,1
1.1688293692742309,1,0,0
1.6248391614991378,1,0,1
6.213604375277218,2,0,1
-4.466075023953342,3,1,0
5.906758349975017,1,0,1
-5.993041301104292,1,1,0
3.60560988782419,0,0,1
0.6237435920068249,3,0,0
13.334434298988164,1,1,1
2.26213361322365,1,1,1
14.857264047609462,1,0,1
-8.27692265706322,2,1,0
-7.6735187071726845,0,1,0
6.309042787210915,1,1,1
2.4761665936693045,2,0,1
-5.26858888943917,1,1,0
-6.249571253416816,2,1,0
1.4343563068333118,2,0,1
2.193907463858615,2,1,0
12.57141061355821,1,0,1
3.631369837843001,2,0,1
2.9328729539729887,1,0,1
-2.615617154030808,2,1,0
6.92141448085969,2,0,1
-6.9395102188564906,1,1,0
4.362882005572336,3,0,1
2.508156150524542,1,0,1
