,P,Q,A
2021,-2.9729969689095084,3,1
3951,11.387026962261992,2,1
3341,11.842066894315428,1,1
799,6.7770658155751295,2,0
6495,7.813366155150593,2,0
5426,2.0947355249300452,1,0
5640,1.776835146372562,0,1
5399,7.845573140958008,3,1
7960,7.176239956034404,1,0
9913,1.6862417871140996,1,0
428,3.702834362948739,1,0
8772,11.913961670876207,2,1
4463,12.424719841835035,1,1
7735,9.218304101930496,1,1
6218,7.7236390272113,1,0
7972,4.386714721030427,0,1
9530,11.319516931548584,0,1
7489,6.598040805792285,1,1
5027,10.822511919191713,1,0
6833,-4.581106013991535,3,1
8926,11.381114113256547,3,0
8223,10.843021835455659,1,1
9861,5.393130316950025,1,1
7955,11.709565963853436,2,0
5999,4.781384059431351,1,0
7652,8.36310039626131,1,0
8120,6.9800968970773685,2,0
1617,14.352740914732768,2,1
4603,1.5948813890827565,1,0
5863,2.9434537582810516,3,0
3305,4.765687580045853,2,0
6235,4.521699349602723,1,0
3740,7.831006076013148,1,1
2582,3.7047975381758276,1,0
2788,14.916486299554169,1,0
8649,-0.22391631010390833,3,1
5829,6.866950045561761,3,0
3571,5.291252218273323,2,1
8291,13.385609342520612,1,0
4469,1.9917255997616703,3,0
2770,3.2792743373373177,2,1
8777,9.822736030082828,2,1
256,0.21244056652532528,1,0
2334,2.963236339090732,1,0
604,4.743780501438124,3,1
4562,11.145504299003347,3,1
8903,9.668193803858927,2,0
2002,5.1531565330115505,2,1
4512,10.7013581060432,3,1
9413,15.425041380240675,1,0
4926,1.436251040794179,2,1
8595,0.016488701749156398,1,1
3612,11.609800075712561,2,1
1483,3.6883353108032266,0,0
6099,3.2300311879377928,0,0
7543,3.15541165239522,1,0
5814,5.269907706779899,1,0
2614,5.254355806252306,2,0
2846,1.4542907085946224,3,1
6936,3.603738322501185,1,0
3155,3.880500534676883,1,1
3150,0.17428319403831338,0,0
6179,-2.039000055186088,3,0
4679,18.321793764716457,1,1
1157,10.407576660648052,1,1
995,13.824447072353369,1,0
1964,-0.30085376519397844,2,1
9792,0.6799111249314703,0,1
3821,13.137488358292511,1,1
8009,2.7571763382597707,2,0
6060,-0.05295559937521732,1,1
4730,0.7676048956053143,2,1
6432,-1.5652530367128343,2,0
4776,10.320884444987412,2,1
2154,15.52459694254473,1,0
1083,5.821015742702558,2,0
3313,4.101549509643828,1,0
53,5.8187123446696525,2,1
6643,7.895644797933831,2,0
8658,1.0795854903177895,1,1
8927,4.794144077682652,3,0
4647,5.935538987811054,1,0
3916,0.01652877976764011,0,0
5474,3.6768579773095555,1,0
3882,3.3503975949156626,1,0
4789,1.4205166243305747,2,0
7166,9.652612259764412,1,0
4258,-0.6975902435073087,0,1
8521,6.857249473956461,2,1
7255,14.541111491911627,3,1
75,0.7416846712029507,1,0
8708,16.0977715098923,3,1
1121,1.6565420628974676,1,0
7667,1.0844456293040952,1,1
7225,5.341814195544751,1,0
3860,3.1987995072862967,3,1
367,2.81915953060485,1,1
9850,12.241115522584616,2,0
1041,5.112249902459668,2,0
4384,4.1727875995533426,1,1
92,1.3518884432070517,2,1
3154,5.686765911384929,2,0
501,1.538152460572991,2,1
1204,2.1350503594964048,1,0
949,11.669767897261641,0,1
3761,2.5893690798887894,2,1
291,9.830497050375284,2,0
9678,13.120107525935245,3,1
8102,0.04332191495508475,1,1
1851,4.308376184529251,1,1
9751,5.825935099206709,1,0
905,15.445792011341387,1,1
6349,2.1459310203542707,1,1
4064,2.9285940023473604,1,0
5702,6.158144854078147,1,1
7552,1.3418035050227313,2,1
1329,4.815103366902755,1,0
8489,7.15129815576588,2,1
3232,0.8383019595434311,1,1
8930,4.90119291510626,0,0
1836,3.6099920808953163,0,0
534,5.81270659281575,2,0
4480,1.606569311511886,2,1
5762,16.842598982159213,0,0
4915,-2.963143760112848,0,0
5920,1.8019116037383098,3,0
1089,13.14437288185439,1,1
194,12.541315493146909,2,0
9543,10.455317977730951,2,0
5817,3.002111007801607,1,1
8199,7.24001363385894,3,0
8596,5.760743084289398,3,1
7141,0.4134026414305825,1,0
