,P,Q
2021,-7.472996968909508,3
3951,6.8870269622619915,2
3341,7.342066894315428,1
799,6.7770658155751295,2
6495,7.813366155150593,2
5426,2.0947355249300452,1
5640,-2.7231648536274378,0
5399,3.3455731409580083,3
7960,7.176239956034404,1
9913,1.6862417871140996,1
428,3.702834362948739,1
8772,7.413961670876207,2
4463,7.924719841835035,1
7735,4.718304101930496,1
6218,7.7236390272113,1
7972,-0.11328527896957274,0
9530,6.819516931548583,0
7489,2.0980408057922846,1
5027,10.822511919191713,1
6833,-9.081106013991535,3
8926,11.381114113256547,3
8223,6.343021835455659,1
9861,0.8931303169500242,1
7955,11.709565963853436,2
5999,4.781384059431351,1
7652,8.36310039626131,1
8120,6.9800968970773685,2
1617,9.852740914732768,2
4603,1.5948813890827565,1
5863,2.9434537582810516,3
3305,4.765687580045853,2
6235,4.521699349602723,1
3740,3.3310060760131486,1
2582,3.7047975381758276,1
2788,14.916486299554169,1
8649,-4.723916310103908,3
5829,6.866950045561761,3
3571,0.791252218273323,2
8291,13.385609342520612,1
4469,1.9917255997616703,3
2770,-1.2207256626626823,2
8777,5.322736030082827,2
256,0.21244056652532528,1
2334,2.963236339090732,1
604,0.2437805014381239,3
4562,6.645504299003346,3
8903,9.668193803858927,2
2002,0.6531565330115505,2
4512,6.2013581060432,3
9413,15.425041380240675,1
4926,-3.063748959205821,2
8595,-4.483511298250844,1
3612,7.1098000757125615,2
1483,3.6883353108032266,0
6099,3.2300311879377928,0
7543,3.15541165239522,1
5814,5.269907706779899,1
2614,5.254355806252306,2
2846,-3.0457092914053776,3
6936,3.603738322501185,1
3155,-0.619499465323117,1
3150,0.17428319403831338,0
6179,-2.039000055186088,3
4679,13.821793764716457,1
1157,5.907576660648052,1
995,13.824447072353369,1
1964,-4.800853765193978,2
9792,-3.82008887506853,0
3821,8.637488358292511,1
8009,2.7571763382597707,2
6060,-4.552955599375217,1
4730,-3.7323951043946857,2
6432,-1.5652530367128343,2
4776,5.820884444987413,2
2154,15.52459694254473,1
1083,5.821015742702558,2
3313,4.101549509643828,1
53,1.3187123446696527,2
6643,7.895644797933831,2
8658,-3.4204145096822103,1
8927,4.794144077682652,3
4647,5.935538987811054,1
3916,0.01652877976764011,0
5474,3.6768579773095555,1
3882,3.3503975949156626,1
4789,1.4205166243305747,2
7166,9.652612259764412,1
4258,-5.1975902435073085,0
8521,2.3572494739564616,2
7255,10.041111491911627,3
75,0.7416846712029507,1
8708,11.5977715098923,3
1121,1.6565420628974676,1
7667,-3.415554370695905,1
7225,5.341814195544751,1
3860,-1.3012004927137037,3
367,-1.6808404693951502,1
9850,12.241115522584616,2
1041,5.112249902459668,2
4384,-0.32721240044665767,1
92,-3.1481115567929483,2
3154,5.686765911384929,2
501,-2.961847539427009,2
1204,2.1350503594964048,1
949,7.169767897261641,0
3761,-1.9106309201112108,2
291,9.830497050375284,2
9678,8.620107525935245,3
8102,-4.456678085044915,1
1851,-0.19162381547074836,1
9751,5.825935099206709,1
905,10.945792011341387,1
6349,-2.3540689796457293,1
4064,2.9285940023473604,1
5702,1.6581448540781465,1
7552,-3.1581964949772687,2
1329,4.815103366902755,1
8489,2.65129815576588,2
3232,-3.661698040456569,1
8930,4.90119291510626,0
1836,3.6099920808953163,0
534,5.81270659281575,2
4480,-2.893430688488114,2
5762,16.842598982159213,0
4915,-2.963143760112848,0
5920,1.8019116037383098,3
1089,8.64437288185439,1
194,12.541315493146909,2
9543,10.455317977730951,2
5817,-1.4978889921983929,1
8199,7.24001363385894,3
8596,1.260743084289398,3
7141,0.4134026414305825,1
455,7.234947337498177,3
3596,8.772039524430166,1
7639,3.840168764614824,2
4875,0.8041690427359518,2
3755,4.766025791165902,1
639,1.449021733855647,2
5135,3.480261841604415,2
7006,1.9511768272975119,2
5932,-0.16374559616668738,1
5191,7.799599697707297,0
5298,-3.878559804157049,3
3053,-3.9155706816478837,0
3411,-1.6777368916663793,1
4901,-3.8922927794914797,1
1840,-0.9806850447206985,2
2315,2.5268233635257653,1
4482,6.929255092731825,1
9320,9.959837619114033,0
6811,11.589259709170015,3
52,9.201828787242334,0
7312,1.946466373655074,1
997,1.2506829326390865,2
4400,-4.203435338733284,1
2441,-6.352702544039513,2
8284,2.5358277253691686,0
6257,0.9898832565810568,2
4953,-0.27722802040451977,0
4499,-3.476276126323313,0
965,9.271510406234686,1
1155,2.381857527316357,2
5611,-3.2223653320432177,3
9099,2.7338945622177415,1
5347,4.264277859231338,2
6174,2.9706980697663132,2
7178,5.800474944379592,2
4106,5.836975927033587,1
609,0.8753764591667135,2
4833,6.581112155764876,1
1581,-1.9902232973562601,1
7301,4.720880974683381,3
6194,-4.704867214384369,1
957,6.112981335765749,1
1195,-10.196991407568678,2
329,-1.319076910766734,3
172,-3.3702669765602353,0
2578,3.6591208506408375,2
7306,16.637138155118727,1
8039,2.842778030272676,1
9973,-1.011445620849245,2
7124,2.0219899688974325,1
6278,0.9311073775210363,1
652,6.091733817664692,2
3996,-2.2638796227345503,2
5689,-1.5822339884068304,3
4516,5.290121260064699,1
2681,9.47033717119833,2
5355,5.053634063607666,2
8551,2.1323013989107586,2
6130,-3.070734797115664,1
3112,4.257454560038709,3
3218,10.075130865921167,3
8953,1.4532111733555118,2
7229,-2.5247714986022456,2
6586,0.26081493106141607,2
4640,-2.5526034018885833,1
6271,3.50596114515898,2
7845,5.8978446411154755,2
6980,12.948557572587948,1
4535,8.759432315434653,3
7980,0.527185366123095,1
176,-4.145843299387255,1
8053,9.811336861415365,2
3276,9.134339597503647,2
4030,2.042390842567086,1
8304,4.342696719481986,1
1722,0.6215363851714624,1
5389,5.265880560325668,2
5488,6.640971276413899,2
4872,2.1582215612210742,2
9118,-1.629021462071372,2
8840,6.162884589980585,2
5886,14.218369711150036,3
6261,8.89529403830367,2
7816,2.728031435898706,2
8536,-0.48021351735677775,0
6155,3.053963563151599,1
2842,-1.837351704191959,1
4066,-6.013260828921626,0
2041,7.370292689527724,1
7696,4.191844047042419,2
549,-0.9664246063319675,3
2726,-6.384384456918687,1
8507,7.214228046214806,1
6966,3.9641314117353117,2
4100,3.4758147835776563,2
1257,2.4158854275680994,2
5579,4.923545541198967,1
5436,-2.7752054659150893,1
1258,-1.0788025254627054,2
7383,7.292831756480634,1
