,R,Q
1043,11.943979382871028,2
2911,8.361623531035608,2
2884,3.282204621592003,2
2509,3.024075306683905,1
563,4.986060400362055,1
1537,8.897656949950758,2
4066,5.924196208185819,0
4813,8.188752494669664,1
3120,8.34450349774303,2
6286,3.3284817223088385,2
1693,2.361665488343708,1
427,2.683011346653884,1
233,4.56937913193362,0
5269,13.998833581365119,1
3033,0.40707595678805625,1
3104,2.4105770598718146,2
3806,4.855454121134618,0
624,4.7277846617636605,1
3849,11.096307178299293,2
936,4.911954294578896,3
2415,5.633576878545266,2
5317,7.678245988448109,2
4558,6.1145641574309035,2
3641,8.83910990502746,3
6425,4.3843828537099885,2
6318,2.1593871143019263,3
141,0.5430336513634758,2
1361,6.0914814975144225,2
3385,1.7949240142579592,1
1531,3.4467967752750117,2
795,3.8514969671984485,2
5634,9.898625528073183,3
2439,6.483439116167237,3
852,1.7536324710632103,2
3289,7.154933366857412,1
584,3.3503124388535594,2
3284,22.260789214968533,1
2081,8.914365140562863,3
3437,1.3591625800776024,1
398,7.666796812641982,1
6035,7.884411713091113,2
6367,3.0606972051515138,1
432,7.164307263926078,2
40,8.853265570089768,1
1576,14.311020199234685,2
2644,0.4875886853321375,3
4922,2.8909346494836194,2
3944,1.92081357059843,0
1764,9.317042283884383,2
5969,2.4738244372673246,0
4235,1.1935212787440779,0
4788,11.673868635828951,2
1503,6.029056474070774,1
132,4.13774544211296,1
6206,12.042996833335113,2
5084,10.589062648053657,2
1920,9.823651017810157,2
1768,8.299438671260226,2
2129,1.2500075463401337,1
912,5.451649677998271,1
4645,2.5558384845593825,2
225,16.354790447940616,2
4658,0.425337357685615,2
3522,12.585592011222872,2
5583,5.373684992710105,1
1829,10.590081748724137,3
4206,5.131243317978733,2
1272,0.8519937776408961,2
2647,6.094932764808293,2
5136,7.434473392380664,1
5665,13.705715911041244,2
6303,17.56049306898506,1
2523,12.996208642065264,0
4992,6.5720004175002735,2
2740,1.3186284986292027,0
377,5.232876704917782,1
1465,14.896573585411115,1
896,6.888534160056231,1
2019,3.509230356040182,2
201,5.95364813475053,2
4758,4.873712642934496,1
6442,3.3416126652925064,2
645,6.384434358860738,2
4720,1.9014050233008097,3
2038,22.12229559918822,1
1728,7.153924744098154,2
6104,10.67598838802612,3
3146,11.416900810853635,2
5192,9.26243499211645,2
4033,1.2224323443105467,0
1550,2.5714204985614355,2
316,7.584542517477485,3
18,4.947907436820794,2
3931,5.849019192641903,2
5898,2.424551300934666,0
232,12.29007837323495,3
3658,3.455762117142326,2
2700,7.076300759237734,1
4669,2.98007336061833,2
3262,4.985281120341174,1
4164,6.80236341645981,2
52,9.449317180722751,0
3432,6.737466232062806,0
958,16.557981147000387,1
5980,2.2511111096896173,2
3231,12.545001329688468,3
5487,2.50034862638474,2
4309,6.0936336758715335,2
60,1.2775367228952392,2
4185,11.619904043432147,2
990,12.01731241713912,3
532,4.749648966794145,1
5292,1.8993834725233225,2
4851,4.847316288068959,0
230,11.100239433031657,3
3115,11.215788976198168,3
1900,9.294090330436601,2
3948,6.173796816564502,1
1093,5.915393718330236,2
3142,7.932576756016554,1
4810,5.881547126506888,1
6170,5.244592821498964,3
3628,9.925722439357225,1
5690,8.648316464151803,1
4416,4.3011360564743395,2
372,4.792651043156996,3
3621,7.411820960934808,2
3166,6.2829913291812405,0
2822,6.715813535408772,1
1850,11.436831297699538,2
6076,11.296787988598378,2
2042,11.357636747333267,1
694,4.451999881577793,3
2988,6.306026635516436,1
2230,7.281248620689792,2
4981,4.439659825951926,3
4626,2.7287523856517053,2
1120,9.581163652710973,0
415,4.320749465696476,1
4073,5.680265376374476,2
4213,9.351977368128232,2
848,2.453436572440681,1
6192,2.7873274080405697,1
6359,5.041529470658077,0
2661,3.9937172969981423,1
1614,8.15260582958624,2
1684,2.1214087659313834,1
349,16.360124668706977,2
4099,4.844375844504735,0
6330,8.156795814092757,2
570,3.9884089337165625,2
2332,6.364835911217615,2
1493,8.54106319736164,2
4610,12.122846213717832,2
6092,3.7930804615044122,2
1367,5.985705104477452,1
860,16.426714814145644,1
770,4.410806332072395,1
6285,0.9951492862350759,3
5897,13.832410183558583,1
3336,9.57212039393328,1
4991,2.2719531932112,2
6295,3.0036354905955447,1
5748,2.1297700867263822,1
2845,3.5821153120705675,1
6247,5.329586478224637,1
5586,0.9280968151562553,1
1615,16.120696928746852,2
5080,1.404737789529936,2
6315,6.1792979603574505,2
3064,2.4710795027807193,3
4627,4.302213230094218,0
5137,8.369557912849947,2
721,3.8958079301779094,1
2932,4.0174279474524965,3
1457,6.98837440105614,2
5948,5.627416101284478,2
2103,5.867238749198144,0
352,6.16458495124346,2
5808,1.536718236041973,1
3654,5.780614726543841,2
1671,3.0632105598692774,1
6138,4.090240661843778,0
156,8.640208496882332,2
5530,7.082394813038601,2
5668,10.95574831013166,1
5619,4.062199533157162,1
3209,13.950870843052304,2
2024,3.731185359860116,2
5758,0.27397023073119403,1
4927,1.1020280518792636,2
4396,1.6248391614991378,1
2525,3.027556371241581,1
6434,5.526879382080441,0
4761,6.78222424912078,2
1826,2.159301832172053,2
3858,6.861953904389355,3
5019,5.751045534277501,2
137,2.70980047870751,1
4679,5.502016417830729,0
3078,5.728437016672228,1
5380,2.410349786054821,1
1526,5.994081660405914,0
5714,1.5904681563015228,2
2967,1.1537675929448872,1
5109,9.683156395143524,2
299,2.2443553177268916,0
5477,10.810140348437718,1
3966,6.061912167636182,1
1845,1.356372094466081,2
1362,2.537339913158676,2
5379,6.619035327591854,2
6179,3.2711927277240873,0
2912,1.6442043042962324,1
1327,6.077325611988418,1
902,2.8922627918849115,3
1901,1.4861112082019654,1
1072,0.5844607159401242,1
3736,15.98543380435623,1
2593,11.72544711559075,2
5366,0.6071683333852176,0
4648,6.730139879764408,1
3319,5.783866180720974,1
4197,7.659673817139743,2
2827,1.2949743671205616,3
1546,4.7645828200725004,3
3729,1.7235145328135186,1
968,10.495578144080419,3
5135,2.849532247055588,1
6410,8.184026014766893,2
2429,4.530701358097602,1
1033,5.645026789222368,1
4498,9.613739474805426,0
1111,6.4884049855906865,1
4832,12.10819354196886,2
3856,11.334042282951454,2
755,5.6480406929604925,1
2280,1.8440742834339987,2
3240,8.224215948807744,1
518,5.18201294879605,0
2092,4.440115262112059,1
2341,1.6818819530197144,1
1423,2.01147855952581,2
1682,5.2319417083342845,1
4333,2.12980939664487,1
1331,2.20671916426202,1
794,2.604378946847932,2
4112,3.5906938989287616,0
834,2.2902373243742935,1
4100,7.380522040863177,3
557,3.4448421677035723,1
4434,7.224478961476204,1
1275,7.011544864490405,0
2025,2.6770484170130375,2
3606,8.254044658779844,1
2143,1.1839280853610963,1
2591,7.330877924182278,1
1486,0.6000358025776612,2
3818,2.3748243927313366,0
4163,1.5618031279498399,0
1538,3.2547221208739634,1
6255,0.5924397051594847,2
1938,11.375224355461915,3
371,1.1454876429201795,2
3705,2.6646847634955493,3
6435,4.351051166664051,1
1406,7.067840915654324,1
123,1.7511658694204462,2
6066,5.5870223792771005,1
580,5.805009617514696,1
3594,6.6975888999566955,0
4061,16.76215779512139,0
6135,5.6968454248114275,2
416,3.187326002179848,2
4348,1.350856590679294,2
2780,7.3886966766534385,2
46,5.3447658046615585,1
136,10.514437668084888,1
1714,10.21706787208929,0
3456,0.6264802166249162,0
2779,8.399134291703866,1
5862,1.8729257377854687,1
849,4.986942166300634,1
825,1.599278526389912,1
3732,4.15328104225824,1
4727,3.3012907419540376,1
4646,3.7522237522410977,0
4042,6.637005256057137,2
501,3.2512859130515155,2
1403,3.8813530271870316,2
5245,1.1894484416603515,1
2908,10.534514504141956,2
3144,11.11045725669483,2
1698,1.1291404335563955,2
6302,5.922231997618372,1
6300,5.996674053585883,1
2303,2.1137340528231627,2
4504,3.748573698234254,2
2027,1.5392373244728632,2
2720,6.277822682953566,1
133,20.389596594673463,2
5851,11.785019643791406,0
1134,6.679011632574686,1
2571,6.0149174600182995,3
5288,8.58207763236417,2
172,3.0471317518963104,0
1532,1.77504888844652,1
787,1.3869455890758067,2
605,4.901681082971579,1
1853,3.2460995776669317,3
2478,2.1327207553167167,1
5282,6.061480511142723,1
4913,4.303385882303659,2
3317,9.730912534584098,2
1069,7.2014203883958805,3
4595,3.88203615943071,2
4097,5.205594131716671,1
4357,3.0467352933548835,0
1995,5.002645012719934,1
3691,8.422518275629956,2
5884,12.623923532237793,1
3486,1.5172811240676942,3
4739,10.584090593555104,1
5049,1.641342939428075,1
486,11.163477634885705,2
5815,8.976125968971733,2
5327,11.400818211766563,3
6151,7.529447608694099,3
4046,7.759713572789101,2
3006,3.778839536897061,2
1209,1.0005139019164206,1
6155,8.302621603500084,1
3807,11.005276046802715,2
5605,1.744285987935919,3
3617,4.214275754783283,2
3344,2.741829574724275,2
3781,8.771693909115347,0
1420,16.310404540369902,2
4119,2.9420849713754347,1
2672,3.3961608040278737,3
4789,3.651625543902351,2
5341,2.653662195899315,2
2395,16.978482697492463,2
2903,1.7688132557596523,1
5188,5.14010918914419,1
5236,6.561810852760857,2
1117,0.6674414858390342,2
2520,3.09955695675911,0
