,R,Q,A
1043,11.943979382871028,2,0
2911,8.361623531035608,2,0
2884,3.282204621592003,2,0
2509,3.024075306683905,1,0
563,4.986060400362055,1,1
1537,8.897656949950758,2,1
4066,5.924196208185819,0,0
4813,8.188752494669664,1,0
3120,8.34450349774303,2,0
6286,3.3284817223088385,2,0
1693,2.361665488343708,1,0
427,2.683011346653884,1,0
233,4.56937913193362,0,0
5269,13.998833581365119,1,0
3033,0.40707595678805625,1,0
3104,2.4105770598718146,2,0
3806,4.855454121134618,0,0
624,4.7277846617636605,1,1
3849,11.096307178299293,2,0
936,4.911954294578896,3,0
2415,5.633576878545266,2,1
5317,7.678245988448109,2,0
4558,6.1145641574309035,2,0
3641,8.83910990502746,3,0
6425,4.3843828537099885,2,0
6318,2.1593871143019263,3,0
141,0.5430336513634758,2,0
1361,6.0914814975144225,2,0
3385,1.7949240142579592,1,0
1531,3.4467967752750117,2,1
795,3.8514969671984485,2,1
5634,9.898625528073183,3,0
2439,6.483439116167237,3,1
852,1.7536324710632103,2,0
3289,7.154933366857412,1,0
584,3.3503124388535594,2,1
3284,22.260789214968533,1,0
2081,8.914365140562863,3,1
3437,1.3591625800776024,1,0
398,7.666796812641982,1,1
6035,7.884411713091113,2,0
6367,3.0606972051515138,1,0
432,7.164307263926078,2,0
40,8.853265570089768,1,1
1576,14.311020199234685,2,0
2644,0.4875886853321375,3,0
4922,2.8909346494836194,2,0
3944,1.92081357059843,0,0
1764,9.317042283884383,2,0
5969,2.4738244372673246,0,0
4235,1.1935212787440779,0,0
4788,11.673868635828951,2,0
1503,6.029056474070774,1,1
132,4.13774544211296,1,1
6206,12.042996833335113,2,0
5084,10.589062648053657,2,0
1920,9.823651017810157,2,0
1768,8.299438671260226,2,1
2129,1.2500075463401337,1,0
912,5.451649677998271,1,0
4645,2.5558384845593825,2,0
225,16.354790447940616,2,0
4658,0.425337357685615,2,0
3522,12.585592011222872,2,0
5583,5.373684992710105,1,0
1829,10.590081748724137,3,0
4206,5.131243317978733,2,0
1272,0.8519937776408961,2,0
2647,6.094932764808293,2,1
5136,7.434473392380664,1,0
5665,13.705715911041244,2,0
6303,17.56049306898506,1,0
2523,12.996208642065264,0,1
4992,6.5720004175002735,2,0
2740,1.3186284986292027,0,1
377,5.232876704917782,1,0
1465,14.896573585411115,1,1
896,6.888534160056231,1,0
2019,3.509230356040182,2,1
201,5.95364813475053,2,0
4758,4.873712642934496,1,0
6442,3.3416126652925064,2,0
645,6.384434358860738,2,1
4720,1.9014050233008097,3,0
2038,22.12229559918822,1,0
1728,7.153924744098154,2,1
6104,10.67598838802612,3,0
3146,11.416900810853635,2,0
5192,9.26243499211645,2,0
4033,1.2224323443105467,0,0
1550,2.5714204985614355,2,1
316,7.584542517477485,3,1
18,4.947907436820794,2,1
3931,5.849019192641903,2,0
5898,2.424551300934666,0,0
232,12.29007837323495,3,0
3658,3.455762117142326,2,0
2700,7.076300759237734,1,1
4669,2.98007336061833,2,0
3262,4.985281120341174,1,0
4164,6.80236341645981,2,0
52,9.449317180722751,0,1
3432,6.737466232062806,0,0
958,16.557981147000387,1,1
5980,2.2511111096896173,2,0
3231,12.545001329688468,3,0
5487,2.50034862638474,2,0
4309,6.0936336758715335,2,0
60,1.2775367228952392,2,1
4185,11.619904043432147,2,0
990,12.01731241713912,3,0
532,4.749648966794145,1,0
