,R,Q
3939,2.760245228276547,1
3930,12.5312891410625,2
1442,7.7516961358066325,2
3715,3.505330040156594,3
2974,4.558887793105619,1
4854,2.1593871143019263,3
2744,4.608224139288508,0
2747,9.137320520061031,2
4916,2.756338316366111,2
2213,7.521911259443865,2
2439,3.6821098080296832,0
3155,1.8592476273534169,2
3578,3.055944549450537,0
2383,1.3625175611844433,0
2205,5.568691824873671,2
2635,4.844375844504735,0
287,10.36594067267972,2
416,5.1099412570345715,1
4822,3.3284817223088385,2
4285,10.749660878102034,1
1787,11.726435468587603,2
3984,3.8536709585396896,2
4344,1.536718236041973,1
998,7.210811046308528,1
1632,2.056808875457298,1
906,3.8251651450922406,1
3112,4.507828826370088,2
1245,3.7605442982161255,2
4661,5.557331588491668,0
1527,1.1537675929448872,1
270,3.0855066729395304,1
430,8.554167033329485,2
3215,5.502016417830729,0
121,3.6512298995310335,1
4912,2.0793530781592757,1
1716,19.29618157998788,2
1870,6.647746511969978,1
4838,5.922231997618372,1
4177,10.238804931625271,2
1179,5.340975995302543,2
3405,7.232689142050187,2
618,5.625456766870453,1
3432,1.7915330022825067,2
4162,4.710700366746809,3
2582,7.759713572789101,2
4964,6.990268612487181,1
1606,3.1309006903369667,2
4879,5.718583121536355,1
306,5.917772648108545,2
1409,4.803095396460581,1
2996,13.012267297486433,2
1488,4.615287763239044,1
4866,8.156795814092757,2
4242,4.787774350232784,1
4255,2.9939176254629523,3
512,5.094389357147305,1
3576,11.724288165168876,1
4682,6.76413497024693,2
4981,2.6633202961189695,2
4895,5.041529470658077,0
2378,2.3029907389418756,0
4395,3.0441371776701818,2
4045,10.991596201306688,1
3131,3.88203615943071,2
2072,3.884142536867002,0
431,3.083057773983644,2
3327,6.37041435470403,3
1731,3.051333120458069,2
3969,11.612105932541276,2
3731,3.690748977861419,3
4447,2.7950282916975615,2
2656,7.4764266812381965,1
3707,2.5667139772844116,2
3224,1.2483732242228411,1
1363,0.4875886853321375,3
3146,12.122846213717832,2
4716,9.967182629826992,1
4127,0.5002871250539578,2
2479,7.350735910081246,2
381,2.6114822324498173,3
4522,4.211031420530073,0
4486,4.640463128988687,2
3205,2.98007336061833,2
2353,12.614164328276473,2
2354,2.3748243927313366,0
2270,7.625260333826841,1
755,7.804657768136403,0
2401,2.5744787285448405,2
530,8.44194982855829,1
3605,3.9240816544351156,1
2966,5.673352871669736,3
1107,12.57141061355821,1
3431,2.756758456982162,1
2500,9.673711620836984,2
4444,11.651709079424379,1
2405,8.191875723587485,2
1404,3.422358306246271,2
1665,2.7553248930360374,1
4935,8.205091686025888,1
268,2.092801862974966,2
855,4.738864288737108,1
2716,1.6268787348740261,1
3042,3.497921512235619,0
2214,3.4300227030507586,1
4412,1.213297600722902,1
3091,10.847448168813795,3
4062,2.6595306477331624,1
937,11.039440276333936,1
2638,6.127763898824542,3
1879,2.762019451483244,1
2340,9.333721946249586,1
4853,3.678111211062712,2
1483,7.218442144108483,1
2752,2.4205107777055046,2
1151,7.002866505060675,1
4372,11.610343365834165,2
3905,12.433571588387322,1
3040,3.748573698234254,2
692,3.365306563987118,1
2147,3.150720108892501,1
3484,3.731177377756754,1
2653,12.680323611325807,2
714,6.438497744369856,2
1365,4.0498609234571745,0
2024,1.4815713868497358,3
1927,3.9230593016195163,2
1348,3.975119088885533,2
2277,5.738942941777951,1
4039,0.9499151312344378,1
123,4.43487660167898,1
4951,4.943099552850301,1
943,10.590081748724137,3
4011,2.4761665936693045,2
3074,15.210217450137673,1
2043,4.849922928157283,1
976,3.209152179067617,1
1055,0.7819079804465499,1
703,6.453171921249873,2
1370,4.10053143012549,1
3743,8.565458354050753,1
3036,5.981626143753803,2
433,4.940939291752988,1
3573,5.737577530312582,2
3307,2.5147824875869733,1
2521,5.18543352267365,2
1019,7.723688193874669,1
1559,4.859622248771302,2
4342,3.592639793547576,2
411,4.626697952478541,1
771,2.7577911190489237,0
528,4.657498516298888,2
2314,10.128482374476938,1
675,8.119736710572171,2
3678,6.208399898344506,2
54,5.385482521436639,1
2458,2.884111743562873,2
1190,3.553769768321933,1
3732,7.83282936118133,2
897,4.583525048784622,1
3938,7.159973612468299,1
525,10.630113261548285,3
3808,4.034921120179527,1
428,4.179029541954932,2
518,4.911954294578896,3
2510,3.4671258106933687,0
371,1.5932910337689306,2
4637,4.198671682189315,1
1469,2.581066664670272,2
546,5.297880403758539,2
3180,1.5870939606879373,2
1440,14.167992511920321,1
4454,5.690707983524059,0
3085,2.5196688975754573,1
861,16.45327417770019,0
3410,3.0645736782872053,0
2368,7.554257642023975,3
2416,3.8444127115808135,2
2000,3.368274822846992,0
888,3.981621820750156,1
3817,2.235927712908791,1
3779,6.878853574323601,1
4168,19.82249825831815,2
313,4.380281209372632,1
3555,5.751045534277501,2
331,12.935145931456697,1
2459,6.416784555845926,1
2041,9.387645041347973,2
2990,4.423218410960606,0
4705,6.295396146445141,2
4600,5.220771276973295,1
3219,4.406076096233759,2
4663,6.231471875352973,1
1085,3.6590759543286495,1
2822,5.524918815722577,1
4660,11.720991399074894,0
4540,18.935986768647314,1
2699,1.5618031279498399,0
3097,11.317260989159786,1
3323,3.093791677085659,2
3414,3.9210975269465957,1
923,0.542447329936354,3
2355,2.530430989616251,2
4701,3.004157470601883,2
3257,4.547419010279694,2
3389,3.225140633239202,0
1998,2.4001114176115386,3
77,3.111801133326681,2
3145,6.9267645083657285,2
4690,4.137748049263724,2
4537,6.557207054554314,2
2223,1.2335213265809626,3
4185,8.31873108363998,3
2207,1.6544451708565329,1
1238,2.2600408257423674,2
3553,12.075170525068753,3
4492,3.5073171497598503,2
3574,15.916511970519426,3
3728,9.26243499211645,2
2495,16.063344956113486,2
3852,2.1781650293604162,2
226,16.360124668706977,2
1281,8.593494336206966,1
2887,5.893127085663899,1
1795,4.30714422281739,1
3259,4.087559349762271,2
1524,2.250299869441227,1
120,1.2458463830907625,2
506,5.451649677998271,1
4104,6.552886618609014,3
235,1.4744621450914588,1
43,2.8945338692766516,1
975,1.4786759465917663,1
4784,4.767877301536553,2
1421,7.531997236707287,1
3177,6.599278046028605,3
3962,10.842398229533462,2
3602,17.60178924805804,1
1709,6.029681078715349,1
3293,4.675179557445863,2
2452,11.613874690109576,2
3721,1.0740673916798913,2
1506,1.1556450948738106,1
2419,6.932350881747898,2
1402,1.4822269867386182,2
1818,3.8775558143432924,0
2395,7.85703644371964,1
2672,7.192858951362771,1
2550,11.373410945882393,1
417,4.903696005096843,2
1431,0.8925413870221061,1
583,7.2014203883958805,3
1129,16.761570545365338,1
1651,11.215788976198168,3
1819,8.194041805035102,1
1014,10.42169149246909,3
1069,11.938219936012715,3
3045,5.741140554234001,1
2221,21.436298352493278,3
3492,4.289288356435082,1
1178,6.003738444097287,2
2800,8.350117460391887,2
2235,2.412880900369721,2
962,3.9927075408359265,0
4319,3.9247326312182556,1
172,0.5065885361877119,1
3626,4.201909927067737,3
3004,2.4764916495584473,2
2011,10.490754232995902,1
4655,4.3013957094084105,1
41,12.306787371621631,3
4911,6.211961484746747,2
2337,5.3673933752722505,2
2490,3.92535671155181,2
3243,0.7598070889141484,2
1477,9.510248143712294,0
2086,8.716112588227254,0
1097,1.2500075463401337,1
2611,10.654660967031928,1
2626,6.219074149177991,0
4,13.949143236691953,2
4170,9.898625528073183,3
1921,1.7949240142579592,1
561,5.303591340532131,2
4940,10.39983827144755,0
2718,6.512309026999685,2
4818,14.76875356041111,2
2016,3.734630519739464,1
2146,9.62749509314247,1
2449,2.723124890378752,2
1463,2.7693230604468635,1
1602,9.153041412951557,1
2451,3.2615363392970953,3
4142,6.52204409794758,1
3618,13.08151947104719,1
184,14.794039612276524,1
3320,7.186048117630182,0
400,1.2801213535383287,2
4976,8.770346284416533,0
3665,16.175783509863486,1
241,5.232876704917782,1
3738,10.656162237957197,0
4986,3.645769615150904,3
3784,3.0539356115227427,2
1331,4.6864391587141565,1
2292,6.95045221751945,2
365,2.9523525571580507,1
2304,4.673013747920231,2
732,4.161753293806239,0
679,5.337768381913757,1
4148,8.420007444809,2
704,4.81392739230757,1
4726,5.183137794333852,2
1349,4.140825742184374,1
4550,3.552923649317112,3
1517,2.5670853603152595,2
4592,3.8969711684367248,2
4257,1.1826727163039508,3
28,3.4197294920599512,1
2302,12.815555029292904,2
159,12.29007837323495,3
2136,3.2761086423964043,3
2052,11.527351778229963,2
1048,11.357636747333267,1
1242,4.530701358097602,1
361,8.408110127668703,0
2994,13.173256733602804,0
841,3.006622904934771,1
348,3.352386971178012,0
3534,3.7240724324635406,0
4383,1.3202319291146698,3
4763,3.9027647929686675,1
1143,2.5437747878285313,2
3811,14.698366647676991,3
4451,10.154917330936598,3
1320,4.097602208742298,1
2722,6.710877679489073,2
1450,7.205573132770583,2
71,6.261178567391992,3
3411,9.781610088158898,2
4755,3.100243186503283,1
1645,6.23280787602212,3
1791,3.2659078791106952,2
1507,5.314562288065021,0
1544,7.935061912531934,1
4464,2.482142190056888,2
2273,2.9352683610822856,3
3533,2.0424557518243396,3
4733,1.407305291373345,1
3790,10.091193377280197,3
1056,7.181824243602168,1
1343,6.213604375277218,2
137,5.95364813475053,2
4435,7.012473797340268,2
3372,9.72642937825242,1
1308,9.580610100425801,2
470,13.666299895569637,1
3068,13.782316552865254,1
1541,7.3682646821959015,2
1417,9.282634517051706,3
3010,2.1648329506749437,1
559,2.6999017899762245,1
3837,7.765352439472192,2
1938,6.86837954084984,1
482,5.565739701963127,3
1995,12.011479669806295,3
1487,9.703343649195258,1
