,Y_real
3939,1
3930,1
1442,1
3715,0
2974,1
4854,0
2744,1
2747,1
4916,0
2213,1
2439,1
3155,0
3578,1
2383,1
2205,0
2635,1
287,1
416,0
4822,0
4285,1
1787,1
3984,0
4344,0
998,1
1632,0
906,0
3112,0
1245,0
4661,1
1527,0
270,0
430,1
3215,1
121,1
4912,0
1716,1
1870,1
4838,1
4177,1
1179,0
3405,0
618,0
3432,0
4162,0
2582,1
4964,1
1606,0
4879,1
306,0
1409,0
2996,1
1488,1
4866,1
4242,0
4255,0
512,0
3576,1
4682,0
4981,0
4895,1
2378,0
4395,0
4045,1
3131,0
2072,1
431,0
3327,0
1731,0
3969,1
3731,0
4447,0
2656,1
3707,0
3224,0
1363,0
3146,1
4716,1
4127,0
2479,0
381,0
4522,0
4486,0
3205,0
2353,1
2354,0
2270,1
755,1
2401,0
530,1
3605,0
2966,0
1107,1
3431,0
2500,1
4444,1
2405,0
1404,0
1665,0
4935,1
268,0
855,1
2716,0
3042,0
2214,0
4412,0
3091,1
4062,0
937,1
2638,0
1879,0
2340,1
4853,0
1483,1
2752,0
1151,1
4372,1
3905,1
3040,0
692,0
2147,0
3484,0
2653,1
714,0
1365,1
2024,0
1927,0
1348,0
2277,1
4039,0
123,1
4951,1
943,1
4011,0
3074,1
2043,1
976,0
1055,0
703,0
1370,1
3743,1
3036,0
433,0
3573,1
3307,0
2521,0
1019,1
1559,0
4342,0
411,1
771,1
528,0
2314,1
675,1
3678,1
54,1
2458,0
1190,0
3732,1
897,0
3938,0
525,1
3808,0
428,0
518,0
2510,1
371,0
4637,0
1469,0
546,1
3180,0
1440,1
4454,1
3085,1
861,1
3410,1
2368,0
2416,0
2000,1
888,0
3817,1
3779,1
4168,1
313,0
3555,0
331,1
2459,0
2041,1
2990,1
4705,1
4600,1
3219,1
4663,1
1085,0
2822,0
4660,1
4540,1
2699,0
3097,1
3323,0
3414,1
923,0
2355,0
4701,0
3257,0
3389,1
1998,0
77,0
3145,0
4690,0
4537,0
2223,0
4185,1
2207,0
1238,0
3553,1
4492,0
3574,1
3728,1
2495,1
3852,0
226,1
1281,1
2887,1
1795,0
3259,0
1524,0
120,0
506,0
4104,0
235,0
43,0
975,0
4784,0
1421,1
3177,0
3962,1
3602,1
1709,1
3293,1
2452,1
3721,0
1506,0
2419,0
1402,0
1818,1
2395,1
2672,1
2550,1
417,1
1431,0
583,0
1129,1
1651,0
1819,1
1014,0
1069,1
3045,1
2221,1
3492,0
1178,0
2800,1
2235,0
962,1
4319,0
172,0
3626,0
3004,0
2011,1
4655,0
41,1
4911,0
2337,0
2490,0
3243,0
1477,1
2086,1
1097,0
2611,1
2626,1
4,1
4170,1
1921,1
561,0
4940,1
2718,0
4818,1
2016,1
2146,1
2449,0
1463,0
1602,1
2451,0
4142,1
3618,1
184,1
3320,1
400,0
4976,1
3665,1
241,1
3738,1
4986,0
3784,0
1331,0
2292,1
365,0
2304,0
732,1
679,0
4148,1
704,1
4726,0
1349,0
4550,0
1517,0
4592,0
4257,0
28,0
2302,1
159,1
2136,0
2052,1
1048,1
1242,1
361,1
2994,1
841,0
348,1
3534,0
4383,0
4763,0
1143,0
3811,1
4451,0
1320,0
2722,0
1450,0
71,0
3411,1
4755,0
1645,0
1791,0
1507,1
1544,1
4464,0
2273,0
3533,0
4733,0
3790,1
1056,1
1343,0
137,0
4435,1
3372,1
1308,1
470,1
3068,1
1541,0
1417,1
3010,0
559,0
3837,1
1938,0
482,0
1995,1
1487,1
410,0
4455,1
333,0
3684,1
548,1
2246,0
1266,1
4776,1
3535,1
2875,1
1248,0
4693,1
4258,1
4415,1
4889,0
2754,1
5000,1
4201,1
1780,1
3909,0
2379,1
3620,1
45,1
3415,0
485,1
2518,0
1142,1
447,0
3782,0
1322,1
590,0
3997,0
2830,0
2168,1
1064,0
4156,0
881,0
4623,0
3378,0
4481,0
415,0
3485,0
2513,1
2906,1
2586,1
4108,1
3952,1
4872,0
4685,0
1941,0
1051,1
3803,1
4320,1
3845,0
2593,1
3438,0
1150,0
2348,0
4936,0
914,0
3030,1
4467,0
3302,0
82,0
1099,0
2229,1
152,1
900,0
4298,0
1250,0
311,1
3866,1
2852,0
3809,0
4563,1
3754,1
1496,0
2010,0
51,0
2924,0
537,0
3980,1
1355,0
2198,1
4329,0
979,1
4277,0
3584,1
1552,0
2955,1
947,1
3472,1
2299,0
1863,1
2927,0
1816,0
3250,0
1804,0
592,1
323,1
3434,0
3911,0
2309,1
4081,1
2733,0
1395,0
2271,0
3660,1
4727,0
2803,0
146,1
4339,0
3907,0
2799,0
155,0
4948,0
4302,1
720,0
2893,0
4691,1
1008,0
677,0
4485,1
838,0
1753,0
2463,0
1424,0
2713,1
269,0
2258,0
2183,1
3724,0
2281,0
423,1
1553,0
452,0
1028,1
2220,1
3455,1
4908,0
4634,1
1140,1
4422,0
4038,0
1734,1
2130,1
3388,1
1314,1
3367,1
2181,1
2150,1
804,0
1386,1
3734,1
3194,0
3838,1
2369,0
3577,0
4593,0
2023,1
3184,1
1393,1
662,0
734,1
1857,1
3464,0
4565,0
499,1
610,0
4159,0
3818,1
230,0
2209,0
2905,0
293,0
4814,1
1706,1
860,0
2865,1
2396,1
2766,1
477,1
350,0
2397,0
2703,1
4497,0
3840,0
69,1
4121,0
3461,1
3676,1
238,1
2828,1
276,1
580,0
4360,0
278,0
4115,0
2467,0
4699,0
2967,1
2038,1
4385,0
2286,1
4509,1
2579,0
3504,0
636,1
987,1
3299,1
383,0
1557,0
2659,1
4025,0
4307,0
459,1
1708,0
3736,0
3570,0
4839,1
4211,0
829,0
3883,0
1702,1
931,0
12,1
1636,1
3929,1
3895,1
2427,1
2509,1
1771,1
1096,1
799,0
1692,0
2837,0
585,0
1328,0
1012,1
4910,0
1583,0
1400,1
3775,0
1684,0
2228,1
1453,0
458,1
1572,0
1613,1
1637,1
4971,0
1074,0
614,0
4739,1
2580,0
939,1
1885,1
484,1
1518,0
2322,0
1971,1
4629,0
4194,1
992,0
3041,1
4263,0
3449,0
2709,1
3294,1
1,1
4651,0
29,1
4033,1
4060,0
4837,0
225,0
132,0
1979,0
4273,1
1954,1
4650,0
3991,1
938,0
1627,1
4124,0
4631,0
4280,1
3428,0
1032,0
715,1
2466,0
2140,0
461,1
3016,1
2371,0
2622,0
233,0
3477,1
3020,0
1221,0
3064,1
3994,1
3558,0
4731,1
4807,0
2612,0
3103,1
2968,0
1050,0
591,0
1218,0
2144,0
4471,1
2473,1
1596,1
4529,0
665,0
4146,1
2909,1
1639,0
2525,1
3213,0
3800,0
3463,0
2343,1
2488,0
3313,1
1031,1
3666,1
3053,0
672,1
2880,0
2316,0
3978,0
4352,0
339,0
2128,0
1240,1
3144,1
1974,1
3185,0
1797,0
258,0
1585,0
4022,1
3804,1
3182,0
4804,0
661,0
1177,1
4798,1
3217,0
2059,0
386,0
927,1
2884,0
2723,0
158,0
56,1
1176,1
4445,1
421,0
3235,1
1538,1
2381,1
3314,1
53,0
3310,0
885,1
3325,0
4213,0
648,1
794,0
3264,0
329,0
1231,1
1537,0
1872,1
2778,1
