,R,Q
5972,6.571007801289586,1
7255,6.79734536591777,1
4857,6.676253316767122,3
3486,6.590702767203038,2
3592,2.619616389566753,2
4623,6.416784555845926,1
2806,7.07738866124901,2
5969,3.6871491881330836,2
3633,2.70496797694567,0
9096,2.6918280240503014,2
5126,8.395025466525041,0
131,2.70980047870751,1
5619,3.444015482198481,2
472,3.6437351815320773,1
1024,4.600786485422978,1
5231,5.441915423158872,1
8597,3.226483097054567,0
8114,3.9040890501987433,2
5768,8.00883076951791,0
2437,12.53971181681926,1
2390,2.1139295181451683,0
851,6.888534160056231,1
1939,4.475796822732231,1
659,5.1716077840594465,1
6376,4.327669168996691,1
8767,5.25218497810581,1
6002,0.4969474202010333,3
1424,6.407699340716427,1
5892,3.88203615943071,2
7584,6.395656222912917,2
2384,3.024075306683905,1
7911,6.548387938840732,0
1201,1.8932362192682235,2
8910,3.305664152505334,2
4916,8.313153446181941,1
7975,8.642748363622609,2
6064,4.6849916176653235,2
5567,5.741930198723658,2
7116,6.237150696721841,2
6831,8.715446721552462,0
7239,5.848924090128972,0
6822,11.773902615941811,2
5303,3.0759052082003215,2
1268,4.81392739230757,1
1690,13.523918117255938,2
701,8.883004435881894,0
1537,4.755497619754068,2
4167,5.362064335167232,2
3455,5.8944071100838995,3
5952,2.7287523856517053,2
3297,3.723835118716025,1
2370,2.2665283319715934,3
7026,9.26243499211645,2
6839,7.993018745951316,2
1456,7.820301748265051,2
6695,2.679956857164219,1
5480,8.025687948235014,2
2603,5.989204925205597,1
7868,15.551438902132823,1
549,2.889648463174124,2
7915,1.7557725768280912,1
9352,13.25838941937169,2
2324,0.6247472934380796,1
6307,1.6527376249377312,0
2110,8.794458828351695,1
522,7.925198035643792,1
7224,2.498174329722657,3
384,1.5511952430636942,2
787,6.6896129122009445,1
7696,10.963221620193744,1
1370,4.254340735601127,2
1618,5.8252658640889265,1
9421,5.544781549777573,2
5341,3.9155246584965067,1
2717,4.652242037880175,0
953,5.458856072952475,1
5808,1.1169988111567473,3
3144,2.5045917830643583,3
4352,8.771693909115347,0
5991,2.5558384845593825,2
5914,11.414384164052596,1
8353,4.228841012475599,2
1953,8.744031740653625,2
6708,6.495341586519821,3
7543,6.3405848573490395,3
8786,9.634910531488545,2
6417,8.53964214853656,1
7869,6.281054674002105,2
8300,8.717766499152225,1
8137,9.363081897346941,1
7426,2.6044158579738164,2
3131,7.715717514987576,1
6889,11.870856537429349,3
8917,7.202989244446248,3
1030,3.700771367424486,2
1647,4.85589650670102,2
4007,5.354279428515656,1
5183,2.4205107777055046,2
5862,0.6237435920068249,3
6760,1.641342939428075,1
3800,5.0584283519604645,1
4036,6.928585686819568,2
8382,7.161341985396767,2
2347,6.190604142470941,0
4949,5.205594131716671,1
4430,6.993743126772438,0
4115,2.3656060103961916,2
7974,4.1965056024536445,2
7677,6.030302127497049,1
8774,1.956950439899252,2
2398,5.055000313073123,2
8016,3.75061726637112,2
2818,4.009425504359571,1
5306,2.8527379235105683,2
9260,9.410811196769334,3
8682,7.300767373135356,2
944,1.4320743718847084,2
867,16.330283434970553,1
6805,5.188148126625047,2
8924,6.503736323464503,2
8464,10.154917330936598,3
8399,3.0580570910322886,2
7234,3.0541584569650673,2
6228,3.4199195193932868,1
1700,0.542447329936354,3
6517,5.0033918976371305,2
9465,14.11237382648001,2
6941,4.942416761675218,1
2244,3.5117276300338096,2
8816,4.292275814985719,3
3004,3.006958698895708,1
8414,5.722576322585594,1
8071,6.542234740125178,2
7881,9.317766979825215,2
4440,8.543211520676248,3
5721,7.514522220869978,2
7456,7.085729263890915,0
4459,0.8296300753355879,1
6850,15.899099968488088,2
1951,9.113627690852915,1
5598,10.162089998907353,2
6118,4.172461115372654,3
8988,4.478894940716463,2
8210,7.922030159037485,1
4376,3.037848222175323,2
9048,3.671145067784292,1
33,7.762856870123621,3
6271,7.641394424058831,2
6383,3.4251972999499287,1
9358,6.030932266568478,3
5939,6.279088660511986,2
41,12.306787371621631,3
5141,7.2177718559989845,1
2267,7.064944680942,1
3953,3.889838982559791,3
2042,12.57141061355821,1
2463,7.330877924182278,1
705,4.310258979538282,3
4049,11.093512639255545,1
5110,1.6268787348740261,1
5642,4.309076663452827,2
5451,4.070261022881793,1
8510,6.124884298819913,2
5470,5.69007333116825,1
7627,3.1593105067097746,0
2750,7.703480547348537,1
2547,8.153045834999098,3
7373,5.5527383897824505,0
2628,3.441496406357321,2
4349,2.693702348302467,3
2478,8.354479187964426,1
4314,9.441475430011085,2
2273,1.0346617236126299,1
4152,5.570290465907808,1
7073,15.853266354851726,1
662,1.3499247104774503,2
8044,3.8661579566252398,1
8235,3.1103736007398615,3
8070,4.787774350232784,1
4304,4.192916813143431,2
6605,0.296206835720358,2
4674,3.7111395316717517,1
8688,0.8162886094883832,0
6701,12.075170525068753,3
8367,5.074962518951951,1
7699,2.3977034613167474,1
5254,3.7779766538883317,1
7875,3.5783575600351307,2
9206,3.678111211062712,2
3192,4.640606346389537,0
6056,5.489939082989496,1
3497,7.461644328379837,2
2380,2.914844355191567,2
6340,7.431795566020468,1
6545,3.814707001416664,2
9457,2.163812555906301,2
966,0.43883662187701833,0
7327,15.872365168077714,2
5797,2.7592848365897393,1
4385,8.837016613906519,2
565,3.352386971178012,0
6163,10.584090593555104,1
844,2.6604468326341784,1
9194,2.2624430407759646,2
9077,5.329586478224637,1
3202,3.051333120458069,2
5870,8.760931590403068,1
3279,6.529933118469872,3
7879,8.420007444809,2
1325,8.728278921849991,0
7143,3.0269679517758945,1
5753,4.452161999492753,1
