,R,Q
2021,-1.564481496670652,3
3951,7.023314560745266,2
3341,9.35199579139842,1
799,9.52314348029448,2
6495,7.763201259727468,2
5426,3.594415791038286,1
5640,0.1668189267464797,0
5399,1.8546508473147156,3
7960,3.865387551681347,1
9913,0.6997136074500991,1
428,2.9858741551264205,1
8772,9.465044261499116,2
4463,6.9301619884974635,1
7735,3.414952527602283,1
6218,6.136976957184384,1
7972,1.5641701491774276,0
9530,4.678160158542797,0
7489,3.0075055191014908,1
5027,11.373410945882393,1
6833,-3.5710851178201293,3
8926,10.154917330936598,3
8223,5.633082298654541,1
9861,2.9612102625809555,1
7955,9.587384715030758,2
5999,5.423822051906439,1
7652,6.79734536591777,1
8120,7.082394813038601,2
1617,7.885465499632101,2
4603,3.117473195038813,1
5863,3.0057709254608524,3
3305,5.160181604507018,2
6235,7.015070568237263,1
3740,4.894220504921554,1
2582,4.156610387726937,1
2788,10.40124502445334,1
8649,-2.3495412096773176,3
5829,6.402929837242172,3
3571,-2.3705755106093367,2
8291,15.551438902132823,1
4469,4.853036294563522,3
2770,1.3026133003821068,2
8777,5.924817355624864,2
256,4.787935482770691,1
2334,4.978495977371066,1
604,2.079060457821903,3
4562,6.813920837192512,3
8903,10.249247472679961,2
2002,-1.9286452292212575,2
4512,3.8700092683467613,3
9413,9.967182629826992,1
4926,0.26798105096396885,2
8595,0.2412303501200288,1
3612,4.897397388955527,2
1483,2.7577911190489237,0
6099,1.442327064878374,0
7543,1.1688293692742309,1
5814,1.6248391614991378,1
2614,6.213604375277218,2
2846,0.5339249760466576,3
6936,5.906758349975017,1
3155,-0.993041301104292,1
3150,3.60560988782419,0
6179,0.6237435920068249,3
4679,18.334434298988164,1
1157,7.26213361322365,1
995,14.857264047609462,1
1964,-3.27692265706322,2
9792,-2.673518707172684,0
3821,11.309042787210915,1
8009,2.4761665936693045,2
6060,-0.2685888894391697,1
4730,-1.249571253416816,2
6432,1.4343563068333118,2
4776,7.193907463858615,2
2154,12.57141061355821,1
1083,3.631369837843001,2
3313,2.9328729539729887,1
53,2.384382845969192,2
6643,6.92141448085969,2
8658,-1.93951021885649,1
8927,4.362882005572336,3
4647,2.508156150524542,1
