,R,Q
2021,-2.564481496670652,3
3951,6.023314560745266,2
3341,8.35199579139842,1
799,9.52314348029448,2
6495,7.763201259727468,2
5426,3.594415791038286,1
5640,-0.8331810732535203,0
5399,0.8546508473147156,3
7960,3.865387551681347,1
9913,0.6997136074500991,1
428,2.9858741551264205,1
8772,8.465044261499116,2
4463,5.9301619884974635,1
7735,2.414952527602283,1
6218,6.136976957184384,1
7972,0.5641701491774276,0
9530,3.6781601585427968,0
7489,2.0075055191014908,1
5027,11.373410945882393,1
6833,-4.571085117820129,3
8926,10.154917330936598,3
8223,4.633082298654541,1
9861,1.9612102625809555,1
7955,9.587384715030758,2
5999,5.423822051906439,1
7652,6.79734536591777,1
8120,7.082394813038601,2
1617,6.885465499632101,2
4603,3.117473195038813,1
5863,3.0057709254608524,3
3305,5.160181604507018,2
6235,7.015070568237263,1
3740,3.894220504921554,1
2582,4.156610387726937,1
2788,10.40124502445334,1
8649,-3.3495412096773176,3
5829,6.402929837242172,3
3571,-3.3705755106093367,2
8291,15.551438902132823,1
4469,4.853036294563522,3
2770,0.30261330038210676,2
8777,4.924817355624864,2
256,4.787935482770691,1
2334,4.978495977371066,1
604,1.0790604578219032,3
4562,5.813920837192512,3
8903,10.249247472679961,2
2002,-2.9286452292212575,2
4512,2.8700092683467613,3
9413,9.967182629826992,1
4926,-0.7320189490360312,2
8595,-0.7587696498799712,1
3612,3.897397388955527,2
1483,2.7577911190489237,0
6099,1.442327064878374,0
7543,1.1688293692742309,1
5814,1.6248391614991378,1
2614,6.213604375277218,2
2846,-0.46607502395334244,3
6936,5.906758349975017,1
3155,-1.993041301104292,1
3150,3.60560988782419,0
6179,0.6237435920068249,3
4679,17.334434298988164,1
1157,6.26213361322365,1
995,14.857264047609462,1
1964,-4.276922657063221,2
9792,-3.673518707172684,0
3821,10.309042787210915,1
8009,2.4761665936693045,2
6060,-1.2685888894391697,1
4730,-2.249571253416816,2
6432,1.4343563068333118,2
4776,6.193907463858615,2
2154,12.57141061355821,1
1083,3.631369837843001,2
3313,2.9328729539729887,1
53,1.384382845969192,2
6643,6.92141448085969,2
8658,-2.93951021885649,1
8927,4.362882005572336,3
4647,2.508156150524542,1
3916,1.2084414186642418,0
5474,3.8651756831483235,1
3882,1.781564890510406,1
4789,1.680007861144139,2
7166,6.2008238226250025,1
4258,-3.7472284787941126,0
8521,3.3196431040693017,2
7255,8.80249166245475,3
75,1.2987366582230593,1
8708,14.666324941349671,3
1121,1.0006479480819317,1
7667,-3.583657066122459,1
7225,6.422030192216264,1
3860,-3.702080243815155,3
367,-4.060726327689713,1
9850,13.25838941937169,2
1041,4.497654799915746,2
4384,-1.3334923339092573,1
92,-2.198355749137321,2
3154,5.229491371353755,2
501,-1.7487140869484845,2
1204,2.4711676877792073,1
949,4.190607727744709,0
3761,-2.7541440123667273,2
291,9.513252982951112,2
9678,8.717909645101447,3
8102,-1.263736189785297,1
1851,-1.0225218649586028,1
9751,5.718583121536355,1
905,9.30102534371963,1
6349,-1.7290421817725314,1
4064,3.286649934118374,1
5702,1.8208805560115762,1
7552,-0.5128139237002767,2
1329,4.81392739230757,1
8489,3.753875390199939,2
3232,-1.885643859807903,1
8930,5.690707983524059,0
1836,2.0788974341776614,0
534,1.9960329587234258,2
4480,-2.842874640734709,2
5762,15.211790484510548,0
4915,1.3800973602885234,0
5920,3.219418166550059,3
1089,6.652800641285406,1
194,9.807281728659609,2
9543,10.190535346591215,2
5817,-3.575391244281031,1
8199,6.552886618609014,3
8596,-0.5148825393028691,3
7141,1.7444705310615358,1
455,8.131125615351932,3
3596,7.154933366857412,1
7639,7.765352439472192,2
4875,0.9262891119340897,2
3755,3.1629063241372997,1
639,-0.21985317920097636,2
5135,-1.4136975760858919,2
7006,1.7925214054117615,2
5932,1.6592292542230318,1
5191,5.429072827431453,0
5298,-3.303787697973096,3
3053,-2.3683148259642635,0
3411,-3.3749762149183793,1
4901,-2.908816699755895,1
1840,2.075334818232264,2
2315,3.3148728480093164,1
4482,7.625260333826841,1
9320,11.720991399074894,0
6811,8.629695776597211,3
52,4.449317180722751,0
7312,-0.6488728992914492,1
997,1.4320743718847084,2
4400,-2.6005507510731336,1
2441,-4.212212436568528,2
8284,2.6638089154939806,0
6257,1.8592476273534169,2
4953,0.4040305166451743,0
4499,-4.197402129794403,0
965,8.44194982855829,1
1155,0.8037951146559177,2
5611,-0.01494362920047898,3
9099,1.5911751478876879,1
5347,1.975909985218208,2
6174,4.507828826370088,2
7178,5.856483178936536,2
4106,3.3501712427338877,1
609,1.7963877524371175,2
4833,8.000231060063973,1
1581,-2.004110416863706,1
7301,7.524240486693285,3
6194,-0.3822675906231572,1
957,3.0834071384050716,1
1195,-4.0458258297297185,2
329,-2.9762345852733234,3
172,-1.9528682481036896,0
2578,2.1002248222550257,2
7306,16.088834865859045,1
8039,2.6284555351909114,1
9973,-3.1832531776848003,2
7124,0.7531304385997993,1
