,R,Q,A
2021,-2.564481496670652,3,1
3951,6.023314560745266,2,1
3341,8.35199579139842,1,1
799,9.52314348029448,2,0
6495,7.763201259727468,2,0
5426,3.594415791038286,1,0
5640,-0.8331810732535203,0,1
5399,0.8546508473147156,3,1
7960,3.865387551681347,1,0
9913,0.6997136074500991,1,0
428,2.9858741551264205,1,0
8772,8.465044261499116,2,1
4463,5.9301619884974635,1,1
7735,2.414952527602283,1,1
6218,6.136976957184384,1,0
7972,0.5641701491774276,0,1
9530,3.6781601585427968,0,1
7489,2.0075055191014908,1,1
5027,11.373410945882393,1,0
6833,-4.571085117820129,3,1
8926,10.154917330936598,3,0
8223,4.633082298654541,1,1
9861,1.9612102625809555,1,1
7955,9.587384715030758,2,0
5999,5.423822051906439,1,0
7652,6.79734536591777,1,0
8120,7.082394813038601,2,0
1617,6.885465499632101,2,1
4603,3.117473195038813,1,0
5863,3.0057709254608524,3,0
3305,5.160181604507018,2,0
6235,7.015070568237263,1,0
3740,3.894220504921554,1,1
2582,4.156610387726937,1,0
2788,10.40124502445334,1,0
8649,-3.3495412096773176,3,1
5829,6.402929837242172,3,0
3571,-3.3705755106093367,2,1
8291,15.551438902132823,1,0
4469,4.853036294563522,3,0
2770,0.30261330038210676,2,1
8777,4.924817355624864,2,1
256,4.787935482770691,1,0
2334,4.978495977371066,1,0
604,1.0790604578219032,3,1
4562,5.813920837192512,3,1
8903,10.249247472679961,2,0
2002,-2.9286452292212575,2,1
4512,2.8700092683467613,3,1
9413,9.967182629826992,1,0
4926,-0.7320189490360312,2,1
8595,-0.7587696498799712,1,1
3612,3.897397388955527,2,1
1483,2.7577911190489237,0,0
6099,1.442327064878374,0,0
7543,1.1688293692742309,1,0
5814,1.6248391614991378,1,0
2614,6.213604375277218,2,0
2846,-0.46607502395334244,3,1
6936,5.906758349975017,1,0
3155,-1.993041301104292,1,1
3150,3.60560988782419,0,0
6179,0.6237435920068249,3,0
4679,17.334434298988164,1,1
1157,6.26213361322365,1,1
995,14.857264047609462,1,0
1964,-4.276922657063221,2,1
9792,-3.673518707172684,0,1
3821,10.309042787210915,1,1
8009,2.4761665936693045,2,0
6060,-1.2685888894391697,1,1
4730,-2.249571253416816,2,1
6432,1.4343563068333118,2,0
4776,6.193907463858615,2,1
2154,12.57141061355821,1,0
1083,3.631369837843001,2,0
3313,2.9328729539729887,1,0
53,1.384382845969192,2,1
6643,6.92141448085969,2,0
8658,-2.93951021885649,1,1
8927,4.362882005572336,3,0
4647,2.508156150524542,1,0
3916,1.2084414186642418,0,0
5474,3.8651756831483235,1,0
3882,1.781564890510406,1,0
4789,1.680007861144139,2,0
7166,6.2008238226250025,1,0
4258,-3.7472284787941126,0,1
8521,3.3196431040693017,2,1
7255,8.80249166245475,3,1
75,1.2987366582230593,1,0
8708,14.666324941349671,3,1
1121,1.0006479480819317,1,0
7667,-3.583657066122459,1,1
7225,6.422030192216264,1,0
3860,-3.702080243815155,3,1
367,-4.060726327689713,1,1
9850,13.25838941937169,2,0
1041,4.497654799915746,2,0
4384,-1.3334923339092573,1,1
92,-2.198355749137321,2,1
3154,5.229491371353755,2,0
501,-1.7487140869484845,2,1
1204,2.4711676877792073,1,0
949,4.190607727744709,0,1
3761,-2.7541440123667273,2,1
291,9.513252982951112,2,0
9678,8.717909645101447,3,1
8102,-1.263736189785297,1,1
1851,-1.0225218649586028,1,1
9751,5.718583121536355,1,0
905,9.30102534371963,1,1
6349,-1.7290421817725314,1,1
4064,3.286649934118374,1,0
5702,1.8208805560115762,1,1
7552,-0.5128139237002767,2,1
1329,4.81392739230757,1,0
8489,3.753875390199939,2,1
3232,-1.885643859807903,1,1
8930,5.690707983524059,0,0
1836,2.0788974341776614,0,0
534,1.9960329587234258,2,0
4480,-2.842874640734709,2,1
5762,15.211790484510548,0,0
4915,1.3800973602885234,0,0
5920,3.219418166550059,3,0
1089,6.652800641285406,1,1
194,9.807281728659609,2,0
9543,10.190535346591215,2,0
5817,-3.575391244281031,1,1
8199,6.552886618609014,3,0
8596,-0.5148825393028691,3,1
7141,1.7444705310615358,1,0
455,8.131125615351932,3,0
3596,7.154933366857412,1,0
7639,7.765352439472192,2,0
4875,0.9262891119340897,2,0
3755,3.1629063241372997,1,1
639,-0.21985317920097636,2,1
5135,-1.4136975760858919,2,1
7006,1.7925214054117615,2,0
5932,1.6592292542230318,1,1
5191,5.429072827431453,0,0
5298,-3.303787697973096,3,1
3053,-2.3683148259642635,0,1
3411,-3.3749762149183793,1,1
4901,-2.908816699755895,1,1
1840,2.075334818232264,2,1
2315,3.3148728480093164,1,0
4482,7.625260333826841,1,0
9320,11.720991399074894,0,0
6811,8.629695776597211,3,0
52,4.449317180722751,0,1
7312,-0.6488728992914492,1,1
997,1.4320743718847084,2,0
4400,-2.6005507510731336,1,1
2441,-4.212212436568528,2,1
8284,2.6638089154939806,0,1
6257,1.8592476273534169,2,0
4953,0.4040305166451743,0,1
4499,-4.197402129794403,0,1
965,8.44194982855829,1,0
1155,0.8037951146559177,2,1
5611,-0.01494362920047898,3,1
9099,1.5911751478876879,1,0
5347,1.975909985218208,2,1
6174,4.507828826370088,2,0
7178,5.856483178936536,2,1
4106,3.3501712427338877,1,0
609,1.7963877524371175,2,0
4833,8.000231060063973,1,0
1581,-2.004110416863706,1,1
7301,7.524240486693285,3,0
6194,-0.3822675906231572,1,1
957,3.0834071384050716,1,1
1195,-4.0458258297297185,2,1
329,-2.9762345852733234,3,1
172,-1.9528682481036896,0,1
2578,2.1002248222550257,2,1
7306,16.088834865859045,1,1
8039,2.6284555351909114,1,0
9973,-3.1832531776848003,2,1
7124,0.7531304385997993,1,0
6278,-0.07663024704450017,1,1
652,4.359203381022559,2,0
3996,-0.441973080491179,2,1
5689,-2.0823700057793046,3,1
4516,4.9481257632416185,1,1
2681,7.0958241913321345,2,0
5355,3.4140377685285923,2,0
8551,2.9549831176919037,2,1
6130,-1.4952034979305622,1,1
3112,2.4710795027807193,3,0
3218,11.215788976198168,3,0
8953,2.482142190056888,2,0
7229,-4.288766669532413,2,1
6586,-1.6130440491048175,2,1
4640,-0.12483348899187074,1,1
6271,2.7287523856517053,2,0
7845,7.55624383760213,2,0
6980,12.33331989329296,1,0
4535,10.306991830023305,3,0
7980,-0.898106028393375,1,1
176,-2.572484188503431,1,1
8053,9.028737832737999,2,1
3276,11.416900810853635,2,0
4030,5.092288893932983,1,1
8304,3.7905049801710335,1,0
1722,1.715210963760636,1,0
5389,7.813235819194347,2,1
5488,5.66526565087419,2,1
4872,2.6429208861916598,2,0
9118,1.2085194368267747,2,1
8840,7.161341985396767,2,0
5886,11.544160023534044,3,0
6261,10.023208012368102,2,0
7816,4.406876620640773,2,1
8536,-1.0972276183455332,0,1
6155,4.700847517965473,1,1
2842,2.7693230604468635,1,0
4066,-4.348198253720101,0,1
2041,9.006869976671394,1,0
7696,6.871301360590126,2,1
549,0.8003970100741533,3,1
2726,-4.590643642911337,1,1
8507,7.321741245590115,1,1
6966,1.4987910081723805,2,0
4100,6.22705333001963,2,0
1257,4.2815090403887055,2,1
5579,3.1899873000309604,1,1
5436,-1.73582832556293,1,1
1258,-1.458974172249083,2,1
7383,7.035572897196772,1,1
6544,-3.403479617323577,1,1
1285,6.032969394525466,1,0
7527,13.43422913618902,2,0
6492,10.584090593555104,1,0
5574,-0.8662038028474868,2,1
9480,1.266563605348793,2,1
2494,6.474101613031678,2,0
1621,0.8785342741240605,0,1
320,0.34291447313595924,2,1
3806,29.90495967743729,3,1
7827,12.793478599506631,2,0
5990,6.393239867227418,3,0
3063,3.7514666572652455,2,0
9822,0.788151257420374,2,1
8696,3.2610115323826907,2,0
1224,5.074526264638501,1,0
2721,1.940617922532109,2,1
6209,-1.6204421730139829,2,1
855,4.54314106840093,2,0
5402,3.3950254665250412,0,1
7882,5.40947846224868,2,0
6031,6.5563318708271865,1,1
9745,6.592600934337689,0,1
9945,-2.3159558770876374,2,1
2549,7.921869743578451,1,1
9356,16.51107945433754,1,1
9276,0.5720593693850322,1,1
7690,-1.7609637458329468,2,1
5672,4.759863409682231,2,0
831,2.9906415933251003,2,0
6411,12.443917307494022,1,0
8511,4.787774350232784,1,0
6479,4.2170177940887985,1,1
1201,2.4858759407379374,1,1
2572,-2.508007729136671,1,1
6341,-2.0934465763852086,0,1
5700,15.367452976771919,2,0
9052,5.31570513902637,2,0
2387,3.029986606896172,1,0
1939,-2.6850070430125585,2,1
7692,11.400818211766563,3,0
1479,2.688070354748798,1,1
9203,5.5870223792771005,1,0
3968,4.689483850106129,2,0
7825,6.143590193376049,1,0
3696,3.158640471877147,1,0
2096,5.734547585954315,1,0
9208,6.343567379333551,0,0
9091,4.258347810033795,3,1
6915,0.07646920789051848,3,1
6406,1.1601750407003406,1,1
4045,5.9961804211175975,2,0
5407,1.9579137667674482,2,0
9933,8.770346284416533,0,0
9161,-2.572876315320979,1,1
7727,-1.4600233178519062,2,1
6817,2.028693421447393,2,1
3243,2.920378921359864,2,0
2562,-4.450057244055065,0,1
7594,-0.563385347925502,2,1
2058,7.181824243602168,1,0
808,9.127847567753562,2,0
1022,5.303591340532131,2,0
3161,1.7055045002418492,1,1
8576,5.885406320716898,2,0
7701,2.3900475731709516,2,0
5974,1.1126167244089835,3,1
4913,-3.140404469153211,1,1
5025,7.553260493538589,2,0
2372,-3.88899845042297,1,1
2963,2.250299869441227,1,0
8974,6.124884298819913,2,0
530,1.6078435472560288,1,1
2017,-3.192582773407908,2,1
7637,-3.037569538636764,0,1
6888,3.422891918220813,3,1
2813,-2.2655899640668533,1,1
567,4.102483023934838,3,0
8787,-2.2579664090998497,1,1
9867,8.205091686025888,1,0
5053,-0.3595280675687613,2,1
9577,-0.6065470921959468,3,1
6562,-1.5800804806067132,1,1
9962,-3.791235474278755,3,1
2064,3.6976905688846404,0,0
8080,-2.236282883800559,1,1
3804,10.759675210664229,1,1
9590,0.765910864933776,1,1
2922,1.1556450948738106,1,0
7118,-2.41443313632816,2,1
5682,2.0392044346030325,2,0
2320,0.44043573498868405,2,1
8898,3.459798637715478,0,0
9581,-3.7322602409465064,3,1
3236,3.2499555297189335,3,0
640,10.620160459245263,2,0
8656,2.922030159037485,1,1
9344,2.0554007318608916,3,1
9766,1.3210918617980076,2,0
5033,1.0272374215307103,2,1
4093,1.7681531434816073,1,0
