,P,Q,A
2021,-5.572996968909508,3,1
3951,8.787026962261992,2,1
3341,9.242066894315428,1,1
799,6.7770658155751295,2,0
6495,7.813366155150593,2,0
5426,2.0947355249300452,1,0
5640,-0.8231648536274381,0,1
5399,5.245573140958008,3,1
7960,7.176239956034404,1,0
9913,1.6862417871140996,1,0
428,3.702834362948739,1,0
8772,9.313961670876207,2,1
4463,9.824719841835035,1,1
7735,6.618304101930496,1,1
6218,7.7236390272113,1,0
7972,1.7867147210304273,0,1
9530,8.719516931548583,0,1
7489,3.9980408057922845,1,1
5027,10.822511919191713,1,0
6833,-7.181106013991536,3,1
8926,11.381114113256547,3,0
8223,8.243021835455659,1,1
9861,2.793130316950024,1,1
7955,11.709565963853436,2,0
5999,4.781384059431351,1,0
7652,8.36310039626131,1,0
8120,6.9800968970773685,2,0
1617,11.752740914732769,2,1
4603,1.5948813890827565,1,0
5863,2.9434537582810516,3,0
3305,4.765687580045853,2,0
6235,4.521699349602723,1,0
3740,5.2310060760131485,1,1
2582,3.7047975381758276,1,0
2788,14.916486299554169,1,0
8649,-2.8239163101039084,3,1
5829,6.866950045561761,3,0
3571,2.691252218273323,2,1
8291,13.385609342520612,1,0
4469,1.9917255997616703,3,0
2770,0.6792743373373176,2,1
8777,7.222736030082827,2,1
256,0.21244056652532528,1,0
2334,2.963236339090732,1,0
604,2.143780501438124,3,1
4562,8.545504299003348,3,1
8903,9.668193803858927,2,0
2002,2.5531565330115504,2,1
4512,8.1013581060432,3,1
9413,15.425041380240675,1,0
4926,-1.163748959205821,2,1
8595,-2.5835112982508437,1,1
3612,9.009800075712562,2,1
1483,3.6883353108032266,0,0
6099,3.2300311879377928,0,0
7543,3.15541165239522,1,0
5814,5.269907706779899,1,0
2614,5.254355806252306,2,0
2846,-1.1457092914053777,3,1
6936,3.603738322501185,1,0
3155,1.280500534676883,1,1
3150,0.17428319403831338,0,0
6179,-2.039000055186088,3,0
4679,15.721793764716455,1,1
1157,7.807576660648053,1,1
995,13.824447072353369,1,0
1964,-2.9008537651939785,2,1
9792,-1.9200888750685299,0,1
3821,10.537488358292512,1,1
8009,2.7571763382597707,2,0
6060,-2.6529555993752174,1,1
4730,-1.8323951043946858,2,1
6432,-1.5652530367128343,2,0
4776,7.720884444987413,2,1
2154,15.52459694254473,1,0
1083,5.821015742702558,2,0
3313,4.101549509643828,1,0
53,3.218712344669653,2,1
6643,7.895644797933831,2,0
8658,-1.5204145096822106,1,1
8927,4.794144077682652,3,0
4647,5.935538987811054,1,0
3916,0.01652877976764011,0,0
5474,3.6768579773095555,1,0
3882,3.3503975949156626,1,0
4789,1.4205166243305747,2,0
7166,9.652612259764412,1,0
4258,-3.297590243507309,0,1
8521,4.2572494739564615,2,1
7255,11.941111491911627,3,1
75,0.7416846712029507,1,0
8708,13.4977715098923,3,1
1121,1.6565420628974676,1,0
7667,-1.515554370695905,1,1
7225,5.341814195544751,1,0
3860,0.5987995072862964,3,1
367,0.21915953060484972,1,1
9850,12.241115522584616,2,0
1041,5.112249902459668,2,0
4384,1.5727875995533425,1,1
92,-1.2481115567929484,2,1
3154,5.686765911384929,2,0
501,-1.061847539427009,2,1
1204,2.1350503594964048,1,0
949,9.069767897261642,0,1
3761,-0.010630920111210806,2,1
291,9.830497050375284,2,0
9678,10.520107525935245,3,1
8102,-2.5566780850449153,1,1
1851,1.7083761845292518,1,1
9751,5.825935099206709,1,0
905,12.845792011341388,1,1
6349,-0.4540689796457291,1,1
4064,2.9285940023473604,1,0
5702,3.5581448540781464,1,1
7552,-1.2581964949772688,2,1
1329,4.815103366902755,1,0
8489,4.55129815576588,2,1
3232,-1.761698040456569,1,1
8930,4.90119291510626,0,0
1836,3.6099920808953163,0,0
534,5.81270659281575,2,0
4480,-0.9934306884881139,2,1
5762,16.842598982159213,0,0
4915,-2.963143760112848,0,0
5920,1.8019116037383098,3,0
1089,10.54437288185439,1,1
194,12.541315493146909,2,0
9543,10.455317977730951,2,0
5817,0.402111007801607,1,1
8199,7.24001363385894,3,0
8596,3.1607430842893978,3,1
7141,0.4134026414305825,1,0
455,7.234947337498177,3,0
3596,8.772039524430166,1,0
7639,3.840168764614824,2,0
4875,0.8041690427359518,2,0
3755,6.666025791165902,1,1
639,3.349021733855647,2,1
5135,5.3802618416044155,2,1
7006,1.9511768272975119,2,0
5932,1.7362544038333125,1,1
5191,7.799599697707297,0,0
5298,-1.978559804157049,3,1
3053,-2.0155706816478833,0,1
3411,0.2222631083336204,1,1
4901,-1.9922927794914798,1,1
1840,0.9193149552793014,2,1
2315,2.5268233635257653,1,0
4482,6.929255092731825,1,0
9320,9.959837619114033,0,0
6811,11.589259709170015,3,0
52,11.101828787242333,0,1
7312,3.846466373655074,1,1
997,1.2506829326390865,2,0
4400,-2.3034353387332835,1,1
2441,-4.452702544039514,2,1
8284,4.435827725369169,0,1
6257,0.9898832565810568,2,0
4953,1.62277197959548,0,1
4499,-1.5762761263233132,0,1
965,9.271510406234686,1,0
1155,4.281857527316356,2,1
5611,-1.3223653320432178,3,1
9099,2.7338945622177415,1,0
5347,6.164277859231339,2,1
6174,2.9706980697663132,2,0
7178,7.700474944379592,2,1
4106,5.836975927033587,1,0
609,0.8753764591667135,2,0
4833,6.581112155764876,1,0
1581,-0.09022329735626011,1,1
7301,4.720880974683381,3,0
6194,-2.804867214384369,1,1
957,8.01298133576575,1,1
1195,-8.29699140756868,2,1
329,0.580923089233266,3,1
172,-1.4702669765602354,0,1
2578,5.559120850640838,2,1
7306,18.537138155118726,1,1
8039,2.842778030272676,1,0
9973,0.8885543791507549,2,1
7124,2.0219899688974325,1,0
6278,2.831107377521036,1,1
652,6.091733817664692,2,0
3996,-0.36387962273455066,2,1
5689,0.31776601159316964,3,1
4516,7.190121260064699,1,1
2681,9.47033717119833,2,0
5355,5.053634063607666,2,0
8551,4.032301398910759,2,1
6130,-1.170734797115664,1,1
3112,4.257454560038709,3,0
3218,10.075130865921167,3,0
8953,1.4532111733555118,2,0
7229,-0.6247714986022452,2,1
6586,2.160814931061416,2,1
4640,-0.6526034018885833,1,1
6271,3.50596114515898,2,0
7845,5.8978446411154755,2,0
6980,12.948557572587948,1,0
4535,8.759432315434653,3,0
7980,2.427185366123095,1,1
176,-2.245843299387255,1,1
8053,11.711336861415365,2,1
3276,9.134339597503647,2,0
4030,3.9423908425670864,1,1
8304,4.342696719481986,1,0
1722,0.6215363851714624,1,0
5389,7.165880560325668,2,1
5488,8.5409712764139,2,1
4872,2.1582215612210742,2,0
9118,0.2709785379286278,2,1
8840,6.162884589980585,2,0
5886,14.218369711150036,3,0
6261,8.89529403830367,2,0
7816,4.6280314358987065,2,1
8536,1.4197864826432223,0,1
6155,4.9539635631516,1,1
2842,-1.837351704191959,1,0
4066,-4.113260828921627,0,1
2041,7.370292689527724,1,0
7696,6.09184404704242,2,1
549,0.9335753936680324,3,1
2726,-4.484384456918687,1,1
8507,9.114228046214807,1,1
6966,3.9641314117353117,2,0
4100,3.4758147835776563,2,0
1257,4.3158854275681,2,1
5579,6.823545541198968,1,1
5436,-0.8752054659150895,1,1
1258,0.8211974745372946,2,1
7383,9.192831756480635,1,1
6544,-5.167390211042747,1,1
1285,4.160188257954081,1,0
7527,14.492663495685225,2,0
6492,10.186159460677393,1,0
5574,1.3231705463882544,2,1
9480,2.7628714722015837,2,1
2494,10.51735489307241,2,0
1621,1.9730819625005398,0,1
320,4.153167520934109,2,1
3806,30.696631135939686,3,1
7827,12.454083471114165,2,0
5990,5.82834730674519,3,0
3063,1.9456526112280903,2,0
9822,-0.36008644360681874,2,1
8696,0.4332541264618004,2,0
1224,5.656096248886583,1,0
2721,5.862637563246768,2,1
6209,-1.09312254438781,2,1
855,5.908969357548778,2,0
5402,6.122312282392335,0,1
7882,3.98749813946933,2,0
6031,8.676071615948233,1,1
9745,10.561468131260872,0,1
9945,-2.0543009576462126,2,1
2549,11.658957358225052,1,1
9356,17.1798337233052,1,1
9276,3.670288001550799,1,1
7690,0.04653739008231307,2,1
5672,5.136680930460758,2,0
831,3.9692176724842776,2,0
6411,12.313189464874757,1,0
8511,7.390459574999087,1,0
6479,3.811921162420405,1,1
1201,5.959651968293252,1,1
2572,1.7909496267116483,1,1
6341,0.9647237814208204,0,1
5700,17.66977307500982,2,0
9052,4.73923931480695,2,0
2387,0.07900218485995847,1,0
1939,2.0313841682136258,2,1
7692,11.447125768486533,3,0
1479,3.441481647175668,1,1
9203,5.533487422686627,1,0
3968,4.2718487094427875,2,0
7825,3.742966191798431,1,0
3696,6.484175362272852,1,0
2096,3.639654060293025,1,0
