,Y
6553,1
7360,1
3793,0
2177,0
1395,1
1523,1
939,0
6692,0
3335,0
1139,1
1170,0
450,1
4271,0
5167,1
4020,0
1027,1
2859,0
1746,0
4631,0
5388,0
5603,0
1287,1
1325,1
4738,1
1002,0
6886,1
6495,1
1924,0
507,1
1554,0
5304,0
4921,0
3276,1
2263,0
6496,0
3026,0
713,1
3780,0
5987,1
7408,1
41,1
4833,1
2273,1
4828,0
3094,1
3267,0
6141,0
5540,0
2063,0
1226,0
4529,1
2181,0
2934,0
3505,0
3134,1
6250,1
7149,1
161,0
2290,1
6771,0
6804,1
100,1
5802,1
4141,0
612,0
4629,0
4489,1
53,0
3940,1
5182,1
4403,1
2732,0
4824,0
1767,0
2760,1
7389,0
2827,0
3089,1
1467,0
3993,0
1769,0
3708,1
3786,1
3249,1
4914,0
6051,1
6979,1
6006,0
2807,0
5888,0
2352,0
7027,1
1041,1
3442,0
6162,1
4756,0
457,0
4999,0
1545,1
2638,0
2016,0
3453,1
3214,0
3519,0
3596,1
3323,0
1761,0
2326,0
5383,1
1985,0
6748,0
4794,1
5935,1
6433,1
2603,0
1934,0
6360,0
1438,0
3304,0
7005,0
3628,1
4796,1
5439,0
6302,0
4927,0
2092,1
4513,0
4872,0
6512,0
6356,0
1845,0
4304,0
4136,0
4044,1
1405,1
455,1
2703,0
6730,0
2669,0
2836,0
414,1
785,0
815,0
4836,0
5101,1
1716,0
4752,0
5736,0
6148,0
4386,1
2648,0
1197,1
1306,0
1764,0
1355,0
4650,1
3654,1
1459,0
6133,1
3371,1
3250,0
1204,0
1855,0
5883,1
2816,1
6983,0
2377,0
912,1
5979,0
2534,0
4610,1
5977,0
3313,0
1239,0
1856,1
7130,1
7234,1
3798,0
4552,0
4235,1
7233,1
4691,0
7256,1
291,1
4766,0
4678,1
6736,0
3681,0
5098,0
2540,1
1514,1
4367,1
5221,0
4621,0
3729,0
2116,0
5719,0
4711,0
3861,1
3819,1
4038,1
2611,0
134,0
1623,0
1777,1
497,0
2038,1
5318,0
1980,1
6375,0
2707,1
7132,0
502,0
1195,0
133,1
2411,1
1491,0
5962,0
5782,0
1465,1
5558,1
1718,1
333,0
3192,0
3617,0
2081,1
1043,1
1503,0
4885,0
3761,0
3859,0
6294,1
6948,1
6554,1
3502,1
3952,0
795,0
6319,1
2512,1
2099,0
4946,0
2842,0
937,1
7290,1
5055,1
213,0
4977,0
4083,0
1191,0
3602,1
3329,1
1276,0
5952,0
2954,0
2453,1
2185,0
5140,1
5863,1
6331,0
2164,0
6673,0
2389,1
2718,1
5587,0
1585,0
3503,1
4659,1
3927,1
2686,0
2988,0
4624,1
7179,0
1546,0
5992,1
1267,1
3880,1
5716,0
6746,1
1283,0
5222,1
677,0
6154,1
4453,0
7031,1
7104,0
4880,1
2433,0
3100,0
3359,1
1403,0
2301,0
7202,1
1137,0
5225,0
1332,0
5013,1
6909,1
4399,0
7455,1
1964,0
6396,0
2086,0
3542,0
6432,0
2989,1
4772,1
232,1
4223,1
260,0
4135,0
4900,0
4806,1
3877,1
1998,1
3352,1
3305,0
5928,1
2066,0
382,0
3858,0
3686,0
4232,1
1825,1
4208,1
3127,1
206,1
7292,1
4479,1
3048,0
5161,0
4140,0
2079,1
4214,0
5705,0
4587,0
4176,0
2547,1
738,1
431,0
890,1
6315,1
5635,0
4655,0
132,0
978,1
3529,0
1721,0
774,0
1961,0
4551,0
1629,1
5276,0
3951,1
4543,0
5143,1
330,0
7444,1
54,0
2046,1
6201,1
6898,1
2243,1
6535,1
2247,1
6077,1
2050,1
2186,1
5379,1
4384,0
2303,0
4184,1
5946,1
5294,1
6290,1
3274,0
6643,1
727,0
4366,1
7245,0
2777,1
3373,0
6394,1
5089,1
784,1
1838,1
5922,0
4472,0
3551,0
2852,0
1888,0
5214,0
797,1
5614,1
6196,1
1362,0
1991,1
5948,0
1850,1
7115,1
6648,1
6689,0
6066,0
3480,0
6678,0
4663,0
3437,0
4406,1
