,R,Q
3567,1.0567757633780144,1
4666,4.932461940602252,2
3569,6.153589281097394,1
3744,15.853266354851726,1
998,5.491988532622276,2
4906,2.756338316366111,2
688,0.8741442766509864,1
2390,7.771112706003584,2
53,0.38438284596919203,2
4629,2.389334706273644,1
1845,5.783866180720974,1
2780,8.615981561122608,1
3860,18.807684522993434,2
12,13.095530602450586,2
3035,5.741140554234001,1
4990,8.093715034512641,2
223,5.218941816081944,3
1743,0.13446940107897432,1
371,2.6114822324498173,3
2627,0.7038157960915828,0
3020,15.156502650373945,2
3031,7.514522220869978,2
139,2.5780105000565063,1
84,7.111053345051875,3
3764,10.522663856692557,1
536,5.297880403758539,2
4320,2.6967311880054203,3
2756,14.438765231860394,0
2703,9.153762419741764,2
2028,2.863695120182989,1
1494,6.789589677322217,2
647,12.061769831279925,3
682,3.365306563987118,1
3117,6.638729425250963,2
4197,1.0808511557061746,3
2628,6.127763898824542,3
36,-3.596858855365959,1
407,4.903696005096843,2
1887,2.937539770807553,0
3929,2.760245228276547,1
1226,0.2912435960557827,1
2006,3.734630519739464,1
2679,2.5574980820154365,1
4077,2.4365755759025225,3
3772,6.490768444868321,2
3030,3.748573698234254,2
1310,4.097602208742298,1
4297,4.251632644036306,3
178,1.9625966505325558,3
4401,2.8534950023301033,1
2299,8.67854231241864,2
3780,10.091193377280197,3
162,0.5065885361877119,1
2386,16.251554350821632,1
4071,11.719477534982008,1
662,5.133441560231339,0
3433,6.660662617180174,2
1432,7.7516961358066325,2
1026,1.5392373244728632,2
735,2.272209562531793,1
1166,6.426441321395762,2
2877,5.893127085663899,1
1471,5.426658625753586,1
216,16.360124668706977,2
4627,4.198671682189315,1
4050,5.161189345997278,2
3974,3.8536709585396896,2
3404,3.9210975269465957,1
1860,6.647746511969978,1
2887,6.2322704384933045,2
2229,3.883621180509481,2
2524,3.2425168694589095,2
4487,4.251201766492148,3
2358,7.554257642023975,3
845,4.738864288737108,1
4961,4.351051166664051,1
4898,2.6258004715021563,2
3897,3.626403284949522,2
3900,5.259390732787153,3
110,1.2458463830907625,2
1961,5.127477957124332,2
1479,9.788706347950816,2
4761,0.550871918519851,0
1869,2.762019451483244,1
2,-1.8531492468871393,2
1515,4.822962655298373,1
1451,5.388533751664632,0
2359,4.574419172275871,3
588,10.306713036618689,2
3679,4.5004812788915185,1
304,5.5900163672202225,0
3595,3.9240816544351156,1
498,10.457945218738674,0
965,1.4786759465917663,1
406,5.1099412570345715,1
4540,3.552923649317112,3
2713,3.200904365555208,1
4920,6.186302047907317,2
4160,9.898625528073183,3
1138,9.550512714346466,1
3046,4.3356198562945,2
554,4.518515473161919,3
4388,1.8729257377854687,1
4812,3.3284817223088385,2
3829,2.9357088010681687,2
1013,5.002645012719934,1
2050,6.260547424358107,1
2429,3.6821098080296832,0
2705,5.601283230412168,3
3422,1.7915330022825067,2
623,1.8916078270724266,1
2862,5.206785530128573,0
1925,2.7845321041248767,2
1717,6.0948730655267385,3
4293,2.3540855363712803,2
