,R,Q
2021,0.935518503329348,3
3951,9.523314560745266,2
3341,11.85199579139842,1
799,9.52314348029448,2
6495,7.763201259727468,2
5426,3.594415791038286,1
5640,2.6668189267464797,0
5399,4.354650847314716,3
7960,3.865387551681347,1
9913,0.6997136074500991,1
428,2.9858741551264205,1
8772,11.965044261499116,2
4463,9.430161988497463,1
7735,5.914952527602283,1
6218,6.136976957184384,1
7972,4.064170149177428,0
9530,7.178160158542797,0
7489,5.507505519101491,1
5027,11.373410945882393,1
6833,-1.0710851178201293,3
8926,10.154917330936598,3
8223,8.133082298654541,1
9861,5.4612102625809555,1
7955,9.587384715030758,2
5999,5.423822051906439,1
7652,6.79734536591777,1
8120,7.082394813038601,2
1617,10.385465499632101,2
4603,3.117473195038813,1
5863,3.0057709254608524,3
3305,5.160181604507018,2
6235,7.015070568237263,1
3740,7.394220504921554,1
2582,4.156610387726937,1
2788,10.40124502445334,1
8649,0.15045879032268217,3
5829,6.402929837242172,3
3571,0.1294244893906633,2
8291,15.551438902132823,1
4469,4.853036294563522,3
2770,3.8026133003821068,2
8777,8.424817355624864,2
256,4.787935482770691,1
2334,4.978495977371066,1
604,4.579060457821903,3
4562,9.313920837192512,3
8903,10.249247472679961,2
2002,0.5713547707787425,2
4512,6.370009268346761,3
9413,9.967182629826992,1
4926,2.767981050963969,2
8595,2.741230350120029,1
3612,7.397397388955527,2
1483,2.7577911190489237,0
6099,1.442327064878374,0
7543,1.1688293692742309,1
5814,1.6248391614991378,1
2614,6.213604375277218,2
2846,3.0339249760466576,3
6936,5.906758349975017,1
3155,1.506958698895708,1
3150,3.60560988782419,0
6179,0.6237435920068249,3
4679,20.834434298988164,1
1157,9.76213361322365,1
995,14.857264047609462,1
1964,-0.7769226570632203,2
9792,-0.17351870717268403,0
3821,13.809042787210915,1
8009,2.4761665936693045,2
6060,2.2314111105608303,1
4730,1.250428746583184,2
6432,1.4343563068333118,2
4776,9.693907463858615,2
2154,12.57141061355821,1
1083,3.631369837843001,2
3313,2.9328729539729887,1
53,4.884382845969192,2
6643,6.92141448085969,2
8658,0.5604897811435099,1
8927,4.362882005572336,3
4647,2.508156150524542,1
3916,1.2084414186642418,0
5474,3.8651756831483235,1
3882,1.781564890510406,1
4789,1.680007861144139,2
7166,6.2008238226250025,1
4258,-0.2472284787941128,0
8521,6.819643104069302,2
7255,12.30249166245475,3
75,1.2987366582230593,1
8708,18.16632494134967,3
1121,1.0006479480819317,1
7667,-0.08365706612245916,1
7225,6.422030192216264,1
3860,-0.202080243815155,3
367,-0.5607263276897134,1
