,R,Q,A
2021,-0.564481496670652,3,1
3951,8.023314560745266,2,1
3341,10.35199579139842,1,1
799,9.52314348029448,2,0
6495,7.763201259727468,2,0
5426,3.594415791038286,1,0
5640,1.1668189267464797,0,1
5399,2.8546508473147156,3,1
7960,3.865387551681347,1,0
9913,0.6997136074500991,1,0
428,2.9858741551264205,1,0
8772,10.465044261499116,2,1
4463,7.9301619884974635,1,1
7735,4.414952527602283,1,1
6218,6.136976957184384,1,0
7972,2.5641701491774276,0,1
9530,5.678160158542797,0,1
7489,4.007505519101491,1,1
5027,11.373410945882393,1,0
6833,-2.5710851178201293,3,1
8926,10.154917330936598,3,0
8223,6.633082298654541,1,1
9861,3.9612102625809555,1,1
7955,9.587384715030758,2,0
5999,5.423822051906439,1,0
7652,6.79734536591777,1,0
8120,7.082394813038601,2,0
1617,8.885465499632101,2,1
4603,3.117473195038813,1,0
5863,3.0057709254608524,3,0
3305,5.160181604507018,2,0
6235,7.015070568237263,1,0
3740,5.894220504921554,1,1
2582,4.156610387726937,1,0
2788,10.40124502445334,1,0
8649,-1.3495412096773178,3,1
5829,6.402929837242172,3,0
3571,-1.3705755106093367,2,1
8291,15.551438902132823,1,0
4469,4.853036294563522,3,0
2770,2.3026133003821068,2,1
8777,6.924817355624864,2,1
256,4.787935482770691,1,0
2334,4.978495977371066,1,0
604,3.079060457821903,3,1
4562,7.813920837192512,3,1
8903,10.249247472679961,2,0
2002,-0.9286452292212575,2,1
4512,4.870009268346761,3,1
9413,9.967182629826992,1,0
4926,1.2679810509639688,2,1
8595,1.2412303501200288,1,1
3612,5.897397388955527,2,1
1483,2.7577911190489237,0,0
6099,1.442327064878374,0,0
7543,1.1688293692742309,1,0
5814,1.6248391614991378,1,0
2614,6.213604375277218,2,0
2846,1.5339249760466576,3,1
6936,5.906758349975017,1,0
3155,0.006958698895707993,1,1
3150,3.60560988782419,0,0
6179,0.6237435920068249,3,0
4679,19.334434298988164,1,1
1157,8.26213361322365,1,1
995,14.857264047609462,1,0
1964,-2.27692265706322,2,1
9792,-1.673518707172684,0,1
3821,12.309042787210915,1,1
8009,2.4761665936693045,2,0
6060,0.7314111105608303,1,1
4730,-0.24957125341681596,2,1
6432,1.4343563068333118,2,0
4776,8.193907463858615,2,1
2154,12.57141061355821,1,0
1083,3.631369837843001,2,0
3313,2.9328729539729887,1,0
53,3.384382845969192,2,1
6643,6.92141448085969,2,0
8658,-0.9395102188564901,1,1
8927,4.362882005572336,3,0
4647,2.508156150524542,1,0
3916,1.2084414186642418,0,0
