,R,Q
2021,-6.564481496670652,3
3951,2.0233145607452663,2
3341,4.351995791398419,1
799,9.52314348029448,2
6495,7.763201259727468,2
5426,3.594415791038286,1
5640,-4.83318107325352,0
5399,-3.1453491526852844,3
7960,3.865387551681347,1
9913,0.6997136074500991,1
428,2.9858741551264205,1
8772,4.465044261499116,2
4463,1.9301619884974635,1
7735,-1.5850474723977168,1
6218,6.136976957184384,1
7972,-3.4358298508225724,0
9530,-0.32183984145720324,0
7489,-1.9924944808985092,1
5027,11.373410945882393,1
6833,-8.571085117820129,3
8926,10.154917330936598,3
8223,0.633082298654541,1
9861,-2.0387897374190445,1
7955,9.587384715030758,2
5999,5.423822051906439,1
7652,6.79734536591777,1
8120,7.082394813038601,2
1617,2.885465499632101,2
4603,3.117473195038813,1
5863,3.0057709254608524,3
3305,5.160181604507018,2
6235,7.015070568237263,1
3740,-0.10577949507844586,1
2582,4.156610387726937,1
2788,10.40124502445334,1
8649,-7.349541209677318,3
5829,6.402929837242172,3
3571,-7.370575510609337,2
8291,15.551438902132823,1
4469,4.853036294563522,3
2770,-3.6973866996178932,2
8777,0.9248173556248638,2
256,4.787935482770691,1
2334,4.978495977371066,1
604,-2.920939542178097,3
4562,1.8139208371925122,3
8903,10.249247472679961,2
2002,-6.9286452292212575,2
4512,-1.1299907316532387,3
9413,9.967182629826992,1
4926,-4.732018949036031,2
8595,-4.758769649879971,1
3612,-0.10260261104447288,2
1483,2.7577911190489237,0
6099,1.442327064878374,0
7543,1.1688293692742309,1
5814,1.6248391614991378,1
2614,6.213604375277218,2
2846,-4.466075023953342,3
6936,5.906758349975017,1
3155,-5.993041301104292,1
3150,3.60560988782419,0
6179,0.6237435920068249,3
4679,13.334434298988164,1
1157,2.26213361322365,1
995,14.857264047609462,1
1964,-8.27692265706322,2
9792,-7.6735187071726845,0
3821,6.309042787210915,1
8009,2.4761665936693045,2
6060,-5.26858888943917,1
4730,-6.249571253416816,2
6432,1.4343563068333118,2
4776,2.193907463858615,2
2154,12.57141061355821,1
1083,3.631369837843001,2
3313,2.9328729539729887,1
53,-2.615617154030808,2
6643,6.92141448085969,2
8658,-6.9395102188564906,1
8927,4.362882005572336,3
4647,2.508156150524542,1
3916,1.2084414186642418,0
5474,3.8651756831483235,1
3882,1.781564890510406,1
4789,1.680007861144139,2
7166,6.2008238226250025,1
4258,-7.747228478794113,0
8521,-0.6803568959306983,2
7255,4.8024916624547505,3
75,1.2987366582230593,1
8708,10.666324941349671,3
1121,1.0006479480819317,1
7667,-7.583657066122459,1
7225,6.422030192216264,1
3860,-7.702080243815155,3
367,-8.060726327689714,1
9850,13.25838941937169,2
1041,4.497654799915746,2
4384,-5.333492333909257,1
92,-6.1983557491373205,2
3154,5.229491371353755,2
501,-5.7487140869484845,2
1204,2.4711676877792073,1
949,0.1906077277447089,0
3761,-6.754144012366727,2
291,9.513252982951112,2
9678,4.717909645101447,3
8102,-5.263736189785297,1
1851,-5.022521864958603,1
9751,5.718583121536355,1
905,5.30102534371963,1
6349,-5.729042181772531,1
4064,3.286649934118374,1
5702,-2.179119443988424,1
7552,-4.512813923700277,2
1329,4.81392739230757,1
8489,-0.24612460980006112,2
3232,-5.885643859807903,1
8930,5.690707983524059,0
1836,2.0788974341776614,0
534,1.9960329587234258,2
4480,-6.842874640734709,2
5762,15.211790484510548,0
4915,1.3800973602885234,0
5920,3.219418166550059,3
1089,2.652800641285406,1
194,9.807281728659609,2
9543,10.190535346591215,2
5817,-7.575391244281031,1
8199,6.552886618609014,3
8596,-4.514882539302869,3
7141,1.7444705310615358,1
455,8.131125615351932,3
3596,7.154933366857412,1
7639,7.765352439472192,2
4875,0.9262891119340897,2
3755,-0.8370936758627003,1
639,-4.219853179200976,2
5135,-5.413697576085892,2
7006,1.7925214054117615,2
5932,-2.340770745776968,1
5191,5.429072827431453,0
5298,-7.303787697973096,3
3053,-6.368314825964264,0
3411,-7.374976214918379,1
4901,-6.908816699755895,1
1840,-1.924665181767736,2
2315,3.3148728480093164,1
4482,7.625260333826841,1
9320,11.720991399074894,0
6811,8.629695776597211,3
52,0.4493171807227512,0
7312,-4.648872899291449,1
997,1.4320743718847084,2
4400,-6.600550751073134,1
2441,-8.212212436568528,2
8284,-1.3361910845060194,0
6257,1.8592476273534169,2
4953,-3.5959694833548257,0
4499,-8.197402129794403,0
965,8.44194982855829,1
1155,-3.1962048853440823,2
5611,-4.014943629200479,3
9099,1.5911751478876879,1
5347,-2.024090014781792,2
6174,4.507828826370088,2
7178,1.8564831789365357,2
4106,3.3501712427338877,1
609,1.7963877524371175,2
4833,8.000231060063973,1
1581,-6.004110416863706,1
7301,7.524240486693285,3
6194,-4.382267590623157,1
957,-0.9165928615949284,1
1195,-8.045825829729718,2
329,-6.976234585273323,3
172,-5.952868248103689,0
2578,-1.8997751777449743,2
7306,12.088834865859045,1
8039,2.6284555351909114,1
9973,-7.183253177684801,2
7124,0.7531304385997993,1
6278,-4.0766302470445,1
652,4.359203381022559,2
3996,-4.441973080491179,2
5689,-6.082370005779305,3
4516,0.9481257632416185,1
2681,7.0958241913321345,2
5355,3.4140377685285923,2
8551,-1.0450168823080963,2
6130,-5.495203497930563,1
3112,2.4710795027807193,3
3218,11.215788976198168,3
8953,2.482142190056888,2
7229,-8.288766669532412,2
6586,-5.6130440491048175,2
4640,-4.124833488991871,1
6271,2.7287523856517053,2
7845,7.55624383760213,2
6980,12.33331989329296,1
4535,10.306991830023305,3
7980,-4.898106028393375,1
176,-6.572484188503431,1
8053,5.028737832737999,2
3276,11.416900810853635,2
4030,1.0922888939329827,1
8304,3.7905049801710335,1
1722,1.715210963760636,1
5389,3.8132358191943467,2
5488,1.6652656508741899,2
4872,2.6429208861916598,2
9118,-2.7914805631732253,2
8840,7.161341985396767,2
5886,11.544160023534044,3
6261,10.023208012368102,2
7816,0.406876620640773,2
8536,-5.097227618345533,0
6155,0.7008475179654727,1
2842,2.7693230604468635,1
4066,-8.348198253720101,0
2041,9.006869976671394,1
7696,2.8713013605901256,2
549,-3.1996029899258467,3
2726,-8.590643642911337,1
8507,3.3217412455901147,1
6966,1.4987910081723805,2
4100,6.22705333001963,2
1257,0.2815090403887055,2
5579,-0.8100126999690396,1
5436,-5.73582832556293,1
1258,-5.458974172249083,2
7383,3.035572897196772,1
6544,-7.403479617323577,1
1285,6.032969394525466,1
7527,13.43422913618902,2
6492,10.584090593555104,1
5574,-4.866203802847487,2
9480,-2.733436394651207,2
2494,6.474101613031678,2
1621,-3.1214657258759395,0
320,-3.6570855268640408,2
3806,25.90495967743729,3
7827,12.793478599506631,2
5990,6.393239867227418,3
3063,3.7514666572652455,2
9822,-3.211848742579626,2
8696,3.2610115323826907,2
1224,5.074526264638501,1
2721,-2.059382077467891,2
6209,-5.620442173013982,2
855,4.54314106840093,2
5402,-0.6049745334749588,0
7882,5.40947846224868,2
6031,2.5563318708271865,1
9745,2.592600934337689,0
9945,-6.315955877087637,2
2549,3.9218697435784513,1
9356,12.51107945433754,1
9276,-3.427940630614968,1
7690,-5.760963745832947,2
5672,4.759863409682231,2
831,2.9906415933251003,2
6411,12.443917307494022,1
8511,4.787774350232784,1
6479,0.2170177940887985,1
1201,-1.5141240592620626,1
2572,-6.508007729136671,1
6341,-6.093446576385208,0
5700,15.367452976771919,2
9052,5.31570513902637,2
2387,3.029986606896172,1
1939,-6.6850070430125585,2
7692,11.400818211766563,3
1479,-1.311929645251202,1
9203,5.5870223792771005,1
3968,4.689483850106129,2
7825,6.143590193376049,1
3696,3.158640471877147,1
2096,5.734547585954315,1
9208,6.343567379333551,0
9091,0.25834781003379526,3
6915,-3.9235307921094815,3
6406,-2.8398249592996594,1
4045,5.9961804211175975,2
5407,1.9579137667674482,2
9933,8.770346284416533,0
9161,-6.572876315320979,1
7727,-5.460023317851906,2
6817,-1.971306578552607,2
3243,2.920378921359864,2
2562,-8.450057244055065,0
7594,-4.563385347925502,2
2058,7.181824243602168,1
808,9.127847567753562,2
1022,5.303591340532131,2
3161,-2.294495499758151,1
8576,5.885406320716898,2
7701,2.3900475731709516,2
5974,-2.8873832755910165,3
4913,-7.140404469153211,1
5025,7.553260493538589,2
2372,-7.88899845042297,1
2963,2.250299869441227,1
8974,6.124884298819913,2
530,-2.392156452743971,1
2017,-7.192582773407908,2
7637,-7.037569538636764,0
6888,-0.5771080817791869,3
2813,-6.265589964066853,1
567,4.102483023934838,3
8787,-6.25796640909985,1
9867,8.205091686025888,1
5053,-4.359528067568761,2
9577,-4.606547092195947,3
6562,-5.580080480606713,1
9962,-7.791235474278755,3
2064,3.6976905688846404,0
8080,-6.236282883800559,1
3804,6.759675210664229,1
9590,-3.234089135066224,1
2922,1.1556450948738106,1
7118,-6.41443313632816,2
5682,2.0392044346030325,2
2320,-3.559564265011316,2
8898,3.459798637715478,0
9581,-7.732260240946506,3
3236,3.2499555297189335,3
640,10.620160459245263,2
8656,-1.0779698409625151,1
9344,-1.9445992681391084,3
9766,1.3210918617980076,2
5033,-2.9727625784692897,2
4093,1.7681531434816073,1
4136,-6.164814940456637,0
8823,-3.925037481048049,1
801,-1.7639913669550973,0
5948,4.309076663452827,2
5158,-7.851114450944274,1
9532,3.671145067784292,1
3398,-0.6358922503707092,1
5897,4.558887793105619,1
4918,5.71631685915392,2
166,5.00143141616952,1
7430,-8.200744341391971,2
3286,2.7065327646392596,2
2178,-5.97400366264236,1
4607,-1.458466728698241,0
521,-2.9706140598497015,0
7984,-7.628512126202106,0
4252,-4.898055241726591,1
1842,-0.02015066771386742,1
3777,2.619616389566753,2
3836,9.347357575543871,1
9292,-4.553798783958763,3
9194,-7.0240412752918235,2
1159,7.708615996245248,2
5807,2.680985299595214,3
4681,-7.654288246525677,2
3568,9.934383925431078,1
8968,10.8541964048755,1
8714,2.1540543177685585,3
6316,-1.7516723060783264,1
4803,5.589023185580591,1
2356,-8.430440183274005,1
8132,5.4555985200712565,2
6098,15.210217450137673,1
213,6.722774377717734,1
1176,-4.8341339052011785,1
8944,-4.702058001712032,0
1286,-1.2628365581165824,2
7762,-3.1707926607893793,2
2753,-7.352548210588617,2
3012,3.183749554975255,1
5296,-8.311734779680489,1
1118,-3.12758766258266,2
3106,-4.6242094245976615,2
5462,2.4205107777055046,2
2880,-7.121843608271113,2
2035,-4.317280067199493,1
6489,-8.080201141916742,2
180,-1.567691644565734,2
1374,1.413225713853432,0
939,3.63102693585558,1
1441,-4.164027159560481,2
2828,14.684335413416953,2
5608,16.393996284204377,2
6366,1.8693168139979974,1
6070,13.974865717021192,1
2812,-6.285771469107017,2
1435,-4.202926501698303,1
7751,-7.221741179525371,0
8154,-1.3582279569456723,1
1078,3.405703323665299,0
6828,-4.712961515030878,2
2226,14.097997723611577,2
2227,8.794458828351695,1
4215,2.04686308242231,0
787,1.3869455890758067,2
79,5.270271880824442,1
9186,10.385119453654873,2
4648,12.614164328276473,2
85,-7.4125858290975195,1
535,8.27581222746131,1
1140,-5.165449976529585,1
4377,10.719284106705562,1
9583,2.6918280240503014,2
4576,8.771693909115347,0
4388,-5.3321723758196695,2
7666,2.1781650293604162,2
8949,-2.959700422120136,1
8016,-6.158904562453854,2
1274,-5.591578941616017,2
8346,-5.090615379587666,1
495,6.190881482923267,1
888,-4.1367724488426,2
7518,3.0539356115227427,2
7216,15.899099968488088,2
6555,-7.825741521821412,0
5385,1.6268787348740261,1
9310,4.3013957094084105,1
1049,11.98533466516121,2
8958,0.5269764199719317,1
18,-4.052092563179206,2
3214,-8.744252341523753,3
4382,9.334867832929966,0
4867,3.7638067686220893,3
1571,9.664332255180526,2
7869,1.2419175309141726,2
5665,11.092736068283175,2
7356,0.8156466344324116,2
7167,16.739245114417063,2
3123,0.831751961502823,1
6211,3.88203615943071,2
3509,11.726435468587603,2
1568,0.03953206952080279,2
8040,7.681779785273196,3
3353,-6.430624344522624,0
7362,-6.9527782520961985,1
4615,5.3673933752722505,2
6041,10.77001416214524,1
1126,-7.42766757625777,2
8000,-5.914078919421762,2
573,3.613715813111355,2
3267,-7.162938714085096,3
9494,0.7810504070097751,1
7351,1.1427015366150992,1
4781,0.19211108740287486,2
8428,-7.222756438086625,0
5271,9.864309920610118,3
6741,-1.9049766864275242,3
1501,-2.3472951559521604,1
8844,3.2119773890627155,1
3315,8.993608199842528,1
687,-5.057548274986661,1
629,-2.534421503469118,2
4944,-5.098055549047608,1
4337,-7.568017637941848,2
5214,4.844375844504735,0
4621,2.4075085906391775,2
5958,-5.262207364681307,1
4664,4.631814494474,2
585,-1.689409258003268,3
6188,8.760931590403068,1
8052,4.95516888013346,1
6065,-4.649624912811932,1
8038,-1.4180700163271514,2
7856,7.159973612468299,1
7799,7.454218558934761,0
6180,1.7664276518903805,2
1666,16.45327417770019,0
4742,4.381356927051601,2
3195,-7.41560478155335,0
2515,2.1139295181451683,0
7274,5.366555176343169,2
2506,-4.800665250430317,1
6829,-5.878919614560022,1
2396,10.113793051615863,2
6798,2.8763330222684553,1
433,-3.249424885883627,1
2956,4.009425504359571,1
7009,2.2719531932112,2
9489,-7.531814066860764,2
6089,-4.107728690435501,1
9395,7.202989244446248,3
1867,12.987496698780301,0
7764,18.214085589826063,1
724,-6.46813570885377,2
9448,11.186390583692992,1
8815,14.658377712961103,1
1974,3.9340862787486666,1
6520,-5.972411745091712,1
6264,-5.666418142281877,2
1304,-0.775715243439949,1
2234,9.550512714346466,1
8337,6.548387938840732,0
8921,2.7950282916975615,2
8310,8.322086972468629,2
3410,-4.583830974159784,2
4,13.949143236691953,2
5646,5.643492642280319,0
3729,0.8702201966398355,1
8198,2.1274502461270206,1
6532,4.873712642934496,1
582,-3.1936589757526708,1
9645,-5.39167342598113,3
875,4.1731439045591605,2
1473,2.2439182285162103,1
4408,2.412880900369721,2
3651,-6.526089054832404,1
6778,0.5762835850799135,1
9918,6.990268612487181,1
7474,-4.095189334326728,0
6633,-4.647119779564033,1
8110,-6.745061841817973,1
1693,2.361665488343708,1
9830,2.756338316366111,2
5614,4.588602935419754,1
8698,2.6967311880054203,3
3310,1.9245869631424135,2
812,-1.8472196109822958,1
1264,6.471041255736976,2
6172,-4.886883285505219,1
892,5.242709631027016,0
6080,-7.887735049096978,3
1726,10.260676787294349,2
5759,13.860800946238353,2
7988,1.7225286015160899,2
9791,8.390211982618723,3
3443,3.7199359528838762,2
5316,1.7351344390137502,3
8942,-3.4210797885718893,3
2401,-2.265418140414198,1
5336,3.9198559575144643,0
5155,-2.7050163856286664,1
8101,-8.162906549270911,2
1695,3.6187666934218683,3
6439,-3.036296503843829,3
4503,6.087133901498313,2
5371,4.5253012060606554,1
8124,-3.078709919348542,3
852,1.7536324710632103,2
5843,-5.254305497705669,0
9352,-5.546022831186598,0
3130,-4.209169155428152,2
4226,-4.158101633835275,1
2875,5.601465394354106,3
2962,-8.031409179076666,1
1929,4.218012172786558,2
8174,-1.2768088600990186,0
2719,14.607971064539669,1
7492,4.698796601910782,1
5122,5.520569582189525,1
7032,-0.3600772616178194,1
8345,5.1125656142510785,1
5784,-3.5893932246530573,1
5478,3.4531314741047012,0
8817,13.03618117048988,1
8342,1.7557725768280912,1
5954,3.2507220976994935,2
7876,-5.9277167526120405,1
6436,-7.595934246012046,1
1788,1.8936442187149085,2
9251,2.811418547739126,1
7724,4.7025126386689555,2
6391,0.3745763214639872,2
854,-4.313433469307812,2
6498,-4.646485132784482,0
3721,3.3052800440975973,1
6879,8.079687211678698,0
971,4.9251646805895115,1
9758,-7.588202368831308,1
2628,2.8402587622994977,1
6273,-3.896257207935057,1
5368,-3.4237234008627544,0
6148,16.190402532593126,2
7730,7.038334203880444,1
6120,6.351199241441732,2
9734,0.6424945176611727,2
6540,7.245082762574933,0
2094,7.022754489411006,1
44,-4.137474105333288,2
9591,-0.4628147463229002,3
3272,11.11045725669483,2
4417,2.6646847634955493,3
3663,6.590702767203038,2
2966,4.298799380221186,3
1544,-4.927998846095787,1
4813,-4.87062827841353,2
6122,1.1169988111567473,3
4914,4.535352589023383,2
494,3.6437351815320773,1
9966,14.11237382648001,2
9181,-6.59391494485029,1
6793,-6.506920661566795,1
668,2.6114822324498173,3
145,-1.7780970902226727,2
2005,6.488551019913093,1
5410,5.627398917625443,1
4275,-0.6975517828415327,1
9793,-4.762786909563152,1
1133,-1.7757071483223656,1
7157,11.175867492443896,1
531,4.844340789777096,1
3423,-5.2630925227318635,0
4218,-1.8873903936001515,1
5076,6.11610222544969,1
555,-5.536626278803394,1
4402,7.602429746221956,2
4573,-6.306297651697533,3
795,-5.1485030328015515,2
3055,-6.637339404730574,1
8919,9.067415890194809,1
1593,0.4902816286492343,1
3143,-5.210465479309301,2
6985,5.788563388496319,2
9074,11.735632538164452,2
9121,-6.576997477473441,2
3343,-1.307435141205218,2
7682,3.8632802551685614,1
8046,2.564025636225427,2
6992,-2.228050121417568,2
8436,2.8853917839881777,1
5200,-7.729478096763287,2
2495,2.2665283319715934,3
2761,-0.7076256232735947,2
5957,-4.367751433465874,2
7817,-2.591911873290165,2
3993,3.471191905035656,1
856,-7.010163435444099,1
8248,5.002180222220833,2
9129,-5.779775821913085,1
4884,-7.644098399881772,1
1423,-6.98852144047419,2
140,2.877134751088927,1
5571,-1.0550202460243554,2
1612,3.2000356350240384,1
7122,-5.549999307476187,2
2430,0.04944553826693898,2
9122,17.285950928435106,1
6564,11.239561873173942,3
9187,10.809411359988966,2
8107,-6.326769680279506,1
8390,-6.040527879910325,1
5367,3.3481102294911538,2
7574,5.332478812947716,2
302,5.394663625371583,0
6525,-5.667757752456384,2
7066,-2.504658413480179,3
8512,6.542234740125178,2
6551,-2.5506453290602327,3
1390,8.728278921849991,0
1760,1.827887624491526,1
3707,9.941030899257063,2
7529,8.909026901765543,2
1163,12.998770188437927,0
8262,-8.73345769638985,2
6015,-4.769183503911483,1
1132,7.081145643054015,2
6859,-3.8372943511630897,2
1248,8.156956375244757,0
171,-6.044731286394121,1
778,3.338388098417573,2
2304,-4.035888235859278,2
7803,0.8282174055173459,2
6189,-6.395594300897037,1
8899,9.079001918984797,2
12,13.095530602450586,2
2493,2.2324623468266727,2
31,-5.348043559024037,0
2899,6.827954476324404,2
2379,5.173776099243891,2
3266,7.941887751272699,3
6964,3.81727629709312,1
1243,-8.406983199240853,1
6334,-1.6792659970826564,1
6077,-4.6595139472442,1
5038,-3.045722832793081,1
9803,-6.620360699233002,1
4711,0.6132766292905654,2
8584,-5.252257585571284,1
345,2.0865441104532656,2
5946,3.6350435194841957,0
8210,2.48497524276436,3
1062,8.214175336480174,2
7588,-3.42116865650066,1
6240,6.9267645083657285,2
5215,7.380522040863177,3
8860,-6.452026485226429,2
2185,2.986238234186551,1
6421,9.454281177933478,2
6776,-1.2317931872036985,1
915,10.457945218738674,0
2135,4.280791802234165,3
4331,4.550807524492946,2
6137,-8.378922756821787,1
6363,4.526808436929096,2
9928,11.305042087955401,0
136,10.514437668084888,1
6156,-5.623071065262977,2
772,-6.703567654035364,0
5504,2.4393437766071795,1
9084,6.557207054554314,2
8281,-6.058499656921162,1
7685,5.243978850624536,3
9411,-6.277221958798819,1
1031,4.518515473161919,3
8728,3.592639793547576,2
1283,1.1455784949297587,1
951,-6.9597556744747155,1
6869,5.0033918976371305,2
3347,-4.984323464503233,1
4235,7.411820960934808,2
