,R,Q
8401,-1.5091540275033437,2
3169,13.070569075208958,2
1083,8.119736710572171,2
6244,1.5235185240508997,2
1893,-2.289404089874542,1
418,7.16004212951095,1
4111,8.119311519477662,2
5444,12.443917307494022,1
5593,-2.5901681191670645,1
7595,-1.4498419117709576,2
4003,-0.35917947523141613,1
2893,2.25058515085534,2
8357,13.25838941937169,2
6457,2.0779673392273486,0
5802,-0.8281946996509997,1
5532,3.7243971809751786,1
1017,5.081330050928975,0
3217,6.6487773866385655,2
5351,7.98725333353309,2
3075,8.822241880968683,2
3865,4.356369281315401,1
1025,1.7115738002530057,1
4943,10.761112747546665,2
3421,2.488545692010039,3
8071,2.467134575629011,1
5535,3.386657536650456,1
2346,2.4621357644359394,0
5566,1.1788132865684817,2
7994,-0.612061662767168,2
4499,-1.3037876979730958,3
7767,2.29447394385926,3
8087,3.671145067784292,1
5467,2.963703496156171,3
7006,-2.7334576963898507,2
1649,-0.6850070430125585,2
2075,-2.2122124365685285,2
2181,0.18863047445700065,2
3816,-0.842874640734709,2
2240,2.8402587622994977,1
8282,6.353751123179521,2
5914,1.4987910081723805,2
1489,4.583525048784622,1
4830,-1.9066524918796441,1
4670,-0.8237543126160252,3
6713,3.5612226945282233,2
1269,3.3271411478299546,1
3208,-2.525894785616347,0
5247,5.005685258608872,2
6693,2.8133908166956028,3
7831,-1.8534186887926998,3
3160,4.065467349729111,3
3073,4.715388482120655,1
7171,4.8291419341237445,0
6393,0.5403363573746285,0
303,6.778237027764629,3
3674,3.319846454044667,2
1927,3.0456565034809433,0
5156,3.293500578250315,2
5727,15.067320068905303,1
4452,16.11589093084447,1
4868,0.6571284072441284,2
1445,2.361665488343708,1
6270,3.965238326125503,1
3502,2.9714575237218295,1
3138,0.1720673396792125,1
7026,6.52204409794758,1
4542,3.4140377685285923,2
2227,6.213604375277218,2
6189,-2.0369572009351353,1
4788,2.1358723163739093,1
1923,5.315481834335072,2
7589,0.5269764199719317,1
6182,8.369557912849947,2
3343,2.4001114176115386,3
4370,3.5367497894344986,2
2501,-0.9134064053207607,0
3951,2.508156150524542,1
6764,3.280203772622506,2
4432,5.205594131716671,1
2575,3.183749554975255,1
6246,2.2347904336165896,1
2371,0.8925413870221061,1
6232,6.5279656895985685,0
6052,0.6707577850819859,1
6188,0.34714103313500555,2
2120,2.2324623468266727,2
4932,2.702354041621075,1
6760,11.12302584711688,1
7513,2.722576322585594,1
2372,10.40124502445334,1
7851,2.582661086405091,2
1587,1.3732831874494356,2
6237,-0.9112721773450811,2
