,P,Q
2021,-11.47299696890951,3
3951,2.8870269622619915,2
3341,3.342066894315428,1
799,6.7770658155751295,2
6495,7.813366155150593,2
5426,2.0947355249300452,1
5640,-6.723164853627438,0
5399,-0.6544268590419917,3
7960,7.176239956034404,1
9913,1.6862417871140996,1
428,3.702834362948739,1
8772,3.4139616708762066,2
4463,3.924719841835035,1
7735,0.7183041019304963,1
6218,7.7236390272113,1
7972,-4.113285278969573,0
9530,2.8195169315485833,0
7489,-1.9019591942077152,1
5027,10.822511919191713,1
6833,-13.081106013991535,3
8926,11.381114113256547,3
8223,2.3430218354556587,1
9861,-3.106869683049976,1
7955,11.709565963853436,2
5999,4.781384059431351,1
7652,8.36310039626131,1
8120,6.9800968970773685,2
1617,5.8527409147327685,2
4603,1.5948813890827565,1
5863,2.9434537582810516,3
3305,4.765687580045853,2
6235,4.521699349602723,1
3740,-0.6689939239868515,1
2582,3.7047975381758276,1
2788,14.916486299554169,1
8649,-8.723916310103908,3
5829,6.866950045561761,3
3571,-3.208747781726677,2
8291,13.385609342520612,1
4469,1.9917255997616703,3
2770,-5.220725662662682,2
8777,1.322736030082827,2
256,0.21244056652532528,1
2334,2.963236339090732,1
604,-3.756219498561876,3
4562,2.6455042990033464,3
8903,9.668193803858927,2
2002,-3.3468434669884495,2
4512,2.2013581060432,3
9413,15.425041380240675,1
4926,-7.063748959205821,2
8595,-8.483511298250843,1
3612,3.109800075712561,2
1483,3.6883353108032266,0
6099,3.2300311879377928,0
7543,3.15541165239522,1
5814,5.269907706779899,1
2614,5.254355806252306,2
2846,-7.045709291405378,3
6936,3.603738322501185,1
3155,-4.619499465323116,1
3150,0.17428319403831338,0
6179,-2.039000055186088,3
4679,9.821793764716457,1
1157,1.9075766606480522,1
995,13.824447072353369,1
1964,-8.80085376519398,2
9792,-7.82008887506853,0
3821,4.637488358292512,1
8009,2.7571763382597707,2
6060,-8.552955599375217,1
4730,-7.732395104394685,2
6432,-1.5652530367128343,2
4776,1.8208844449874122,2
2154,15.52459694254473,1
1083,5.821015742702558,2
3313,4.101549509643828,1
53,-2.681287655330347,2
6643,7.895644797933831,2
8658,-7.420414509682211,1
8927,4.794144077682652,3
4647,5.935538987811054,1
3916,0.01652877976764011,0
5474,3.6768579773095555,1
3882,3.3503975949156626,1
4789,1.4205166243305747,2
7166,9.652612259764412,1
4258,-9.197590243507308,0
8521,-1.6427505260435384,2
7255,6.041111491911627,3
75,0.7416846712029507,1
8708,7.5977715098923,3
1121,1.6565420628974676,1
7667,-7.415554370695904,1
7225,5.341814195544751,1
3860,-5.301200492713704,3
367,-5.680840469395151,1
9850,12.241115522584616,2
1041,5.112249902459668,2
4384,-4.3272124004466574,1
92,-7.148111556792948,2
3154,5.686765911384929,2
501,-6.9618475394270085,2
1204,2.1350503594964048,1
949,3.1697678972616408,0
3761,-5.910630920111211,2
291,9.830497050375284,2
9678,4.620107525935245,3
8102,-8.456678085044915,1
1851,-4.191623815470749,1
9751,5.825935099206709,1
905,6.945792011341387,1
6349,-6.354068979645729,1
4064,2.9285940023473604,1
5702,-2.3418551459218535,1
7552,-7.158196494977268,2
