,Y_real
5972,1
7255,1
4857,0
3486,1
3592,0
4623,1
2806,0
5969,0
3633,1
9096,0
5126,1
131,1
5619,0
472,0
1024,0
5231,0
8597,0
8114,0
5768,1
2437,1
2390,1
851,1
1939,0
659,1
6376,1
8767,1
6002,0
1424,1
5892,0
7584,0
2384,1
7911,1
1201,0
8910,0
4916,1
7975,1
6064,0
5567,1
7116,1
6831,1
7239,1
6822,1
5303,0
1268,1
1690,1
701,1
1537,1
4167,0
3455,0
5952,0
3297,0
2370,0
7026,1
6839,1
1456,1
6695,0
5480,0
2603,1
7868,1
549,0
7915,0
9352,1
2324,0
6307,1
2110,1
522,1
7224,0
384,0
787,1
7696,1
1370,0
1618,0
9421,0
5341,1
2717,1
953,0
5808,0
3144,0
4352,1
5991,0
5914,1
8353,0
1953,1
6708,0
7543,0
8786,1
6417,1
7869,1
8300,1
8137,1
7426,0
3131,1
6889,1
8917,1
1030,0
1647,1
4007,0
5183,0
5862,0
6760,0
3800,0
4036,0
8382,1
2347,1
4949,0
4430,1
4115,0
7974,0
7677,0
8774,0
2398,0
8016,0
2818,0
5306,0
9260,1
8682,1
944,0
867,1
6805,0
8924,0
8464,1
8399,0
7234,0
6228,0
1700,0
6517,0
9465,1
6941,1
2244,0
8816,0
3004,0
8414,0
8071,1
7881,1
4440,0
5721,1
7456,1
4459,0
6850,1
1951,1
5598,1
6118,0
8988,0
8210,1
4376,0
9048,0
33,1
6271,1
6383,0
9358,0
5939,0
41,1
5141,1
2267,0
3953,0
2042,1
2463,0
705,0
4049,1
5110,0
5642,1
5451,0
8510,0
5470,0
7627,0
2750,1
2547,1
7373,1
2628,0
4349,0
2478,1
4314,1
2273,0
4152,1
7073,1
662,0
8044,0
8235,0
8070,1
4304,1
6605,0
4674,1
8688,0
6701,1
8367,0
7699,0
5254,0
7875,0
9206,0
3192,0
6056,0
3497,1
2380,1
6340,1
6545,0
9457,0
966,0
7327,1
5797,0
4385,1
565,1
6163,1
844,0
9194,0
9077,1
3202,0
5870,1
3279,0
7879,1
1325,1
7143,0
5753,1
1222,0
6610,0
964,1
5736,0
2078,1
3722,1
2255,0
1924,0
4364,1
6022,0
4043,0
3113,1
7156,0
1683,0
7074,1
5382,1
7870,0
6149,0
6857,1
8677,0
1534,1
4951,1
7778,0
8839,0
6888,0
7278,0
5084,1
7873,0
8337,0
4520,1
4444,1
6047,1
2117,1
4931,1
2944,1
1646,0
1449,0
3368,1
4957,0
6040,1
4989,0
7207,0
7167,1
4006,0
4142,1
1241,1
3915,1
104,0
5919,0
8509,0
5381,1
5751,1
5332,0
2928,0
6916,1
65,0
13,0
4273,0
3331,1
6890,0
2036,0
279,1
8290,1
8636,0
1727,0
9277,1
3453,0
629,0
7930,1
6612,0
4981,0
7502,1
7101,1
2975,0
223,1
7660,1
8755,1
536,0
7077,0
6208,1
7614,1
8036,1
875,0
3184,1
2045,1
6030,1
4081,0
7745,0
5429,0
4405,0
6186,1
9113,0
5998,0
5210,0
4952,0
7979,0
6437,1
7256,0
6095,1
5817,0
7750,0
7635,1
7640,0
4508,0
4678,0
7738,0
3703,0
5981,1
1195,0
6123,0
6814,1
7498,0
9433,1
4564,1
177,0
2025,0
5072,0
1583,1
5195,1
6657,0
8239,0
5568,1
1323,0
9026,0
3231,0
6972,0
5311,1
1330,1
9241,1
2810,0
288,1
2086,0
2866,0
5636,0
2368,0
9031,1
3739,0
9041,0
115,0
2299,0
9429,1
1382,1
2793,1
4198,0
3100,1
7831,0
4808,0
1530,0
9075,0
589,0
3093,1
8578,0
6509,0
9331,0
1259,1
8503,1
6450,0
2261,1
1540,1
2153,1
4591,1
1146,0
2202,0
7701,1
8632,0
351,0
7982,0
4070,1
7667,1
2974,0
8038,0
5327,0
8467,1
2577,0
7241,1
7152,1
1993,1
6951,0
6274,1
4103,0
3441,0
4186,0
1780,1
4196,1
868,1
3564,0
417,1
927,1
4313,1
3408,0
8732,1
545,0
1092,1
3882,0
7420,1
6959,0
12,1
5569,0
2350,0
3232,1
1354,0
3604,1
4635,0
2872,0
7139,1
5785,1
2325,0
793,1
7337,1
9225,0
1525,1
483,1
2642,0
586,0
3520,0
4023,0
6011,1
400,0
4484,1
1343,0
2550,1
2247,1
7148,1
9432,1
8717,0
6086,1
3875,1
8005,0
4242,1
2457,0
2655,1
2099,0
8495,0
2098,1
2233,1
1600,0
6541,1
2585,1
3413,1
3622,0
2180,0
6201,1
8801,0
6261,1
9045,0
1135,0
8234,1
3164,0
2392,0
7438,0
7641,0
6631,0
9397,0
3741,1
1159,0
7605,1
100,0
8230,0
8666,0
8013,0
9348,1
9193,1
8778,0
8779,0
3847,1
4991,1
7358,0
3388,0
5471,0
7319,1
9068,1
660,0
1422,0
480,0
4975,1
2320,0
7945,1
1804,0
2285,0
6746,1
6876,0
4580,1
5806,0
7100,1
1188,1
5849,0
9018,1
5893,0
9058,1
8609,1
2593,1
3106,0
1493,1
1946,0
5837,0
5597,1
2246,0
7837,0
7798,0
697,0
7417,1
7293,1
2363,1
7804,0
7118,1
1824,0
3442,0
1578,0
4302,0
3996,0
6795,0
9494,0
8442,1
8360,1
1310,0
6628,1
6920,0
5518,0
1701,0
2162,1
8926,0
6720,0
719,1
510,1
4144,0
9437,0
8276,0
881,1
6330,0
1305,1
6440,1
1800,1
7935,1
9388,0
7386,1
303,0
4044,1
1688,1
75,0
2257,0
6028,1
3205,1
4753,0
8740,1
8461,0
436,1
2311,0
9372,0
9033,0
5709,0
7103,1
3354,0
1363,0
9258,1
4184,1
4287,0
3620,0
9332,0
4977,1
2564,0
7925,1
2139,1
5061,1
3643,1
1395,0
1179,0
216,0
3559,0
181,1
8080,1
599,0
8968,1
1697,0
7791,1
7564,0
9320,0
4582,0
8043,1
8504,1
239,1
4881,0
9125,0
331,1
7582,0
4870,1
647,0
2443,0
2109,1
1634,1
3235,0
2406,1
8047,0
2540,0
5933,0
184,1
4359,0
4669,1
1581,1
4864,1
1767,0
5469,1
8406,1
6110,0
3706,0
193,0
6901,0
7246,0
1224,1
7025,0
7199,0
6665,1
135,0
5229,1
6899,1
664,1
7282,0
2295,1
2194,0
9367,0
3541,1
5647,1
7918,1
5472,0
5144,0
8560,0
8422,0
514,0
3645,1
4769,1
1374,0
6642,1
4468,1
4330,1
8089,0
3976,1
7421,0
7972,0
5611,1
9274,0
6088,0
4231,1
6644,1
5168,0
7496,0
5211,1
6039,1
1798,1
1104,0
6658,0
5506,0
2163,1
9328,1
779,1
6649,0
7375,0
8606,1
5626,0
1107,1
6558,1
4729,0
9047,0
7464,1
3962,0
3824,0
822,0
505,0
2339,1
6752,0
6085,0
6436,0
8441,1
7007,1
9115,1
117,1
8156,1
222,1
1599,1
2263,0
1607,1
2212,1
4124,0
8157,1
3396,1
7991,1
519,1
1260,0
8328,1
3577,0
810,0
6995,1
6825,0
3654,1
2486,0
585,1
7655,1
8610,0
2560,1
3429,1
3187,0
7126,1
3108,1
8634,0
6101,1
722,0
7757,0
8815,0
5578,0
5543,0
3307,0
9177,1
3689,0
5122,1
4391,0
386,1
6409,0
5302,1
811,0
437,1
8753,0
9440,0
2874,1
987,1
3603,0
2071,0
3090,1
2942,1
5856,0
5187,0
8193,0
6412,1
1137,0
2698,1
7200,0
6452,0
6250,0
7741,0
408,0
803,0
5359,1
8897,0
859,1
5335,0
6929,1
4249,1
6940,1
6055,0
7783,1
8933,1
1568,1
8126,1
5897,1
4175,1
9213,1
1360,1
7221,1
644,1
2427,0
1400,0
8224,1
5668,0
1401,0
5953,0
4571,0
333,0
6023,0
6712,1
1098,0
4174,1
8147,1
3877,0
5404,1
2344,0
8587,0
4500,0
2134,0
2483,0
5395,1
199,0
5494,1
1678,0
8099,0
9262,0
60,0
8403,1
6406,0
130,1
2934,1
3394,0
3844,1
2093,1
241,0
2676,1
2546,0
1451,1
2621,0
7613,1
5012,1
2101,1
1771,0
1166,0
8233,0
776,0
7289,1
5278,0
6098,1
6350,1
1172,0
242,0
5096,0
497,1
1275,1
4973,1
3895,0
3044,0
7978,1
8999,0
1744,1
2151,1
5727,1
2681,0
171,1
6678,0
1930,1
8813,0
3530,1
5100,1
9108,0
9021,0
6528,0
9175,0
9152,0
7713,1
2146,0
43,0
5854,1
922,0
1447,0
8575,0
5176,1
2228,0
1848,0
5459,0
686,1
1815,0
4311,0
4978,1
8158,0
2694,1
1355,0
2831,0
2825,1
4677,0
2100,0
3454,1
6756,1
8820,0
5766,1
196,1
684,1
6713,0
1829,0
8876,0
3050,0
49,0
5466,1
4773,1
4888,0
231,1
