,P,Q
2021,-3.9729969689095084,3
3951,10.387026962261992,3
3341,10.842066894315428,3
799,6.7770658155751295,2
6495,7.813366155150593,2
5426,2.0947355249300452,1
5640,0.776835146372562,3
5399,6.845573140958008,3
7960,7.176239956034404,1
9913,1.6862417871140996,1
428,3.702834362948739,1
8772,10.913961670876207,3
4463,11.424719841835035,3
7735,8.218304101930496,3
6218,7.7236390272113,1
7972,3.3867147210304274,3
9530,10.319516931548584,3
7489,5.598040805792285,3
5027,10.822511919191713,1
6833,-5.581106013991535,3
8926,11.381114113256547,3
8223,9.843021835455659,3
9861,4.393130316950025,3
7955,11.709565963853436,2
5999,4.781384059431351,1
7652,8.36310039626131,1
8120,6.9800968970773685,2
1617,13.352740914732768,3
4603,1.5948813890827565,1
5863,2.9434537582810516,3
3305,4.765687580045853,2
6235,4.521699349602723,1
3740,6.831006076013148,3
2582,3.7047975381758276,1
2788,14.916486299554169,1
8649,-1.2239163101039083,3
5829,6.866950045561761,3
3571,4.291252218273323,3
8291,13.385609342520612,1
4469,1.9917255997616703,3
2770,2.2792743373373177,3
8777,8.822736030082828,3
256,0.21244056652532528,1
2334,2.963236339090732,1
604,3.743780501438124,3
4562,10.145504299003347,3
8903,9.668193803858927,2
2002,4.1531565330115505,3
4512,9.7013581060432,3
9413,15.425041380240675,1
4926,0.4362510407941791,3
8595,-0.9835112982508436,3
3612,10.609800075712561,3
1483,3.6883353108032266,0
6099,3.2300311879377928,0
7543,3.15541165239522,1
5814,5.269907706779899,1
2614,5.254355806252306,2
2846,0.4542907085946224,3
6936,3.603738322501185,1
3155,2.880500534676883,3
3150,0.17428319403831338,0
6179,-2.039000055186088,3
4679,17.321793764716457,3
1157,9.407576660648052,3
995,13.824447072353369,1
1964,-1.3008537651939784,3
9792,-0.3200888750685297,3
3821,12.137488358292511,3
8009,2.7571763382597707,2
6060,-1.0529555993752173,3
4730,-0.2323951043946857,3
6432,-1.5652530367128343,2
4776,9.320884444987412,3
2154,15.52459694254473,1
1083,5.821015742702558,2
3313,4.101549509643828,1
53,4.8187123446696525,3
6643,7.895644797933831,2
8658,0.0795854903177895,3
8927,4.794144077682652,3
4647,5.935538987811054,1
3916,0.01652877976764011,0
5474,3.6768579773095555,1
3882,3.3503975949156626,1
4789,1.4205166243305747,2
7166,9.652612259764412,1
4258,-1.6975902435073087,3
8521,5.857249473956461,3
7255,13.541111491911627,3
75,0.7416846712029507,1
8708,15.0977715098923,3
1121,1.6565420628974676,1
7667,0.08444562930409522,3
7225,5.341814195544751,1
3860,2.1987995072862967,3
367,1.8191595306048498,3
9850,12.241115522584616,2
1041,5.112249902459668,2
4384,3.1727875995533426,3
92,0.3518884432070517,3
3154,5.686765911384929,2
501,0.538152460572991,3
1204,2.1350503594964048,1
949,10.669767897261641,3
3761,1.5893690798887892,3
291,9.830497050375284,2
9678,12.120107525935245,3
8102,-0.9566780850449152,3
1851,3.3083761845292514,3
9751,5.825935099206709,1
905,14.445792011341387,3
6349,1.1459310203542707,3
4064,2.9285940023473604,1
5702,5.158144854078147,3
7552,0.34180350502273127,3
1329,4.815103366902755,1
8489,6.15129815576588,3
3232,-0.16169804045656888,3
8930,4.90119291510626,0
1836,3.6099920808953163,0
534,5.81270659281575,2
4480,0.6065693115118861,3
5762,16.842598982159213,0
4915,-2.963143760112848,0
5920,1.8019116037383098,3
1089,12.14437288185439,3
194,12.541315493146909,2
9543,10.455317977730951,2
5817,2.002111007801607,3
8199,7.24001363385894,3
8596,4.760743084289398,3
7141,0.4134026414305825,1
455,7.234947337498177,3
3596,8.772039524430166,1
7639,3.840168764614824,2
4875,0.8041690427359518,2
3755,8.266025791165902,3
639,4.949021733855647,3
5135,6.980261841604415,3
7006,1.9511768272975119,2
5932,3.336254403833313,3
5191,7.799599697707297,0
5298,-0.3785598041570488,3
3053,-0.41557068164788347,3
3411,1.8222631083336205,3
4901,-0.39229277949147967,3
1840,2.5193149552793015,3
2315,2.5268233635257653,1
4482,6.929255092731825,1
9320,9.959837619114033,0
6811,11.589259709170015,3
52,12.701828787242334,3
7312,5.446466373655074,3
997,1.2506829326390865,2
4400,-0.7034353387332837,3
2441,-2.8527025440395137,3
8284,6.035827725369169,3
6257,0.9898832565810568,2
4953,3.22277197959548,3
4499,0.023723873676686713,3
965,9.271510406234686,1
1155,5.881857527316357,3
5611,0.27763466795678227,3
9099,2.7338945622177415,1
5347,7.764277859231338,3
6174,2.9706980697663132,2
7178,9.30047494437959,3
4106,5.836975927033587,1
609,0.8753764591667135,2
4833,6.581112155764876,1
1581,1.5097767026437399,3
7301,4.720880974683381,3
6194,-1.204867214384369,3
957,9.612981335765749,3
1195,-6.696991407568679,3
329,2.180923089233266,3
172,0.12973302343976467,3
2578,7.1591208506408375,3
7306,20.137138155118727,3
8039,2.842778030272676,1
9973,2.488554379150755,3
7124,2.0219899688974325,1
6278,4.431107377521037,3
652,6.091733817664692,2
3996,1.2361203772654494,3
5689,1.9177660115931696,3
4516,8.790121260064698,3
2681,9.47033717119833,2
5355,5.053634063607666,2
8551,5.632301398910759,3
6130,0.429265202884336,3
3112,4.257454560038709,3
3218,10.075130865921167,3
8953,1.4532111733555118,2
7229,0.9752285013977547,3
6586,3.7608149310614163,3
4640,0.9473965981114167,3
6271,3.50596114515898,2
7845,5.8978446411154755,2
6980,12.948557572587948,1
4535,8.759432315434653,3
7980,4.027185366123095,3
176,-0.6458432993872549,3
8053,13.311336861415365,3
3276,9.134339597503647,2
4030,5.542390842567086,3
8304,4.342696719481986,1
1722,0.6215363851714624,1
5389,8.765880560325668,3
5488,10.1409712764139,3
4872,2.1582215612210742,2
9118,1.870978537928628,3
8840,6.162884589980585,2
5886,14.218369711150036,3
6261,8.89529403830367,2
7816,6.228031435898706,3
8536,3.019786482643222,3
6155,6.5539635631516,3
2842,-1.837351704191959,1
4066,-2.5132608289216267,3
2041,7.370292689527724,1
7696,7.691844047042419,3
549,2.5335753936680323,3
2726,-2.8843844569186876,3
8507,10.714228046214807,3
6966,3.9641314117353117,2
4100,3.4758147835776563,2
1257,5.915885427568099,3
5579,8.423545541198967,3
5436,0.7247945340849105,3
1258,2.4211974745372946,3
7383,10.792831756480634,3
6544,-3.567390211042747,3
1285,4.160188257954081,1
7527,14.492663495685225,2
6492,10.186159460677393,1
5574,2.9231705463882545,3
9480,4.362871472201584,3
2494,10.51735489307241,2
1621,3.57308196250054,3
320,5.7531675209341095,3
3806,32.29663113593969,3
7827,12.454083471114165,2
5990,5.82834730674519,3
3063,1.9456526112280903,2
9822,1.2399135563931813,3
8696,0.4332541264618004,2
1224,5.656096248886583,1
2721,7.462637563246767,3
6209,0.5068774556121898,3
855,5.908969357548778,2
5402,7.722312282392335,3
7882,3.98749813946933,2
6031,10.276071615948233,3
9745,12.161468131260872,3
9945,-0.4543009576462125,3
2549,13.258957358225052,3
9356,18.779833723305202,3
9276,5.2702880015507985,3
7690,1.646537390082313,3
5672,5.136680930460758,2
831,3.9692176724842776,2
6411,12.313189464874757,1
8511,7.390459574999087,1
6479,5.411921162420405,3
1201,7.5596519682932515,3
2572,3.3909496267116483,3
6341,2.5647237814208204,3
5700,17.66977307500982,2
9052,4.73923931480695,2
2387,0.07900218485995847,1
1939,3.631384168213626,3
7692,11.447125768486533,3
1479,5.041481647175668,3
9203,5.533487422686627,1
3968,4.2718487094427875,2
7825,3.742966191798431,1
3696,6.484175362272852,1
2096,3.639654060293025,1
9208,6.876854045767249,0
9091,8.589143194240801,3
6915,3.540846302819795,3
6406,4.942115132928537,3
4045,7.0019699822186166,2
5407,1.647954687026787,2
9933,12.311165940504,0
9161,0.30562355086134363,3
7727,4.010622507515884,3
6817,6.004138223288105,3
3243,4.558404109683968,2
2562,-0.5155896367140771,3
7594,3.414586523419845,3
2058,6.958517290570241,1
808,7.6704433961439324,2
1022,2.6696293229391412,2
3161,7.8522634580429695,3
8576,9.219894266863005,2
7701,-0.3874445496490999,2
5974,4.904228500873385,3
4913,3.508015538530565,3
5025,5.073248436166722,2
2372,-1.4980534725225816,3
2963,3.1019549269830202,1
8974,8.644142755821989,2
530,1.2611044850180502,3
2017,0.06771786002370311,3
7637,0.017642242489454008,3
6888,11.755183078443352,3
2813,1.8864979152890973,3
567,0.7214851262583917,3
8787,-1.0971904634535012,3
9867,12.390899995024299,1
5053,6.927578214794925,3
9577,3.7084449694029575,3
6562,1.598555730420307,3
9962,2.8992783350304117,3
2064,3.18602833899294,0
8080,-2.510916666848719,3
3804,13.757063386506525,3
9590,2.0515970312505307,3
2922,2.1274364003458195,1
7118,4.4596579154108635,3
5682,4.609251934508479,2
2320,-0.6561766253190244,3
8898,3.4052489914596467,0
9581,-3.3147924900754933,3
3236,1.9344899313021913,3
640,11.490490405139418,2
8656,7.0683324633319655,3
9344,3.901798531490627,3
9766,-0.38676394514217605,2
5033,6.575530360706686,3
4093,3.797573237455658,1
4136,-2.272157646658897,3
8823,0.9027364465731194,3
801,5.0488138631881565,3
5948,4.474048830260259,2
5158,-2.937767344027561,3
9532,3.3138596105252334,1
3398,7.482279737577451,3
5897,4.803323667488532,1
4918,4.622950137235799,2
166,13.983231009522017,3
7430,-0.03405032945937392,3
3286,-0.5012060422290108,2
2178,1.7565766913245338,3
4607,9.253701406589748,3
521,2.3317063370624926,3
7984,2.0371937821515536,3
4252,3.507643731177512,3
1842,6.353227082638958,3
3777,2.832294803335417,2
3836,15.20692460737472,1
9292,2.6810607458057523,3
9194,4.694375050723767,3
1159,6.937910648078363,2
5807,5.056207887185249,3
4681,0.6092422259202384,3
3568,11.270926362240614,1
8968,9.323049879416775,1
8714,7.7443913490351095,3
6316,4.9332067181698145,3
4803,7.338308766220607,1
2356,-1.1764359371274358,3
8132,5.964818842122305,2
6098,16.45914771580541,1
213,9.472300648949872,1
1176,2.84977666805812,3
8944,3.179380184630048,3
1286,6.024214805330928,3
7762,3.1136510765629426,3
2753,0.9842800710825449,3
3012,4.876246007389778,1
5296,4.163693343285659,3
1118,3.730902885613236,3
3106,2.217639046154089,3
5462,0.693357562395079,2
2880,2.826384191181768,3
2035,2.504507787380332,3
6489,-2.0312288257481685,3
180,6.027511044521525,3
1374,9.519149547678817,3
939,4.492887634557186,1
1441,3.0462938613792754,3
2828,14.237607092345852,2
5608,12.527659098005671,2
6366,9.575959674386421,3
6070,22.005593198608448,3
2812,1.9979890349191083,3
1435,4.4843524270529596,3
7751,-0.3384106385798181,3
8154,5.690765495490725,3
1078,2.904677482035545,0
6828,4.8891833418572,3
2226,13.742581405347847,2
2227,7.79914108222531,1
4215,-0.341190143877411,0
787,4.189662894441969,2
79,3.4430594664625103,1
9186,19.20544433829732,3
4648,12.892473473344587,2
85,-2.240839565996232,3
535,8.407934916110877,1
1140,2.6028936421255797,3
4377,9.057149313461352,1
9583,2.2849238602089597,2
4576,13.03698497252197,0
4388,4.275379220565916,3
7666,3.59454470280601,2
8949,4.109387646108423,3
8016,1.627866905716099,3
1274,3.633715142296966,3
8346,5.54795944958204,3
495,7.708879750744037,1
888,2.7936362102881036,3
7518,3.229766881132757,2
7216,15.737320131294071,2
6555,-1.8749160023513616,3
5385,1.2417004861292547,1
9310,8.233005563632323,1
1049,11.19534875799561,2
8958,0.26974896838813134,1
18,5.818606530971985,3
3214,-0.21062243746337428,3
4382,17.45442316746241,3
4867,15.281455397326775,3
1571,10.28045297395483,2
7869,-0.058413946941858086,2
5665,12.505611482148732,2
7356,10.959148475437289,3
7167,20.24822008664494,2
3123,2.13200391519993,1
6211,3.0408482074994683,2
3509,12.01442926452075,2
1568,6.347622715475843,3
8040,9.361502238431697,3
3353,-1.2154595790407803,3
7362,-2.0693336203770496,3
4615,6.6626906293595365,2
6041,12.117212447685132,1
1126,0.8376684001665887,3
8000,3.211922713601548,3
573,8.238039656793244,3
3267,-1.8985818237017962,3
9494,-1.073854540839886,1
7351,0.7722882078296783,1
4781,7.300090449416836,3
8428,2.4336746181762163,3
5271,16.624686967822477,3
6741,5.773215588289553,3
1501,4.776687859912488,3
8844,12.808087999060056,3
3315,6.89142386612879,1
687,2.721046373264734,3
629,6.251846345883839,3
4944,1.1701792844099475,3
4337,1.95307521419439,3
5214,3.316594660168252,0
4621,2.7079143292392285,2
5958,2.4703428954334554,3
4664,13.22276906375293,3
585,4.728404173747085,3
6188,6.760357526248905,1
8052,5.964435657012675,1
6065,1.810390699868028,3
8038,5.651738673742455,3
7856,4.916084849396623,1
7799,4.185800326126369,0
6180,2.163881523310515,2
1666,16.79409475837717,0
4742,3.72774105009775,2
3195,0.36354706711533485,3
2515,0.025798926105666364,0
7274,6.746602131160311,2
2506,1.0142600156252644,3
6829,1.0826428433064477,3
2396,8.380501249950896,2
6798,3.419156782837884,1
433,3.476013136399912,3
2956,7.274405297106946,1
7009,1.960196055026839,2
9489,-0.22841992065372385,3
6089,-0.08833441425498112,3
9395,4.504204597263993,3
1867,10.937722783781675,0
7764,18.993160622131814,1
724,1.8768339656128132,3
9448,12.989347102360767,1
8815,13.093001375097897,1
1974,2.4437989801319766,1
6520,0.7700966236134905,3
6264,1.1689277143973917,3
1304,7.8432123504327285,3
2234,10.853232812364276,1
