,Q,A
2021,0,1
3951,1,1
3341,2,1
799,2,0
6495,2,0
5426,1,0
5640,3,1
5399,0,1
7960,1,0
9913,1,0
428,1,0
8772,1,1
4463,2,1
7735,2,1
6218,1,0
7972,3,1
9530,3,1
7489,2,1
5027,1,0
6833,0,1
8926,3,0
8223,3,1
9861,2,1
7955,2,0
5999,1,0
7652,1,0
8120,2,0
1617,1,1
4603,1,0
5863,3,0
3305,2,0
6235,1,0
3740,3,1
2582,1,0
2788,1,0
8649,0,1
5829,3,0
3571,1,1
8291,1,0
4469,3,0
2770,1,1
8777,1,1
256,1,0
2334,1,0
604,0,1
4562,0,1
8903,2,0
2002,1,1
4512,0,1
9413,1,0
4926,1,1
8595,3,1
3612,1,1
1483,0,0
6099,0,0
7543,1,0
5814,1,0
2614,2,0
2846,0,1
6936,1,0
3155,2,1
3150,0,0
6179,3,0
4679,2,1
1157,2,1
995,1,0
1964,1,1
9792,3,1
3821,2,1
8009,2,0
6060,2,1
4730,1,1
6432,2,0
4776,1,1
2154,1,0
1083,2,0
3313,1,0
53,1,1
6643,2,0
8658,2,1
8927,3,0
4647,1,0
3916,0,0
5474,1,0
3882,1,0
4789,2,0
7166,1,0
4258,3,1
8521,1,1
7255,0,1
75,1,0
8708,1,1
1121,1,0
7667,2,1
7225,1,0
3860,0,1
367,2,1
9850,2,0
1041,2,0
4384,2,1
92,2,1
3154,2,0
501,1,1
1204,1,0
949,3,1
3761,2,1
291,2,0
9678,0,1
8102,2,1
1851,2,1
9751,1,0
905,2,1
6349,2,1
4064,1,0
5702,2,1
7552,2,1
1329,1,0
8489,1,1
3232,2,1
8930,0,0
1836,0,0
534,2,0
4480,1,1
5762,0,0
4915,0,0
5920,3,0
1089,2,1
194,2,0
9543,2,0
5817,2,1
8199,3,0
8596,1,1
7141,1,0
455,3,0
3596,1,0
7639,2,0
4875,2,0
3755,2,1
639,1,1
5135,1,1
7006,2,0
5932,2,1
5191,0,0
5298,0,1
3053,3,1
3411,2,1
4901,2,1
1840,1,1
2315,1,0
4482,1,0
9320,0,0
6811,3,0
52,3,1
7312,2,1
997,2,0
4400,2,1
2441,1,1
8284,3,1
6257,2,0
4953,3,1
4499,3,1
965,1,0
1155,1,1
5611,0,1
9099,1,0
5347,1,1
6174,2,0
7178,2,1
4106,1,0
609,2,0
4833,1,0
1581,3,1
7301,3,0
6194,2,1
957,2,1
1195,2,1
329,0,1
172,3,1
2578,1,1
7306,2,1
8039,1,0
9973,1,1
7124,1,0
6278,2,1
652,2,0
3996,2,1
5689,0,1
4516,2,1
2681,2,0
5355,2,0
8551,1,1
6130,2,1
3112,3,0
3218,3,0
8953,2,0
7229,2,1
6586,1,1
4640,2,1
6271,2,0
7845,2,0
6980,1,0
4535,3,0
7980,2,1
176,2,1
8053,1,1
3276,2,0
4030,2,1
8304,1,0
1722,1,0
5389,1,1
5488,1,1
4872,2,0
9118,1,1
8840,2,0
5886,3,0
6261,2,0
7816,1,1
8536,3,1
6155,2,1
2842,1,0
4066,3,1
2041,1,0
7696,1,1
549,0,1
2726,3,1
8507,2,1
6966,2,0
4100,2,0
1257,2,1
5579,2,1
5436,2,1
1258,1,1
7383,2,1
6544,2,1
1285,1,0
7527,2,0
6492,1,0
5574,1,1
9480,1,1
2494,2,0
1621,3,1
320,1,1
3806,0,1
7827,2,0
5990,3,0
3063,2,0
9822,1,1
8696,2,0
1224,1,0
2721,1,1
6209,1,1
855,2,0
5402,3,1
7882,2,0
6031,2,1
9745,3,1
9945,1,1
2549,2,1
9356,2,1
9276,2,1
7690,1,1
5672,2,0
831,2,0
6411,1,0
8511,1,0
6479,2,1
1201,2,1
2572,2,1
6341,3,1
5700,2,0
9052,2,0
2387,1,0
1939,1,1
7692,3,0
1479,2,1
9203,1,0
3968,2,0
7825,1,0
3696,1,0
2096,1,0
9208,0,0
9091,0,1
6915,0,1
6406,2,1
4045,2,0
5407,2,0
9933,0,0
9161,2,1
7727,1,1
6817,1,1
3243,2,0
2562,3,1
7594,1,1
2058,1,0
808,2,0
1022,2,0
3161,2,1
8576,2,0
7701,2,0
5974,0,1
4913,2,1
5025,2,0
2372,2,1
2963,1,0
8974,2,0
530,2,1
2017,1,1
7637,3,1
6888,0,1
2813,3,1
567,3,0
8787,2,1
9867,1,0
5053,1,1
9577,0,1
6562,2,1
9962,0,1
2064,0,0
8080,2,1
3804,3,1
9590,2,1
2922,1,0
7118,1,1
5682,2,0
2320,1,1
8898,0,0
9581,0,1
3236,3,0
640,2,0
8656,2,1
9344,1,1
9766,2,0
5033,1,1
4093,1,0
4136,3,1
8823,2,1
801,3,1
5948,2,0
5158,2,1
9532,1,0
3398,2,1
5897,1,0
4918,2,0
166,2,1
7430,1,1
3286,2,0
2178,2,1
4607,3,1
521,3,1
7984,3,1
4252,2,1
1842,2,1
3777,2,0
3836,1,0
9292,1,1
9194,1,1
1159,2,0
5807,3,0
4681,1,1
3568,1,0
8968,1,0
8714,1,1
6316,2,1
4803,1,0
2356,2,1
8132,2,0
6098,1,0
213,1,0
1176,2,1
8944,3,1
1286,1,1
7762,1,1
2753,1,1
3012,1,0
5296,2,1
1118,2,1
3106,2,1
5462,2,0
2880,1,1
2035,2,1
6489,2,1
180,1,1
1374,3,1
939,1,0
1441,1,1
2828,2,0
5608,2,0
6366,2,1
6070,2,1
2812,1,1
1435,2,1
7751,3,1
8154,2,1
1078,0,0
6828,1,1
2226,2,0
2227,1,0
4215,0,0
787,2,0
79,1,0
9186,1,1
4648,2,0
85,2,1
535,1,0
1140,2,1
4377,1,0
9583,2,0
4576,0,0
4388,2,1
7666,2,0
8949,2,1
8016,1,1
1274,1,1
8346,2,1
495,1,0
888,1,1
7518,2,0
7216,2,0
6555,3,1
5385,1,0
9310,1,0
1049,2,0
8958,1,0
18,1,1
3214,0,1
4382,3,1
4867,0,1
1571,2,0
7869,2,0
5665,2,0
7356,1,1
7167,2,0
3123,1,0
6211,2,0
3509,2,0
1568,1,1
8040,3,0
3353,3,1
7362,2,1
4615,2,0
6041,1,0
1126,1,1
8000,1,1
573,1,1
3267,0,1
9494,1,0
7351,1,0
4781,1,1
8428,3,1
5271,0,1
6741,0,1
1501,2,1
8844,2,1
3315,1,0
687,2,1
629,1,1
4944,2,1
4337,1,1
5214,0,0
4621,2,0
5958,2,1
4664,1,1
585,0,1
6188,1,0
8052,1,0
6065,2,1
8038,1,1
7856,1,0
7799,0,0
6180,2,0
1666,0,0
4742,2,0
3195,3,1
2515,0,0
7274,2,0
2506,2,1
6829,2,1
2396,2,0
6798,1,0
433,2,1
2956,1,0
7009,2,0
9489,1,1
6089,2,1
9395,3,0
1867,0,0
7764,1,0
724,1,1
9448,1,0
8815,1,0
1974,1,0
6520,3,1
6264,1,1
1304,2,1
2234,1,0
8337,0,0
8921,2,0
8310,2,0
3410,1,1
4,2,0
5646,0,0
3729,1,0
8198,1,0
6532,1,0
582,2,1
9645,0,1
875,2,0
1473,1,0
4408,2,0
3651,2,1
6778,2,1
9918,1,0
7474,3,1
6633,2,1
8110,2,1
1693,1,0
9830,2,0
5614,1,0
8698,3,0
3310,1,1
812,2,1
1264,2,0
6172,2,1
892,0,0
6080,1,1
1726,2,0
5759,2,0
7988,2,0
9791,3,0
3443,2,0
5316,0,1
8942,1,1
2401,2,1
5336,0,0
5155,2,1
8101,1,1
1695,3,0
6439,0,1
4503,2,0
5371,1,0
8124,0,1
852,2,0
5843,3,1
9352,3,1
3130,1,1
4226,2,1
2875,3,0
2962,2,1
1929,2,0
8174,3,1
2719,1,0
7492,2,1
5122,1,0
7032,2,1
8345,1,0
5784,2,1
5478,3,1
8817,2,1
8342,1,0
5954,2,0
7876,2,1
6436,3,1
1788,2,0
9251,1,0
7724,2,0
6391,1,1
854,1,1
6498,3,1
3721,1,0
6879,0,0
971,1,0
9758,2,1
2628,1,0
6273,2,1
5368,3,1
6148,2,0
7730,1,0
6120,2,0
9734,2,0
6540,0,0
