,Q
2021,2
3951,3
3341,3
799,2
6495,2
5426,1
5640,3
5399,2
7960,1
9913,1
428,1
8772,3
4463,3
7735,3
6218,1
7972,3
9530,3
7489,3
5027,1
6833,2
8926,3
8223,3
9861,3
7955,2
5999,1
7652,1
8120,2
1617,3
4603,1
5863,3
3305,2
6235,1
3740,3
2582,1
2788,1
8649,2
5829,3
3571,3
8291,1
4469,3
2770,3
8777,3
256,1
2334,1
604,2
4562,1
8903,2
2002,3
4512,2
9413,1
4926,3
8595,3
3612,3
1483,0
6099,0
7543,1
5814,1
2614,2
2846,2
6936,1
3155,3
3150,0
6179,3
4679,3
1157,3
995,1
1964,3
9792,3
3821,3
8009,2
6060,3
4730,3
6432,2
4776,3
2154,1
1083,2
3313,1
53,3
6643,2
8658,3
8927,3
4647,1
3916,0
5474,1
3882,1
4789,2
7166,1
4258,3
8521,3
7255,2
75,1
8708,2
1121,1
7667,3
7225,1
3860,2
367,3
9850,2
1041,2
4384,3
92,3
3154,2
501,3
1204,1
949,3
3761,3
291,2
9678,1
8102,3
1851,3
9751,1
905,3
6349,3
4064,1
5702,3
7552,3
1329,1
8489,3
3232,3
8930,0
1836,0
534,2
4480,3
5762,0
4915,0
5920,3
1089,3
194,2
9543,2
5817,3
8199,3
8596,2
7141,1
455,3
3596,1
7639,2
4875,2
3755,3
639,3
5135,3
7006,2
5932,3
5191,0
5298,2
3053,3
3411,3
4901,3
1840,3
2315,1
4482,1
9320,0
6811,3
52,3
7312,3
997,2
4400,3
2441,3
8284,3
6257,2
4953,3
4499,3
965,1
1155,3
5611,2
9099,1
5347,3
6174,2
7178,3
4106,1
609,2
4833,1
1581,3
7301,3
6194,3
957,3
1195,3
329,2
172,3
2578,3
7306,3
8039,1
9973,3
7124,1
6278,3
652,2
3996,3
5689,2
4516,3
2681,2
5355,2
8551,3
6130,3
3112,3
3218,3
8953,2
7229,3
6586,3
4640,3
6271,2
7845,2
6980,1
4535,3
7980,3
176,3
8053,2
3276,2
4030,3
8304,1
1722,1
5389,3
5488,3
4872,2
9118,3
8840,2
5886,3
6261,2
7816,3
8536,3
6155,3
2842,1
4066,3
2041,1
7696,2
549,2
2726,3
8507,3
6966,2
4100,2
1257,3
5579,3
5436,3
1258,3
7383,3
6544,3
1285,1
7527,2
6492,1
5574,3
9480,3
2494,2
1621,3
320,3
3806,2
7827,2
5990,3
3063,2
9822,3
8696,2
1224,1
2721,3
6209,2
855,2
5402,3
7882,2
6031,3
9745,3
9945,3
2549,3
9356,3
9276,3
7690,3
5672,2
831,2
6411,1
8511,1
6479,3
1201,3
2572,3
6341,3
5700,2
9052,2
2387,1
1939,3
7692,3
1479,3
9203,1
3968,2
7825,1
3696,1
2096,1
9208,0
9091,2
6915,2
6406,3
4045,2
5407,2
9933,0
9161,3
7727,3
6817,3
3243,2
2562,3
7594,3
2058,1
808,2
1022,2
3161,3
8576,2
7701,2
5974,2
4913,3
5025,2
2372,3
2963,1
8974,2
530,3
2017,3
7637,3
6888,2
2813,3
567,3
8787,3
9867,1
5053,3
9577,2
6562,3
9962,2
2064,0
8080,3
3804,3
9590,3
2922,1
7118,3
5682,2
2320,3
8898,0
9581,2
3236,3
640,2
8656,3
9344,2
9766,2
5033,3
4093,1
4136,3
8823,3
801,3
5948,2
5158,3
9532,1
3398,3
5897,1
4918,2
166,3
7430,3
3286,2
2178,3
4607,3
521,3
7984,3
4252,3
1842,3
3777,2
3836,1
9292,2
9194,3
1159,2
5807,3
4681,3
3568,1
8968,1
8714,2
6316,3
4803,1
2356,3
8132,2
6098,1
213,1
1176,3
8944,3
1286,3
7762,3
2753,3
3012,1
5296,3
1118,3
3106,3
5462,2
2880,3
2035,3
6489,3
180,3
1374,3
939,1
1441,3
2828,2
5608,2
6366,3
6070,3
2812,3
1435,3
7751,3
8154,3
1078,0
6828,3
2226,2
2227,1
4215,0
787,2
79,1
9186,3
4648,2
85,3
535,1
1140,3
4377,1
9583,2
4576,0
4388,3
7666,2
8949,3
8016,3
1274,3
8346,3
495,1
888,3
7518,2
7216,2
6555,3
5385,1
9310,1
1049,2
8958,1
18,3
3214,2
4382,3
4867,2
1571,2
7869,2
5665,2
7356,3
7167,2
3123,1
6211,2
3509,2
1568,3
8040,3
3353,3
7362,3
4615,2
6041,1
1126,3
8000,3
573,3
3267,2
9494,1
7351,1
4781,3
8428,3
5271,2
6741,2
1501,3
8844,3
3315,1
687,3
629,3
4944,3
4337,2
5214,0
4621,2
5958,3
4664,3
585,2
6188,1
8052,1
6065,3
8038,3
7856,1
7799,0
6180,2
1666,0
4742,2
3195,3
2515,0
7274,2
2506,3
6829,3
2396,2
6798,1
433,3
2956,1
7009,2
9489,3
6089,3
9395,3
1867,0
7764,1
724,3
9448,1
8815,1
1974,1
6520,3
6264,3
1304,3
2234,1
8337,0
8921,2
8310,2
3410,3
4,2
5646,0
3729,1
8198,1
6532,1
582,3
9645,2
875,2
1473,1
4408,2
3651,3
6778,3
9918,1
7474,3
6633,3
8110,3
1693,1
9830,2
5614,1
8698,3
3310,3
812,3
1264,2
6172,3
892,0
6080,2
1726,2
5759,2
7988,2
9791,3
3443,2
5316,2
8942,2
2401,3
5336,0
5155,3
8101,3
1695,3
6439,2
4503,2
5371,1
8124,2
852,2
5843,3
9352,3
3130,3
4226,3
2875,3
2962,3
1929,2
8174,3
2719,1
7492,3
5122,1
7032,3
8345,1
5784,3
5478,3
8817,3
8342,1
5954,2
7876,3
6436,3
1788,2
9251,1
7724,2
6391,3
854,3
6498,3
3721,1
6879,0
971,1
9758,3
2628,1
6273,3
5368,3
6148,2
7730,1
6120,2
9734,2
6540,0
2094,1
44,3
9591,2
3272,2
4417,3
3663,2
2966,3
1544,3
4813,3
6122,3
4914,2
494,1
9966,2
9181,3
6793,3
668,3
145,3
2005,1
5410,1
4275,3
9793,3
1133,3
7157,1
531,3
3423,3
4218,3
5076,1
555,3
4402,2
4573,2
795,3
3055,3
8919,1
1593,1
3143,3
6985,2
9074,2
9121,3
3343,3
7682,1
8046,2
6992,3
8436,1
5200,3
2495,3
2761,3
5957,3
7817,3
3993,1
856,3
8248,3
9129,3
4884,3
1423,3
140,1
5571,3
1612,1
7122,3
2430,3
9122,1
6564,3
9187,2
8107,3
8390,3
5367,2
7574,2
302,0
6525,3
7066,2
8512,2
6551,2
1390,0
1760,1
3707,2
7529,2
1163,0
8262,3
6015,3
1132,2
6859,3
1248,0
171,3
778,2
2304,3
7803,2
6189,3
8899,2
12,2
2493,2
31,3
2899,2
2379,2
3266,3
6964,1
1243,3
6334,3
6077,3
5038,3
9803,3
4711,3
8584,3
345,2
5946,0
8210,2
1062,2
7588,3
6240,2
5215,3
8860,3
2185,1
6421,2
6776,3
915,0
2135,3
4331,3
6137,3
6363,2
9928,0
136,1
6156,3
772,3
5504,1
9084,2
8281,3
7685,2
9411,3
1031,3
8728,2
1283,1
951,3
6869,2
3347,3
4235,2
7786,1
919,2
5331,2
9041,3
6896,3
2193,2
4639,3
6990,3
6714,3
9807,3
9643,3
5212,1
6630,2
5673,2
5705,3
1606,3
9305,3
4188,1
2860,1
5168,2
21,3
444,3
5233,1
6752,2
2522,2
878,2
1072,3
196,3
7602,3
6878,2
410,3
318,1
6280,3
5311,1
3891,3
5583,3
4169,1
8807,1
6576,2
3933,0
1660,3
7959,2
5769,2
1614,3
2082,1
3733,3
7580,3
5455,2
4084,3
3307,0
8019,0
6983,3
4810,2
1522,3
2164,2
9394,1
3845,2
5178,3
4527,2
3401,2
1960,3
2877,2
2768,2
5795,3
8754,2
1540,3
9549,3
2622,3
356,3
9245,3
4917,1
1115,3
3322,1
5782,3
968,3
1678,2
7684,0
6530,3
6982,3
5328,3
1112,2
6207,3
5835,1
7646,2
2581,3
8920,0
418,3
7560,1
8498,2
1313,3
5294,1
8895,3
7917,3
4251,3
5597,1
8791,3
9278,2
8923,2
484,3
77,2
3546,3
4676,0
6197,2
7253,3
6229,3
8348,3
8956,2
9794,3
7813,3
7268,3
1655,2
4605,3
4611,3
5342,3
1397,1
373,2
2368,2
3880,2
1327,1
7018,3
967,3
7291,3
9363,3
5045,3
7170,2
5644,2
8965,3
502,2
8388,3
3758,2
3187,3
8372,3
6861,3
4205,3
6043,3
2220,2
4208,1
6468,2
7015,2
4669,2
4578,2
8541,3
7883,3
8680,3
9388,2
1364,3
889,3
1864,3
1742,1
8893,2
4145,3
6602,3
8146,3
5241,1
6354,3
9901,3
6567,1
4549,3
3871,3
1718,3
465,2
414,0
5918,3
9818,1
9436,3
2024,2
1652,2
9260,2
5447,3
4099,3
6599,3
4873,3
1210,3
4164,2
5310,2
5280,3
8300,3
4063,3
2560,3
6142,3
2458,3
348,3
8824,3
3676,1
3084,3
8204,3
8562,0
3201,3
760,2
8057,2
5020,3
5291,2
4651,2
9958,2
8724,3
7870,3
5163,3
9487,3
7906,1
1297,1
5005,2
2056,3
122,1
9999,2
6153,3
7627,3
7812,3
8169,2
3598,2
7188,2
2301,2
4677,3
5198,1
2730,3
5736,2
164,3
2175,3
7053,1
789,3
4199,3
8438,3
1287,1
6605,2
3834,1
185,3
7047,3
1449,3
3658,3
6296,3
631,1
3932,3
1610,3
6027,3
6814,1
5616,3
4506,3
3256,2
4081,3
1291,3
7414,2
6444,3
3515,3
723,1
9552,3
7734,3
1237,3
2982,3
9461,2
226,1
6940,1
2901,0
1381,2
2525,1
3784,3
7221,3
54,3
7333,2
6008,3
8322,2
2204,3
9996,2
3985,2
7263,1
8208,1
2755,3
4655,3
777,3
7296,2
3626,2
4912,1
6989,3
2192,2
5658,1
3839,3
2829,1
3402,3
9460,2
1150,3
4379,1
4407,3
3308,2
3127,2
9798,1
3697,2
5018,3
6922,1
5211,3
5534,3
8721,3
4862,1
7299,2
529,3
9185,2
9934,3
2302,3
6294,3
2505,2
6868,0
2464,1
3348,0
7675,3
5969,2
2711,0
8165,2
605,1
8733,1
6656,3
3104,3
8788,3
2763,2
1768,3
7008,3
9290,1
7665,3
1377,3
3388,2
182,3
5274,3
1942,2
2450,3
3748,3
3507,1
3289,1
9519,1
5083,2
2210,2
6092,3
6450,2
9027,3
2733,2
3309,2
9562,1
1875,3
9558,3
8808,2
2736,3
9248,0
7496,3
2757,3
5468,3
3391,0
9736,2
4635,3
8700,3
2137,2
2004,1
279,3
7679,1
8202,3
2241,3
7046,0
7406,3
9221,3
2532,2
1597,1
7508,2
4442,3
6409,2
2623,3
3944,3
6241,3
5722,3
6109,3
5803,1
3747,2
8654,2
1706,3
4812,3
2006,3
8768,3
2083,3
293,1
4518,3
3134,3
6407,2
7023,3
9882,2
9160,3
8303,2
1733,2
2841,3
7294,3
8029,1
9929,1
2624,1
3359,2
2141,3
5801,3
4551,3
343,2
5627,3
4987,3
8468,0
712,2
1769,0
633,3
9101,3
9357,1
7381,3
262,3
1122,3
5247,3
6902,3
3627,3
7081,1
6222,2
1934,3
3793,3
7444,2
9345,2
929,3
2914,2
743,3
6920,3
5461,3
8339,2
5637,3
9983,3
3900,2
5262,2
4659,0
8598,1
4860,2
66,2
3383,3
2565,3
7457,1
3445,1
1312,2
8683,0
1924,1
2466,3
4321,2
4709,3
6850,3
618,1
9153,3
2270,1
7036,2
2938,3
5002,2
4279,3
352,3
8042,0
3490,3
4490,3
105,3
1262,3
476,3
4046,1
6339,3
9302,3
6785,3
7151,3
5378,1
56,3
9829,2
1529,3
5194,3
4028,3
3677,2
9497,3
6939,2
1197,3
4758,3
4971,2
3943,3
7581,3
2216,3
4536,2
6889,3
615,3
4025,3
3897,2
4229,2
200,2
4368,1
1223,3
5220,0
2385,2
6849,3
3644,3
1275,3
8225,2
660,3
5861,3
7647,1
3147,0
7364,3
4620,0
4394,3
5632,3
8801,0
1822,3
8444,2
3164,3
8314,3
8448,2
8095,1
4221,3
2616,1
2282,2
412,1
351,3
9978,3
593,0
3539,0
2827,3
431,1
7403,3
1622,1
109,3
5938,3
7169,3
480,3
8744,2
7880,0
922,3
7024,2
3797,1
9315,2
9668,1
4606,3
907,3
9032,2
8966,2
3056,1
5823,2
2124,3
3162,3
99,1
9108,2
8564,1
3258,1
7205,2
8730,1
7806,1
1358,3
175,2
5497,2
7285,3
1656,0
747,2
2950,3
3242,1
5624,2
1005,2
4053,2
3458,3
5459,3
6559,3
5081,3
1803,2
790,2
4921,3
6237,2
3578,3
7737,3
6582,2
4733,3
6872,3
7568,3
3089,1
9065,3
7228,3
8967,2
600,3
2442,3
3448,0
6917,3
6417,3
6202,2
5600,3
5620,3
6467,1
2686,1
1321,1
6671,1
4721,3
7345,0
5749,1
5678,3
3264,3
2121,1
8235,3
5387,3
3675,2
6395,2
8244,2
8552,1
1147,1
4116,2
5281,1
3928,3
4976,3
9984,3
3858,2
3575,3
5858,3
3304,3
1331,3
2211,3
1143,3
4415,3
4371,3
2412,2
4582,2
349,2
8425,1
1395,3
4114,3
9823,3
8676,1
8681,3
8197,3
2672,2
817,3
2447,3
7455,1
4117,1
8258,3
7246,2
4898,3
141,2
9379,3
910,3
9729,1
7801,3
3327,1
2345,2
6353,3
7510,1
9495,3
5517,3
5072,0
8526,3
1505,1
9349,3
7145,2
6908,3
8420,2
432,2
5561,3
2298,1
7079,1
7775,0
5416,3
1576,2
2976,0
1002,3
610,3
6912,3
9275,3
7836,2
2284,1
4749,3
2597,1
4458,2
3796,3
1450,3
1405,1
2381,2
9568,3
506,2
5983,1
1559,3
2228,3
9922,2
6205,3
1967,2
9178,2
9925,3
2469,2
9189,3
6587,3
1774,3
2659,1
5016,0
1086,3
435,3
489,2
1628,1
7491,1
8211,2
1307,3
1399,1
1687,3
45,3
4509,3
9309,3
7379,3
4494,3
8352,3
8859,1
106,1
3673,2
6079,1
2646,3
382,2
7804,3
4244,2
6413,3
5039,2
3081,3
519,1
532,1
5931,2
3368,2
4298,3
2867,2
8184,2
1971,0
8891,2
8616,1
1416,3
1906,0
3231,0
2679,3
2568,1
2972,3
5388,2
765,2
6779,2
7653,2
1898,2
9603,0
4148,3
6913,1
9783,1
4772,3
8117,2
681,1
6480,1
9993,3
8643,3
3560,2
707,2
7566,3
2022,3
9652,2
7272,3
7101,3
1847,1
8993,1
4684,3
5746,1
1170,3
1817,2
6286,2
5844,3
7182,3
2845,3
1330,3
388,2
2919,2
9838,3
1228,2
9865,1
8902,2
2727,2
7593,3
5988,3
739,0
258,3
5837,2
5428,1
1514,3
2547,3
4300,0
7256,3
6557,2
914,1
5951,3
6999,2
7132,3
7004,0
7212,1
8957,3
9265,3
2695,3
9128,3
3547,1
729,3
2741,1
3811,3
2797,2
3817,2
7359,3
4255,3
8508,3
1365,3
630,3
8341,3
5492,2
8863,2
3741,2
3610,3
1415,1
9139,2
1241,3
1763,3
3259,1
6533,3
8411,3
1925,3
9634,3
5359,2
6383,3
2242,3
3532,3
9725,3
4672,3
6415,3
5074,2
7026,0
3204,3
5456,1
4495,1
8766,0
4083,3
6310,3
1604,3
5482,3
5512,3
6161,3
5451,3
6760,1
2591,3
1694,3
3851,1
1472,3
653,3
8422,2
2564,1
3643,1
2101,1
3196,1
3221,3
3602,1
4704,0
8589,2
5030,3
6601,2
9728,2
8870,2
5715,3
8962,3
8431,3
2552,3
2157,2
9720,2
1589,3
6583,2
9763,2
5821,3
4828,3
570,3
2634,3
317,2
6186,3
6052,2
3303,3
2217,2
7473,1
5157,1
9531,3
9940,2
3959,3
8126,1
963,3
4595,2
5010,2
364,3
3087,2
1017,0
2981,2
9638,0
2398,1
1691,3
9510,3
4722,2
2057,1
3432,3
8618,1
6775,3
1154,2
6969,1
7121,3
2488,2
4995,2
526,3
1117,2
426,3
4297,2
3812,3
6880,2
6959,3
6216,0
3542,3
7842,3
5973,3
3638,3
9780,0
4840,2
1996,3
8228,2
4177,1
2888,1
7595,1
3416,3
8412,2
3390,3
6701,3
4646,3
2869,3
6961,3
785,3
5304,2
6477,3
6233,3
6399,2
406,3
8295,1
6379,1
7465,2
8540,2
2422,3
7985,3
917,2
61,3
5420,2
8588,1
7469,1
41,3
1849,2
3914,2
2478,3
1060,3
7758,2
791,3
2644,3
8343,3
7490,3
1511,3
6038,1
1526,0
1997,2
2640,3
8693,2
2218,1
7097,2
9554,3
3613,3
9017,3
5080,3
3121,2
7210,3
255,0
8611,1
3789,2
2109,1
250,3
421,2
2857,3
199,0
6753,3
9204,0
1375,2
4988,2
5524,2
5585,3
8619,1
8203,1
8286,3
7630,2
2038,1
3778,2
3709,1
9026,1
3159,1
3679,3
94,3
8307,3
845,3
3251,2
2480,1
6672,0
8960,2
4209,2
191,2
1521,2
3725,2
3614,2
254,3
1858,3
4530,2
774,1
2187,2
6056,3
873,3
1629,1
1148,1
