,Y_real
4628,0
2169,1
4138,1
1397,1
2460,1
1322,0
4405,1
4938,0
1295,0
4648,1
1991,0
2961,1
1157,0
1409,1
642,1
2683,1
1290,0
611,1
3211,1
4425,0
5124,0
3731,1
994,0
455,1
89,1
3276,0
2016,0
3528,1
2068,0
2359,1
4422,0
3794,0
4090,1
4236,0
1315,1
2913,0
3327,0
3820,1
3080,1
2763,1
3361,1
4952,1
2325,1
162,0
187,0
1617,1
1508,0
1485,1
2584,1
3206,0
3102,0
2724,1
3066,0
1528,0
2260,0
5114,1
5362,0
1899,1
2484,1
2411,1
5291,0
2227,0
4608,0
1942,1
4306,0
285,1
4756,1
2881,1
454,0
4022,0
2019,0
2720,0
2119,0
3638,1
3734,1
4819,1
619,0
4838,0
367,0
3159,0
4752,0
5035,0
3364,1
1545,0
5044,0
2017,0
2771,1
3436,1
2794,1
1552,1
2236,0
1793,1
3968,1
3526,0
4569,0
1477,1
2188,1
2192,0
714,0
2860,0
1834,1
5246,0
4906,0
159,0
1592,1
2732,1
2213,0
5305,0
4839,0
3636,0
1921,1
1068,0
4889,1
1168,0
1531,1
2842,0
1755,0
4629,1
3888,0
4127,1
232,1
4143,1
3362,0
2156,1
3504,0
3902,0
3394,0
2097,0
795,0
5261,0
213,0
1342,0
2224,0
3812,0
4712,1
3144,1
3803,1
909,1
2689,0
1286,1
1371,1
1444,1
806,0
5276,0
1561,1
5398,1
2164,0
4027,1
837,0
2133,1
3334,0
5128,0
2454,1
4766,0
848,1
5381,0
2173,1
400,1
2963,1
4779,1
158,1
1820,0
5099,1
4408,0
2092,1
1123,0
1416,1
4119,1
4865,0
3444,1
2426,0
4224,1
1868,0
4277,0
1605,1
4386,1
1644,0
2631,0
2199,1
1225,1
68,0
3625,0
348,0
3176,0
3163,1
4365,0
2099,0
4734,1
3126,1
1958,1
3815,0
2392,0
3258,0
903,0
1143,1
2449,1
2861,1
321,0
863,0
357,0
4774,1
5045,0
1194,0
3875,1
3516,0
760,0
896,1
299,0
1736,0
706,0
3848,0
