,R,Q,A
5972,6.571007801289586,3,1
7255,6.79734536591777,1,0
4857,6.676253316767122,2,1
3486,6.590702767203038,2,0
3592,2.619616389566753,2,0
4623,6.416784555845926,1,0
2806,7.07738866124901,3,1
5969,3.6871491881330836,2,0
3633,2.70496797694567,3,1
9096,2.6918280240503014,2,0
5126,8.395025466525041,3,1
131,2.70980047870751,3,1
5619,3.444015482198481,3,1
472,3.6437351815320773,1,0
1024,4.600786485422978,1,0
5231,5.441915423158872,3,1
8597,3.226483097054567,3,1
8114,3.9040890501987433,3,1
5768,8.00883076951791,3,1
2437,12.53971181681926,1,0
2390,2.1139295181451683,0,0
851,6.888534160056231,1,0
1939,4.475796822732231,3,1
659,5.1716077840594465,1,0
6376,4.327669168996691,1,0
8767,5.25218497810581,1,0
6002,0.4969474202010333,2,1
1424,6.407699340716427,3,1
5892,3.88203615943071,2,0
7584,6.395656222912917,3,1
2384,3.024075306683905,1,0
7911,6.548387938840732,0,0
1201,1.8932362192682235,2,0
8910,3.305664152505334,2,0
4916,8.313153446181941,3,1
7975,8.642748363622609,3,1
6064,4.6849916176653235,3,1
5567,5.741930198723658,2,0
7116,6.237150696721841,2,0
6831,8.715446721552462,3,1
7239,5.848924090128972,3,1
6822,11.773902615941811,2,0
5303,3.0759052082003215,3,1
1268,4.81392739230757,1,0
1690,13.523918117255938,2,0
701,8.883004435881894,0,0
1537,4.755497619754068,3,1
4167,5.362064335167232,3,1
3455,5.8944071100838995,2,1
5952,2.7287523856517053,2,0
3297,3.723835118716025,3,1
2370,2.2665283319715934,3,0
7026,9.26243499211645,2,0
6839,7.993018745951316,2,0
1456,7.820301748265051,3,1
6695,2.679956857164219,1,0
5480,8.025687948235014,3,1
2603,5.989204925205597,1,0
7868,15.551438902132823,1,0
549,2.889648463174124,3,1
7915,1.7557725768280912,1,0
9352,13.25838941937169,2,0
2324,0.6247472934380796,3,1
6307,1.6527376249377312,0,0
2110,8.794458828351695,1,0
522,7.925198035643792,1,0
7224,2.498174329722657,2,1
384,1.5511952430636942,3,1
787,6.6896129122009445,3,1
7696,10.963221620193744,3,1
1370,4.254340735601127,3,1
1618,5.8252658640889265,3,1
9421,5.544781549777573,2,0
5341,3.9155246584965067,3,1
2717,4.652242037880175,0,0
953,5.458856072952475,3,1
5808,1.1169988111567473,3,0
3144,2.5045917830643583,3,0
4352,8.771693909115347,0,0
5991,2.5558384845593825,2,0
5914,11.414384164052596,3,1
8353,4.228841012475599,2,0
1953,8.744031740653625,3,1
6708,6.495341586519821,2,1
7543,6.3405848573490395,2,1
8786,9.634910531488545,2,0
6417,8.53964214853656,3,1
7869,6.281054674002105,2,0
8300,8.717766499152225,1,0
8137,9.363081897346941,3,1
7426,2.6044158579738164,2,0
3131,7.715717514987576,1,0
6889,11.870856537429349,3,0
8917,7.202989244446248,3,0
1030,3.700771367424486,3,1
1647,4.85589650670102,2,0
4007,5.354279428515656,3,1
5183,2.4205107777055046,2,0
5862,0.6237435920068249,3,0
6760,1.641342939428075,1,0
3800,5.0584283519604645,3,1
4036,6.928585686819568,3,1
8382,7.161341985396767,2,0
2347,6.190604142470941,3,1
4949,5.205594131716671,1,0
4430,6.993743126772438,0,0
4115,2.3656060103961916,2,1
7974,4.1965056024536445,3,1
