,Y
669,1
1906,1
1883,0
1624,1
1139,0
3368,0
3327,1
4285,1
2105,1
6229,0
1078,1
287,1
149,1
4886,1
1996,0
2084,0
2995,1
1298,0
3050,1
604,0
5259,0
4951,1
3958,1
2786,0
6411,1
6268,0
85,0
873,1
2459,1
3359,0
1664,0
5375,1
5325,0
546,0
2330,1
1198,0
2325,1
4590,0
2529,1
822,0
5908,1
6336,0
291,1
90,0
1002,1
1721,0
4438,0
3171,0
1132,0
5819,0
3544,0
4255,1
3297,0
325,0
6121,1
4642,1
1234,1
3928,0
1374,1
588,1
4067,0
143,1
4084,0
2630,1
5308,0
1175,1
3504,0
817,0
5670,0
4708,1
5423,1
6247,1
5473,0
4526,1
5883,0
250,1
3246,0
578,1
4465,0
123,0
4213,1
6429,0
1363,0
4160,0
1309,1
3852,0
5997,1
2140,1
4784,1
3284,0
3404,0
719,0
29,0
3155,1
5732,1
148,1
2809,0
5783,0
4098,0
2293,1
3453,1
120,0
2523,1
2019,0
5835,0
2250,1
5185,0
3633,1
161,0
3479,1
636,1
353,1
4914,0
4333,1
147,1
2098,1
4220,0
3177,1
2288,0
2136,1
4282,1
6079,0
2769,1
5455,1
3773,1
793,0
2760,1
2163,1
6065,0
1187,1
5962,1
1313,1
443,0
1957,1
1442,1
4514,1
4043,0
2350,0
278,1
3334,0
3514,1
544,1
6104,1
6324,1
5701,0
3580,0
3766,0
231,1
3373,1
6283,1
1158,0
1508,1
3288,0
4024,1
5982,0
878,1
553,1
496,1
6227,0
5731,1
2396,1
4525,1
6239,0
5527,1
6132,0
6177,1
5311,0
3583,0
4637,0
6264,1
2035,0
4044,1
4709,1
459,1
1921,0
3200,0
5795,0
4643,0
767,0
5622,0
2805,1
3726,0
6041,1
95,1
5240,1
5426,1
5359,0
2221,1
1299,1
5548,1
4443,0
3747,0
1634,1
6420,1
4217,1
1173,0
3062,1
4562,0
359,0
4110,1
2052,1
5040,0
972,1
5486,0
1942,0
4676,1
675,0
5169,1
3198,1
1182,0
2921,0
5039,1
6088,0
1907,0
851,1
582,0
4221,0
2268,0
2911,1
1688,1
5022,0
4070,1
2372,1
3494,0
1844,0
3379,0
2900,0
622,1
4707,0
6394,1
1568,1
2192,0
3883,1
2322,0
4310,1
3059,1
1575,0
4978,0
2262,1
347,1
1345,1
5091,0
3102,0
3746,0
3659,1
2856,0
1662,0
3389,1
536,0
3374,0
1122,0
3800,1
2727,0
4491,0
2743,1
1383,0
5571,0
947,0
3011,1
3452,1
978,0
6189,0
4304,0
246,0
2870,0
6421,1
3074,0
71,0
5951,1
1195,0
2728,1
3321,1
6038,1
869,0
3685,0
5967,0
109,0
81,1
1095,1
2553,1
5963,0
5685,0
545,1
531,0
2906,1
4167,0
4068,1
3298,0
1047,0
895,0
4853,0
1903,1
2138,1
3790,0
6246,1
6244,1
5017,0
3890,0
1301,0
1774,1
329,0
5671,1
2378,0
1671,0
4909,1
437,0
975,0
508,0
389,0
4127,0
5415,0
4901,1
4425,0
2368,1
688,0
4006,0
3371,0
3696,1
1278,1
2853,1
5714,1
2587,0
4186,1
4601,0
324,1
5630,1
4967,1
6054,1
3303,1
6436,0
2557,0
6060,1
2996,1
5339,0
2756,0
2405,0
2968,1
3096,0
3397,0
5721,0
4256,0
4990,0
5220,0
1898,0
4779,1
4843,0
721,0
1631,1
6144,1
5895,1
4375,1
5513,0
5052,0
3044,1
1864,0
5644,1
6092,0
1657,0
2255,0
601,1
4398,1
4924,0
4982,0
3055,0
3422,0
1797,1
6150,0
3352,0
4803,0
2465,0
5,0
2797,1
5134,1
4253,0
1612,1
4772,0
5494,1
3525,0
295,1
4808,0
3581,0
1305,0
2175,1
4494,0
5461,1
4135,0
4005,0
3249,0
433,0
126,0
6078,1
3476,1
4790,1
4354,1
5793,1
4145,0
2571,1
3103,1
691,0
4866,1
3811,1
812,1
4916,0
2031,1
1628,0
823,1
1807,0
4596,1
59,0
3077,1
2258,0
1860,0
3205,1
1881,0
4848,1
4869,0
4144,0
3226,0
6187,0
4611,0
1617,1
2353,1
5897,0
958,1
2499,1
6126,1
2112,0
2270,1
2471,1
5346,0
4312,1
5135,1
472,0
684,1
6151,0
2046,1
6385,1
5195,1
2556,1
6067,1
3617,0
522,0
2865,0
3361,1
3898,0
5780,1
1157,0
5063,1
5779,1
1450,0
6311,0
6286,0
2649,1
6197,0
5866,0
5160,0
6048,0
5905,0
5150,0
397,1
5796,1
1074,0
2498,1
4475,0
140,0
185,0
4673,0
2915,1
112,1
5270,0
1223,1
749,1
2118,1
4325,0
4219,1
1150,0
3355,0
4212,1
4384,0
2494,1
5411,0
181,1
2395,1
5299,0
4508,1
3007,0
270,1
3495,0
2749,1
3209,0
2045,1
4178,0
4386,1
5857,0
288,1
2742,1
2022,1
2538,0
4091,0
1410,1
2582,0
6365,1
2675,0
3199,1
5121,0
1885,0
444,0
1258,0
5797,1
5376,1
1793,0
2091,0
133,1
2528,0
2837,0
1489,0
3885,0
4552,0
656,0
5827,0
2358,0
1506,0
5547,1
2445,0
4750,1
5293,1
5734,1
2165,0
713,1
5986,0
6258,0
2578,1
1166,1
6384,0
5559,1
5331,1
2652,0
1616,1
4329,0
1914,1
4409,1
4623,0
486,1
5447,0
5067,0
681,0
4954,1
4958,0
833,1
3904,0
1206,0
2051,1
4132,0
2993,1
208,0
5711,0
247,1
3278,1
1263,1
4892,1
4559,0
1743,0
6167,0
592,1
1520,1
1141,1
6371,0
1990,1
3740,0
5421,0
1238,0
4820,1
4629,0
4499,1
1558,1
3843,0
1055,1
3004,0
4622,1
4434,1
5392,1
935,0
5588,0
3699,1
5268,0
6037,1
5493,0
6440,0
2750,0
1045,1
224,1
4701,1
5182,0
1332,0
6391,1
105,0
673,1
2412,1
943,0
2359,1
2757,1
4945,1
66,0
2936,1
5340,1
1993,1
5716,1
201,0
401,1
4591,0
4883,1
3256,1
3460,0
2393,0
2925,1
5201,0
3305,0
5833,1
2549,0
1052,1
4047,0
6444,0
3646,1
490,0
2127,0
5708,1
28,1
5661,0
5197,0
1961,0
4460,0
755,1
3110,1
3929,1
2881,1
520,0
1910,0
5694,0
5642,1
6001,0
1732,0
1593,1
3995,0
150,1
6308,0
5256,1
1429,1
1917,1
1700,0
2013,0
1329,1
1890,1
2748,1
2984,0
4320,0
129,0
1441,0
1968,1
2992,0
6289,0
5205,1
499,1
5324,0
2178,0
4957,1
130,0
