Dataset,Att,Measure,Acc,SP,EO,PP,FN-TN,FP-TP
academic,ge,mean,0.6454545454545455,-0.1846045874490146,-0.0803174603174603,0.1393001443001443,0.0,1.0
academic,ge,std,0.1125254338717868,0.1828153042756591,0.2431080334234308,0.1444130632823606,0.0,0.0
adult,NativeCountry,mean,0.832027242172298,-0.0399992543876985,-0.0365034116305969,0.0949840055740036,0.0,0.0
adult,NativeCountry,std,0.0029256308568615,0.0162621782997795,0.047854175900429,0.0253254508633677,0.0,0.0
adult,Race,mean,0.832027242172298,-0.0808321949887976,-0.0418142586301503,0.1023634739048353,0.0,0.0
adult,Race,std,0.0029256308568615,0.0095395635827574,0.0267648902894817,0.0201115360425698,0.0,0.0
adult,Sex,mean,0.832027242172298,-0.1710738520112185,-0.0862370546342156,0.1271795062769332,0.0,0.0
adult,Sex,std,0.0029256308568615,0.0076933621859813,0.0352468453180031,0.0186607701854745,0.0,0.0
arrhythmia,sex,mean,0.7219047619047619,-0.1775840955828729,-0.0822828533417186,0.1464996992962053,0.0,0.0
arrhythmia,sex,std,0.0636189208882557,0.034290331751337,0.0823447120410267,0.0500746002925297,0.0,0.0
bank,AgeGroup,mean,0.8747561851965917,-0.3207620682389211,-0.0928893195416229,0.1057062559624088,0.0,1.0
bank,AgeGroup,std,0.0031917938107274,0.052808734354356,0.0752191914607118,0.0344299628960069,0.0,0.0
catalunya,NatG,mean,0.5892523364485982,-0.1012142594749585,-0.0870866737238072,0.164848074579809,1.0,0.0
catalunya,NatG,std,0.0337291260422777,0.0862287919733966,0.0933956066794928,0.0718052527446034,0.0,0.0
catalunya,foreigner,mean,0.5892523364485982,-0.0821668689447305,-0.073888357192785,0.1659797395380836,1.0,0.0
catalunya,foreigner,std,0.0337291260422777,0.0968448180757009,0.1129107835141693,0.0786289237900904,0.0,0.0
catalunya,sex,mean,0.5892523364485982,-0.1263203192480033,-0.0959355507923446,0.1468029428978711,1.0,0.0
catalunya,sex,std,0.0337291260422777,0.1018934114632501,0.1031505132785595,0.0647168982058962,0.0,0.0
compas,race,mean,0.7204545454545455,-0.310034302775618,-0.1959091503156132,0.1407741486728638,0.0,0.0
compas,race,std,0.0073449694809338,0.0240092636226598,0.0147119215932243,0.0212191691856926,0.0,0.0
compas,sex,mean,0.7204545454545455,-0.0482224093023628,-0.0118912355628279,-0.007572331167349,0.0,0.0
compas,sex,std,0.0073449694809338,0.0285154530721984,0.0354495048503454,0.0423277805501496,0.0,0.0
credit,sex,mean,0.7241560896570348,0.0399847288659475,0.0317652828016029,-0.0249422853846555,1.0,0.0
credit,sex,std,0.0046528699115557,0.0094425515149007,0.0111570431088041,0.0074815915808949,0.0,0.0
crime,race,mean,0.7392785571142284,-0.4530380067096719,-0.285841388357117,0.2809795097109333,0.0,0.0
crime,race,std,0.0224840213005063,0.0583282722500194,0.1384409066644725,0.1384189676695598,0.0,0.0
default,SEX,mean,0.7287333333333333,-0.0303464024175575,-0.0132902037895859,0.0150910690019596,0.0,1.0
default,SEX,std,0.0058214588133945,0.0106824779168433,0.0237866832728511,0.0203690763964189,0.0,0.0
diabetes,Race,mean,0.6296864171864172,-0.0177590426325224,-0.0183474311229156,0.0057038279720379,1.0,0.0
diabetes,Race,std,0.0039094379215824,0.0105212707746169,0.0127960111723338,0.00948396856815,0.0,0.0
