Dataset,Att,Measure,Acc,SP,EO,PP,FN-TN,FP-TP
academic,ge,mean,0.6090909090909091,-0.1933335176175733,-0.0749206349206349,0.092521645021645,0.0,0.0
academic,ge,std,0.048337317632345,0.1557921441844313,0.3028351724641044,0.2445752583787871,0.0,0.0
adult,NativeCountry,mean,0.8199097824164161,-0.044182226034521,-0.017136319964438,-0.0016474771651512,0.0,0.0
adult,NativeCountry,std,0.003039010424201,0.0130132278335585,0.0297576463378835,0.0381878759322802,0.0,0.0
adult,Race,mean,0.8199540067220946,-0.1017462786946643,-0.1247356826271179,-0.0505865443920519,0.0,0.0
adult,Race,std,0.0029997860846648,0.00534261042473,0.022013495339399,0.0282776674606186,0.0,0.0
adult,Sex,mean,0.8199540067220946,-0.1830496057636202,-0.2951655272214264,0.0401692309015492,0.0,0.0
adult,Sex,std,0.0030122203046354,0.0040414969931342,0.0181356186916837,0.038800065647327,0.0,0.0
arrhythmia,sex,mean,0.720952380952381,-0.1697220108674098,-0.035548483763271,0.1227187103875128,0.0,0.0
arrhythmia,sex,std,0.0201030351733175,0.0724833428198491,0.1004848376105028,0.0625893202066858,0.0,0.0
bank,AgeGroup,mean,0.8935530233035622,-0.345976936164215,-0.2562676309580975,-0.058070077543221,0.0,0.0
bank,AgeGroup,std,0.0028136978460491,0.044933459938536,0.0551919600771381,0.0505486075090845,0.0,0.0
catalunya,NatG,mean,0.6462616822429907,-0.3017953701596874,-0.2360493073328942,0.0973027296730499,1.0,0.0
catalunya,NatG,std,0.02342152953437,0.0533169599140355,0.0601151718052958,0.0896094640966728,0.0,0.0
catalunya,foreigner,mean,0.6457943925233645,-0.2756433092397082,-0.2158491994039975,0.10130588814465,1.0,0.0
catalunya,foreigner,std,0.023704688323672,0.0502648364036666,0.059192529579668,0.0883737928786986,0.0,0.0
catalunya,sex,mean,0.6462616822429907,-0.2293714902849127,-0.1708315810314009,0.1246660058690447,1.0,0.0
catalunya,sex,std,0.0243359812241674,0.0801905704878168,0.0609935522725651,0.05355719903151,0.0,0.0
compas,race,mean,0.7384848484848485,-0.3633606235339876,-0.2563747904349038,0.1122111696473604,0.0,0.0
compas,race,std,0.0127408937854291,0.0164780381556676,0.0188423700540472,0.0237547929955256,0.0,0.0
compas,sex,mean,0.7384848484848485,-0.051164689416571,-0.049181417902748,0.0187995646239667,0.0,0.0
compas,sex,std,0.0127408937854291,0.0209321988653994,0.0408205599059316,0.0322296909844336,0.0,0.0
credit,sex,mean,0.8059546313799621,0.035347940198862,0.0203376577302599,-0.0208325784314208,0.0,0.0
credit,sex,std,0.0043041214558378,0.0058608358511795,0.0032828615948126,0.007790620097691,0.0,0.0
crime,race,mean,0.829258517034068,-0.5219476590966508,-0.338759634835352,0.0656541791608999,0.0,0.0
crime,race,std,0.0091494421740889,0.0396465967694413,0.1313320121109794,0.134437011025892,0.0,0.0
default,SEX,mean,0.8092533333333334,-0.0298943462834226,-0.0463335494502426,-0.047549362624274,0.0,0.0
default,SEX,std,0.0046495771744573,0.0061206325255146,0.0216315490654771,0.0199029256857333,0.0,0.0
diabetes,Race,mean,0.7570426195426195,0.0003142974439462,0.0002957632038564,0.0051663218694415,0.0,0.0
diabetes,Race,std,0.0031741656131505,0.0003664292727468,0.0002611742705826,0.0066726700798058,0.0,0.0
diabetes,Sex,mean,0.7570426195426195,-0.0003734718916323,-0.0003686511564379,-0.0086601742817596,0.0,0.0
diabetes,Sex,std,0.0031741656131505,0.0003843200861157,0.0003002610417272,0.0078913887231734,0.0,0.0
diabetes-w,Age,mean,0.7619791666666667,-0.3219848291365067,-0.2537500630720518,0.1224908146440859,0.0,0.0
diabetes-w,Age,std,0.0251646296238378,0.0869785562306974,0.0871219076605869,0.0841773471661632,0.0,0.0
drugs,Gender,mean,0.7947033898305085,-0.118680857548664,-0.0943735747055087,0.1022484761304123,0.0,1.0
drugs,Gender,std,0.0104962605951916,0.0399399329591427,0.0273178770125625,0.0270343875683204,0.0,0.0
dutch,Sex,mean,0.8728963919232042,0.0055978700349217,0.0680732891832007,0.0204476535874841,0.0,0.0
dutch,Sex,std,0.002893055670111,0.0039858367503756,0.0241999342714564,0.0188366630733024,0.0,0.0
german,Sex,mean,0.7264,-0.0772389599925534,-0.0037871225309102,0.0246513289781387,0.0,0.0
german,Sex,std,0.0243821428280799,0.0542732505056421,0.0412859574757841,0.058628366967188,0.0,0.0
heart,Sex,mean,0.7447368421052631,-0.3269416969585036,-0.2548987332607267,0.2156212969052853,0.0,0.0
heart,Sex,std,0.0674355476974827,0.1269305611484939,0.1819406509665242,0.1551915040626031,0.0,0.0
hrs,gender,mean,0.9032247964934254,0.0297240111733712,0.0126653727018096,-0.023827849453352,0.0,0.0
hrs,gender,std,0.00267481324107,0.008884905470332,0.0038298201821653,0.0061681054608858,0.0,0.0
hrs,race,mean,0.9032561051972448,-0.0638000598001485,-0.0284959875451169,0.0305451025541152,0.0,0.0
hrs,race,std,0.0027013523493101,0.0080512735558758,0.0067640438178038,0.0096198079442907,0.0,0.0
kdd-census,Race,mean,0.9451698698243832,-0.0123636923250068,-0.076685665007697,-0.0567346546860917,0.0,0.0
kdd-census,Race,std,0.0008989923239416,0.0008068889152594,0.0195660637027821,0.0507282721326879,0.0,0.0
kdd-census,Sex,mean,0.9451805618668306,-0.0249871513240688,-0.1223539915387883,0.0900249843889589,0.0,0.0
kdd-census,Sex,std,0.0008993410751632,0.0008823192230861,0.0098066274813025,0.0435475388472996,0.0,0.0
lsat,gender,mean,0.6379803050782005,-0.1778354972525213,-0.1510251581821934,0.087563895192609,0.0,0.0
lsat,gender,std,0.006811759313734,0.0120189689577888,0.0146080971971175,0.0156267592108098,0.0,0.0
lsat,race,mean,0.6378451438501641,-0.5883537506271337,-0.5379179885064727,0.082271053873223,0.0,0.0
lsat,race,std,0.0069160182969645,0.0296741185083207,0.0364280477536076,0.021726156788282,0.0,0.0
nursery,finance,mean,1.0,0.0011384992579641,0.0,0.0,0.0,0.0
nursery,finance,std,0.0,0.0081233375222117,0.0,0.0,0.0,0.0
