Dataset,Att,Measure,Acc,SP,EO,PP
S1A,Y,mean,0.7972,-0.0110472070902515,0.008196544817298,-0.0131981315649387
S1A,Y,std,0.0106541593338522,0.0319649676374217,0.0389651601433789,0.0434620663818167
S1B0,Y,mean,0.7379,-0.0057257383056692,-0.0031373563085557,0.0061978244247552
S1B0,Y,std,0.0059898061552756,0.0393595598737162,0.0454247506733907,0.0553972405077598
S1B1,Y,mean,0.7319000000000001,-0.0056607441003972,-0.0013181275146283,0.0053031931762578
S1B1,Y,std,0.0054660568765589,0.0237763165716768,0.0280681125570021,0.0430219172234518
S1B10,Y,mean,0.7374,-0.0082300720822826,-0.0053592947425487,0.0054157478931832
S1B10,Y,std,0.0072907856610625,0.0305654511774193,0.0344285187570091,0.0513720362638718
S1B11,Y,mean,0.7377999999999999,-0.0077893241670334,-0.0062725442153496,0.0069558916402697
S1B11,Y,std,0.0069249949859588,0.0296230954174757,0.0339245767203512,0.0523774624167163
S1B2,Y,mean,0.7373000000000001,-0.0136293058072822,-0.0117347436168949,0.0032722610795213
S1B2,Y,std,0.0068645627844912,0.0288258596367524,0.0319934550129328,0.0524638001250415
S1B3,Y,mean,0.7363999999999999,-0.0109920766221285,-0.0098109185066032,0.0054893803540576
S1B3,Y,std,0.0062039413995369,0.0314912092321082,0.0315906025392846,0.0538696763811587
S1B4,Y,mean,0.7373,-0.0056294364400391,-0.0012997319988797,0.0056036396359846
S1B4,Y,std,0.0049899899799498,0.0306959362434342,0.0339428352346548,0.0470311410738566
S1B5,Y,mean,0.7378,-0.0086835508760157,-0.004213024045054,0.0034951778801379
S1B5,Y,std,0.0067131711334261,0.0299477093027478,0.0328109107578246,0.0501446580430401
S1B6,Y,mean,0.7374,-0.0078050938502106,-0.0040299983387948,0.0046939896396469
S1B6,Y,std,0.00661983551323,0.0286854966497084,0.0332397606807533,0.0493996715399471
S1B7,Y,mean,0.7379999999999999,-0.0074856676295438,-0.0017692255875828,0.0032103959790043
S1B7,Y,std,0.0065319726474218,0.0332347990474508,0.0364868186253432,0.051721908939419
S1B8,Y,mean,0.7375,-0.0076338071188616,-0.0022691849364116,0.0031664486145936
S1B8,Y,std,0.0073522483333709,0.0281789382614222,0.0326156931193943,0.0535426825780795
S1B9,Y,mean,0.7375999999999999,-0.007045295294313,-0.0031009868895336,0.0050362011965288
S1B9,Y,std,0.0067197883564555,0.0302027656336179,0.03472948984889,0.0520676232656334
S1C,Y,mean,0.6211,0.0175081443026308,0.0223530436215138,0.0100612396605304
S1C,Y,std,0.0083059550256962,0.0328345264493933,0.0463072444919478,0.0467196102679082
S1D0,Y,mean,0.8017696454266263,-0.0020050613146483,0.0021919663359214,-0.0025744100716685
S1D0,Y,std,0.0126595223502354,0.0416667679996935,0.0571196999358674,0.0316408398897537
S1D1,Y,mean,0.8003720433915044,-0.0036756623142144,0.0036964545244272,-0.0109489488550734
S1D1,Y,std,0.0172775727272645,0.0471080964474303,0.0467144816382724,0.0458840432651002
S1D2,Y,mean,0.7987982659542292,0.0139719633752354,-0.0152256031025793,0.0171100781596714
S1D2,Y,std,0.0195087415446761,0.030030016782235,0.1118474229526888,0.0955881381502964
S1D3,Y,mean,0.7919401197604791,-0.0172618363263621,0.0995244940237853,0.0480735546098075
S1D3,Y,std,0.0269347598555564,0.1820294594025887,0.2270459453764705,0.3504635529366816
S1D4,Y,mean,0.7965090180360722,-0.0240522452450452,0.0778425189213871,-0.079555583673097
S1D4,Y,std,0.0136257911116482,0.2950148308813802,0.2117328845147819,0.2525443615802498
S1D5,Y,mean,0.8043387980780838,0.0255449508546606,0.0714547553601521,-0.0351831916999421
S1D5,Y,std,0.0138473546671422,0.37321563313799,0.3629692818838253,0.3434901717111562
S1D6,Y,mean,0.7985189361978321,-0.2638574928635028,0.2034534534534534,-0.2269511695589773
S1D6,Y,std,0.0136022884806442,0.3703927794961005,0.0265430473418373,0.0260257276137452
S1E0,Y,mean,0.7999,-0.0186222941618568,0.0103182201952117,-0.0137566223904858
S1E0,Y,std,0.0098482937044388,0.0257367286157033,0.0370758103952528,0.0446764860339808
S1E1,Y,mean,0.7988999999999999,-0.04646601245263,0.0054170011639081,7.09304222271695e-05
S1E1,Y,std,0.014433371824429,0.0320850193870943,0.0294494746447199,0.0449044829319431
S1E10,Y,mean,0.8676999999999999,-0.606044297901816,-0.1547250827349635,0.1660896265137467
S1E10,Y,std,0.0128413394939936,0.0370668835523658,0.0458905450926056,0.0317007390294938
S1E11,Y,mean,0.8774999999999998,-0.6612620094706982,-0.1775638294942034,0.1837062417733476
S1E11,Y,std,0.0108857705285386,0.0271138551450625,0.0411483499802546,0.0452741467769749
S1E2,Y,mean,0.8019999999999999,-0.0896410534102899,-0.0181632115234626,0.0253723841094647
S1E2,Y,std,0.0110955446513954,0.0317646674040162,0.019522576105664,0.0510171986029521
S1E3,Y,mean,0.8123999999999999,-0.1301798239124413,-0.0310375714108468,0.0386842838668935
S1E3,Y,std,0.0092999402626515,0.0327971173751009,0.0248326316606265,0.0458509731947488
S1E4,Y,mean,0.8166,-0.1796462859797035,-0.0443894473404397,0.0415793320518353
S1E4,Y,std,0.0111674129103884,0.033989004018444,0.0376628911879768,0.0453006695551106
S1E5,Y,mean,0.8190000000000002,-0.2627459751940602,-0.0566513417763892,0.0530554247543946
S1E5,Y,std,0.015165750888103,0.0375406810682563,0.0443813270857856,0.0467050279343672
S1E6,Y,mean,0.8313999999999998,-0.3442894879359436,-0.0834483668710761,0.0836955186495476
S1E6,Y,std,0.0166946431860974,0.0339642865524968,0.051060704918803,0.0355823414163923
S1E7,Y,mean,0.8379,-0.425330869692521,-0.0859864346399526,0.0811938948060653
S1E7,Y,std,0.0121055542807607,0.0388717654827045,0.0479297435923875,0.0220066328205275
S1E8,Y,mean,0.843,-0.4858649250972382,-0.1115728832127413,0.115221919594897
S1E8,Y,std,0.0115373788665845,0.0391283834968918,0.0463478648931074,0.0258821758826423
S1E9,Y,mean,0.8523,-0.5456409681795382,-0.1291706131308002,0.1355860585274955
S1E9,Y,std,0.0173079942993596,0.0372488143380669,0.0561508046094289,0.0382075941517443
S1F0,Y,mean,0.7808306804947035,-0.075341204142691,-0.0743105255184947,0.0568393079254305
S1F0,Y,std,0.0123135537403824,0.0219963874940716,0.0300386922400761,0.033798610593589
S1F1,Y,mean,0.7734805931506544,-0.1825692206016909,-0.198735318965216,0.1946766250374237
S1F1,Y,std,0.0084270912271333,0.0461795529516863,0.0533100809734847,0.0374904441513125
S1F2,Y,mean,0.7854514313940253,-0.2857594282479893,-0.2945983759993774,0.2902512620247456
