Dataset,Att,Measure,Acc,SP,EO,PP
S1A,Y,mean,0.8447999999999999,-0.0052853149210645,-0.0090806541298723,0.0148284520001059
S1A,Y,std,0.0100752722599,0.0239533381899008,0.0391256099497381,0.0311187955174006
S1B0,Y,mean,0.7923000000000001,0.0082765954705735,0.0291975489455535,-8.257567042832259e-05
S1B0,Y,std,0.0102637441727882,0.0284870665161979,0.0419358887696678,0.0606138063021366
S1B1,Y,mean,0.7923000000000001,0.0082765954705735,0.0291975489455535,-8.257567042832259e-05
S1B1,Y,std,0.0102637441727882,0.0284870665161979,0.0419358887696678,0.0606138063021366
S1B10,Y,mean,0.7922,0.0080708341537011,0.0291975489455535,-0.0005521889300968
S1B10,Y,std,0.0102285004874723,0.028300658937747,0.0419358887696678,0.0600485149694889
S1B11,Y,mean,0.7922,0.007672765144521,0.028753104501109,-0.0008707939794999
S1B11,Y,std,0.0104328540890997,0.0284128112332588,0.0421079143981485,0.0609111040430596
S1B2,Y,mean,0.7923000000000001,0.0082765954705735,0.0291975489455535,-8.257567042832259e-05
S1B2,Y,std,0.0102637441727882,0.0284870665161979,0.0419358887696678,0.0606138063021366
S1B3,Y,mean,0.7923000000000001,0.0082765954705735,0.0291975489455535,-8.257567042832259e-05
S1B3,Y,std,0.0102637441727882,0.0284870665161979,0.0419358887696678,0.0606138063021366
S1B4,Y,mean,0.7923000000000001,0.0082765954705735,0.0291975489455535,-8.257567042832259e-05
S1B4,Y,std,0.0102637441727882,0.0284870665161979,0.0419358887696678,0.0606138063021366
S1B5,Y,mean,0.7923000000000001,0.0082765954705735,0.0291975489455535,-8.257567042832259e-05
S1B5,Y,std,0.0102637441727882,0.0284870665161979,0.0419358887696678,0.0606138063021366
S1B6,Y,mean,0.7923000000000001,0.0082765954705735,0.0291975489455535,-8.257567042832259e-05
S1B6,Y,std,0.0102637441727882,0.0284870665161979,0.0419358887696678,0.0606138063021366
S1B7,Y,mean,0.7923000000000001,0.0082765954705735,0.0291975489455535,-8.257567042832259e-05
S1B7,Y,std,0.0102637441727882,0.0284870665161979,0.0419358887696678,0.0606138063021366
S1B8,Y,mean,0.7924,0.0080842877782658,0.028753104501109,7.154114732935146e-06
S1B8,Y,std,0.0104371132662884,0.0285531577326226,0.0421079143981485,0.0607289573676858
S1B9,Y,mean,0.7923000000000001,0.0082765954705735,0.0291975489455535,-8.257567042832259e-05
S1B9,Y,std,0.0102637441727882,0.0284870665161979,0.0419358887696678,0.0606138063021366
S1C,Y,mean,0.6072,0.0956821317164749,0.0847516693566844,0.0315400128775033
S1C,Y,std,0.0273243887803958,0.2343284638561605,0.2367992453013746,0.1022343001222556
S1D0,Y,mean,0.8445657854233332,0.0199226102515344,0.0244090522758272,0.0171315229563656
S1D0,Y,std,0.0139435673968212,0.028942163538225,0.0423194749260971,0.0376849235316813
S1D1,Y,mean,0.845834788808552,0.0163233835624426,0.0132693104459648,0.0162096009484891
S1D1,Y,std,0.0204789931116173,0.059824891112776,0.0713690637621276,0.0656369062253805
S1D2,Y,mean,0.8433252680041671,-0.0030941955660263,-0.0443435375683569,0.0062612816386159
S1D2,Y,std,0.0182393566591154,0.0668157396988056,0.0919971226581322,0.1018418970681362
S1D3,Y,mean,0.8445017964071857,-0.0699647358923161,-0.0623323200651587,-0.0398710035928555
S1D3,Y,std,0.0185448011327724,0.2630852918896855,0.3854268694928036,0.2391785472915341
S1D4,Y,mean,0.8465791583166332,-0.0988400985846994,-0.1107967396712508,-0.0349390252824933
S1D4,Y,std,0.0132016538091373,0.3041636643780258,0.3509448659976264,0.215629776152969
S1D5,Y,mean,0.8432692694626199,-0.0487206177935615,-0.0898367746773871,-0.0414193586496369
S1D5,Y,std,0.0097714673840991,0.3973284841175544,0.4029891522291235,0.205390311171362
S1D6,Y,mean,0.8438084150061661,-0.2486079288081082,-0.0417156286721503,-0.1415337877963765
S1D6,Y,std,0.0162486344080587,0.3511262107930449,0.3201783936747547,0.0273889426652
S1E0,Y,mean,0.8452,-0.0146698973396154,-0.0074785000828341,0.0095472730034671
S1E0,Y,std,0.0106437253294553,0.0224037270104533,0.0346139176050998,0.0346306167590391
S1E1,Y,mean,0.8476000000000001,-0.0513995418373057,-0.0180180742849258,0.0052003653917528
S1E1,Y,std,0.0128944432476422,0.0219423025875303,0.0245323815154079,0.0291197490624877
S1E10,Y,mean,0.8982000000000001,-0.62947757024447,-0.1752627799925761,0.063291966003309
S1E10,Y,std,0.0121728294893906,0.0305727329893174,0.0527409959950723,0.0394645871161079
S1E11,Y,mean,0.9036,-0.6871101988747742,-0.2039057048278144,0.0886698855730316
S1E11,Y,std,0.0117586847337049,0.0215706976093256,0.0582025383192858,0.0243710817014268
S1E2,Y,mean,0.8488999999999999,-0.0888283751247989,-0.0274649621818996,0.0203258380560023
S1E2,Y,std,0.0164279572003879,0.0201437053703148,0.013370932111798,0.0363465327899775
S1E3,Y,mean,0.8532,-0.1309371656778799,-0.0331394430137614,0.0161675402909087
S1E3,Y,std,0.0158871016865884,0.0248195395793628,0.0280139627519874,0.0326380947148994
S1E4,Y,mean,0.8534,-0.1806355463461673,-0.0509021645563933,0.0155219973655318
S1E4,Y,std,0.0112269516986778,0.0271940622952489,0.0336414319070909,0.0327297147421749
S1E5,Y,mean,0.8583999999999999,-0.2682231740752675,-0.0567814248613748,0.0095906471557557
S1E5,Y,std,0.0107206964947867,0.025845452598505,0.0418650700630127,0.0321132425596981
S1E6,Y,mean,0.8654999999999999,-0.3536977749392835,-0.0935763625929121,0.0366690446950325
S1E6,Y,std,0.0110176625873589,0.0256519495312798,0.0510626186446114,0.0272088725442057
S1E7,Y,mean,0.8723000000000001,-0.4447825252031515,-0.1324633763713978,0.0312209221747879
S1E7,Y,std,0.0144302922123335,0.0342479955698654,0.0438264047085679,0.0294719801552836
S1E8,Y,mean,0.8788,-0.5090661526003436,-0.1490804307653627,0.0467617309707827
S1E8,Y,std,0.012488216668346,0.02752037196767,0.0370369292989685,0.0298306155192767
S1E9,Y,mean,0.8881,-0.5659730578680471,-0.1645935132499658,0.0626207780463634
S1E9,Y,std,0.0135519576281641,0.0336876258618778,0.0545573151512846,0.0280765169159882
S1F0,Y,mean,0.8338097720592315,-0.0623307605308638,-0.0582981001235574,0.057671458532492
S1F0,Y,std,0.0130588565732145,0.0245962737509226,0.0281536207791379,0.0453260561989617
S1F1,Y,mean,0.8219234060048448,-0.1967054172435126,-0.1920823244028592,0.1374162092294878
S1F1,Y,std,0.0151818743173101,0.043823831320229,0.0485516662875586,0.0488888561159972
S1F2,Y,mean,0.8297210231299529,-0.3224386890420005,-0.3325603700290018,0.1836356937759177
S1F2,Y,std,0.0096786271369652,0.0454651540020827,0.0828468457643227,0.0632452282398426
S1F3,Y,mean,0.8487656772625263,-0.4075922594244012,-0.4769954616963929,0.2690050675894076
S1F3,Y,std,0.0158713419634919,0.0306743388864902,0.102743032572833,0.1419450773213303
S2A0,Y,mean,0.8452,-0.0146698973396154,-0.0074785000828341,0.0095472730034671
S2A0,Y,std,0.0106437253294553,0.0224037270104533,0.0346139176050998,0.0346306167590391
S2A1,Y,mean,0.8476000000000001,-0.0513995418373057,-0.0180180742849258,0.0052003653917528
S2A1,Y,std,0.0128944432476422,0.0219423025875303,0.0245323815154079,0.0291197490624877
S2A10,Y,mean,0.8982000000000001,-0.62947757024447,-0.1752627799925761,0.063291966003309
S2A10,Y,std,0.0121728294893906,0.0305727329893174,0.0527409959950723,0.0394645871161079
S2A11,Y,mean,0.9036,-0.6871101988747742,-0.2039057048278144,0.0886698855730316
S2A11,Y,std,0.0117586847337049,0.0215706976093256,0.0582025383192858,0.0243710817014268
S2A2,Y,mean,0.8488999999999999,-0.0888283751247989,-0.0274649621818996,0.0203258380560023
S2A2,Y,std,0.0164279572003879,0.0201437053703148,0.013370932111798,0.0363465327899775
S2A3,Y,mean,0.8532,-0.1309371656778799,-0.0331394430137614,0.0161675402909087
S2A3,Y,std,0.0158871016865884,0.0248195395793628,0.0280139627519874,0.0326380947148994
S2A4,Y,mean,0.8534,-0.1806355463461673,-0.0509021645563933,0.0155219973655318
S2A4,Y,std,0.0112269516986778,0.0271940622952489,0.0336414319070909,0.0327297147421749
S2A5,Y,mean,0.8583999999999999,-0.2682231740752675,-0.0567814248613748,0.0095906471557557
S2A5,Y,std,0.0107206964947867,0.025845452598505,0.0418650700630127,0.0321132425596981
S2A6,Y,mean,0.8654999999999999,-0.3536977749392835,-0.0935763625929121,0.0366690446950325
S2A6,Y,std,0.0110176625873589,0.0256519495312798,0.0510626186446114,0.0272088725442057
S2A7,Y,mean,0.8723000000000001,-0.4447825252031515,-0.1324633763713978,0.0312209221747879
S2A7,Y,std,0.0144302922123335,0.0342479955698654,0.0438264047085679,0.0294719801552836
S2A8,Y,mean,0.8788,-0.5090661526003436,-0.1490804307653627,0.0467617309707827
S2A8,Y,std,0.012488216668346,0.02752037196767,0.0370369292989685,0.0298306155192767
S2A9,Y,mean,0.8881,-0.5659730578680471,-0.1645935132499658,0.0626207780463634
S2A9,Y,std,0.0135519576281641,0.0336876258618778,0.0545573151512846,0.0280765169159882
S2B0_0,Y,mean,0.7912,0.0011459457084759,0.0243771829776586,0.0060582834929535
S2B0_0,Y,std,0.0113998050665595,0.0270411274079627,0.0380469124909111,0.0628652544189755
S2B0_1,Y,mean,0.7912,0.0011459457084759,0.0243771829776586,0.0060582834929535
S2B0_1,Y,std,0.0113998050665595,0.0270411274079627,0.0380469124909111,0.0628652544189755
S2B0_2,Y,mean,0.7912,0.0011459457084759,0.0243771829776586,0.0060582834929535
S2B0_2,Y,std,0.0113998050665595,0.0270411274079627,0.0380469124909111,0.0628652544189755
S2B0_3,Y,mean,0.7912000000000001,0.0007512088663706,0.0239385864864306,0.0056268220497023
S2B0_3,Y,std,0.0117075474232081,0.0267562829425375,0.038130316513761,0.0623917830608888
S2B0_4,Y,mean,0.7911,0.0005421153824233,0.0239385864864306,0.0052147060652963
S2B0_4,Y,std,0.0115031396680307,0.0266513931495824,0.038130316513761,0.0619991465790959
S2B1_0,Y,mean,0.7947,-0.1528316880874308,-0.064983992047614,0.0003283764482127
S2B1_0,Y,std,0.0134664191396393,0.0168138166659634,0.0313244903295253,0.0415498933120486
S2B1_1,Y,mean,0.7947,-0.1528316880874308,-0.064983992047614,0.0003283764482127
S2B1_1,Y,std,0.0134664191396393,0.0168138166659634,0.0313244903295253,0.0415498933120486
S2B1_2,Y,mean,0.7947,-0.1528316880874308,-0.064983992047614,0.0003283764482127
S2B1_2,Y,std,0.0134664191396393,0.0168138166659634,0.0313244903295253,0.0415498933120486
S2B1_3,Y,mean,0.7947,-0.1528316880874308,-0.064983992047614,0.0003283764482127
S2B1_3,Y,std,0.0134664191396393,0.0168138166659634,0.0313244903295253,0.0415498933120486
S2B1_4,Y,mean,0.7945,-0.1536250140136069,-0.0663692137224909,0.0002980251660619
S2B1_4,Y,std,0.0137457064003434,0.0161310596338873,0.0305700842569084,0.0419858050402793
S2B2_0,Y,mean,0.8101,-0.2955978758725741,-0.1275926299377215,0.0042330781503213
S2B2_0,Y,std,0.0102788888288352,0.0256599023875489,0.0299694055823867,0.0394146031832487
S2B2_1,Y,mean,0.8101,-0.2955978758725741,-0.1275926299377215,0.0042330781503213
S2B2_1,Y,std,0.0102788888288352,0.0256599023875489,0.0299694055823867,0.0394146031832487
S2B2_2,Y,mean,0.8101,-0.2955978758725741,-0.1275926299377215,0.0042330781503213
S2B2_2,Y,std,0.0102788888288352,0.0256599023875489,0.0299694055823867,0.0394146031832487
S2B2_3,Y,mean,0.8103,-0.2960102487596944,-0.1283267750964046,0.0043924069805398
S2B2_3,Y,std,0.0101000550053507,0.0256471749655073,0.0293331526541897,0.039289104605566
S2B2_4,Y,mean,0.8098000000000001,-0.2974054518089726,-0.1311086846505781,0.004415414918535
S2B2_4,Y,std,0.0100421334607962,0.0253231416056836,0.030458724563968,0.0400211324018468
S2B3_0,Y,mean,0.8369,-0.544591470629719,-0.2426291888639649,0.0573320267463124
S2B3_0,Y,std,0.0127231198130717,0.0233895341673898,0.0440535793098297,0.0548476469029527
