Dataset,Att,Measure,Acc,SP,EO,PP
S1A,Y,mean,0.8564,-0.0096022168234185,-0.0087573087138685,0.0057997228379319
S1A,Y,std,0.0094539821121989,0.0225724408298439,0.0427332768743826,0.0422898866602896
S1B0,Y,mean,0.8073,-0.0107388369101956,0.0063219347543875,-0.0119867055193118
S1B0,Y,std,0.0096153811965805,0.025003030917313,0.029186699984221,0.0498672129619343
S1B1,Y,mean,0.8073,-0.0107388369101956,0.0063219347543875,-0.0119867055193118
S1B1,Y,std,0.0096153811965805,0.025003030917313,0.029186699984221,0.0498672129619343
S1B10,Y,mean,0.8072000000000001,-0.0129281931501436,0.0041856900644697,-0.0139405196818627
S1B10,Y,std,0.0098747714460189,0.0245342371593372,0.0290673674936273,0.0478031818154392
S1B11,Y,mean,0.8072000000000001,-0.0129281931501436,0.0041856900644697,-0.0139405196818627
S1B11,Y,std,0.0098747714460189,0.0245342371593372,0.0290673674936273,0.0478031818154392
S1B2,Y,mean,0.8070999999999999,-0.0111302398330793,0.0058871521456919,-0.0122953042145326
S1B2,Y,std,0.009515484456634,0.0247239327892936,0.0281342712407949,0.0490205540255695
S1B3,Y,mean,0.8070999999999999,-0.0111302398330793,0.0058871521456919,-0.0122953042145326
S1B3,Y,std,0.009515484456634,0.0247239327892936,0.0281342712407949,0.0490205540255695
S1B4,Y,mean,0.8070999999999999,-0.0111302398330793,0.0058871521456919,-0.0122953042145326
S1B4,Y,std,0.009515484456634,0.0247239327892936,0.0281342712407949,0.0490205540255695
S1B5,Y,mean,0.8070999999999999,-0.0111302398330793,0.0058871521456919,-0.0122953042145326
S1B5,Y,std,0.009515484456634,0.0247239327892936,0.0281342712407949,0.0490205540255695
S1B6,Y,mean,0.807,-0.0117216918892439,0.0046041001063107,-0.0120631969997918
S1B6,Y,std,0.0096953597148326,0.0245810480686671,0.0292839081211429,0.0490445406060921
S1B7,Y,mean,0.8071999999999999,-0.0121308284354286,0.0046041001063107,-0.0128966319514467
S1B7,Y,std,0.0099084700018608,0.0247794398336037,0.0292839081211429,0.049175140874062
S1B8,Y,mean,0.8071999999999999,-0.0121308284354286,0.0046041001063107,-0.0128966319514467
S1B8,Y,std,0.0099084700018608,0.0247794398336037,0.0292839081211429,0.049175140874062
S1B9,Y,mean,0.8070999999999999,-0.0127336406209608,0.0041856900644697,-0.0135908693322123
S1B9,Y,std,0.0099716264136465,0.0246197346535134,0.0290673674936273,0.0481496570107876
S1C,Y,mean,0.6211,0.0175081443026308,0.0223530436215138,0.0100612396605304
S1C,Y,std,0.0083059550256962,0.0328345264493933,0.0463072444919478,0.0467196102679082
