accuracies,acc_m,statistical_parity_difference,disparate_impact,equal_opportunity_difference,average_odds_difference,average_predictive_value_difference,false_discovery_rate_difference,FN-TN,FP-TP,seed
0.712,0.712,-0.18253968253968256,0.7996515679442509,-0.07346600331674957,-0.22238517557141824,-0.1619904540763674,0.004901960784313708,0,0,1
0.688,0.688,-0.09488429688104638,0.8916482545293858,-0.09408602150537626,-0.06956279164130652,-0.0497456526212893,0.12790039615166948,0,0,1
0.716,0.716,-0.13850174216027866,0.831389183457052,-0.022624434389140302,-0.15392681821324586,-0.1838071348940914,0.047101449275362306,0,0,1
0.656,0.656,-0.04714373464373456,0.945051011276177,0.03484320557491294,-0.05392273683518506,-0.2147808262377799,0.07527593818984546,0,0,1
0.696,0.696,-0.22286821705426363,0.7494553376906318,-0.20950226244343884,-0.2132167396873279,-0.04374718848403064,0.0854700854700855,0,0,1
0.652,0.652,-0.23714458560193585,0.70941438102298,-0.3129186602870814,-0.2040783777625883,0.17635643405889884,-0.008962868117797729,0,0,1
0.66,0.66,-0.10367089557841003,0.8771570894858566,-0.14219972388403135,-0.07609986194201568,0.04446447168148682,0.0555155010814708,0,0,1
0.712,0.712,-0.14490161001788915,0.8269230769230769,-0.04261232051875874,-0.17686171581493493,-0.10912698412698407,-0.013888888888888895,0,0,1
0.768,0.768,-0.10992671552298472,0.8771407297096053,0.01723592662871598,-0.14221790294704018,-0.12281256588656969,-0.025616698292220103,0,0,1
0.724,0.724,-0.10481223476659463,0.8799302880205466,-0.0334198572355614,-0.12771825424220257,-0.1006615974911994,0.011105803678051113,0,0,1
