accuracies,acc_m,statistical_parity_difference,disparate_impact,equal_opportunity_difference,average_odds_difference,average_predictive_value_difference,false_discovery_rate_difference,FN-TN,FP-TP,seed
0.692,0.692,-0.09515881147540983,0.7611700417872067,-0.027272727272727226,-0.04212400502723081,-0.10320305026187376,0.07684154742978272,0,0,1
0.68,0.68,0.087369298864584,1.2384453781512605,-0.033975659229208865,0.09958776237082362,-0.09187068787972397,0.24305555555555555,0,0,1
0.676,0.676,-0.1603562047536678,0.6433456825306354,-0.1268939393939394,-0.12411233173219474,-0.05400591197546145,0.032512315270935954,0,0,1
0.66,0.66,-0.15851449275362317,0.6634615384615384,-0.2516417910447762,-0.1537627401384717,-0.008527089349007144,0.09230769230769231,0,0,1
0.636,0.636,0.0052753474009264445,1.0130200063512227,0.0027045300878971723,0.006514208363786633,-0.009072954157791219,0.013926499032882012,0,0,1
0.668,0.668,-0.0791583809096158,0.7926050420168066,-0.0727272727272727,-0.06593094405594405,-0.009375278893351158,-0.0022222222222222365,0,0,1
0.64,0.64,-0.08142884578452086,0.8358497870692992,-0.1360544217687074,-0.06317079196543479,-0.0827716503267974,0.1568627450980392,0,0,1
0.712,0.712,-0.04378531073446329,0.8949152542372881,0.005114083398898517,0.005154444296851857,-0.10709020709020707,0.11818181818181822,0,0,1
0.664,0.664,0.03750640040962622,1.1152635719905586,0.03623839472896079,0.058472427858555956,-0.09694511539307499,0.13387533875338753,0,0,1
0.68,0.68,-0.044781856621180116,0.870985603543743,0.04194078947368418,-0.013020833333333343,-0.043292993925905326,-0.031135531135531136,0,0,1
