accuracies,acc_m,statistical_parity_difference,disparate_impact,equal_opportunity_difference,average_odds_difference,average_predictive_value_difference,false_discovery_rate_difference,classifier,seed
0.614,0.614,-0.010290634402407017,0.9792553877919732,-0.018366013071895337,-0.005612629621931181,-0.02622264838196542,0.04047951119080828,DT,1
0.623,0.623,0.0400201600806403,1.082510700413172,0.042232277526395134,0.040758995906054724,-0.012168937445206474,0.01064932617095471,DT,1
0.633,0.633,0.01990360442586986,1.040473438288589,-0.022162162162162158,0.020558847617671128,-0.024234402872876343,0.06753424439600997,DT,1
0.627,0.627,-0.04248511279038569,0.9148534876441647,-0.04488476300315736,-0.032580312536061445,-0.03329504448844839,0.04631127364793586,DT,1
0.624,0.624,0.024915533778482324,1.0528775083683075,0.022037510656436443,0.018523000658355077,0.02181440971946924,-0.026697491223563685,DT,1
0.628,0.628,0.021558075469280513,1.0463738156761413,0.05850494363624914,0.01583377556573401,0.04081756007787726,-0.08511730854360339,DT,1
0.624,0.624,-0.022274780994001098,0.9569471624266145,-0.0156440781440782,-0.012481463817547056,-0.034576930726953864,0.03952569169960474,DT,1
0.604,0.604,0.03990384615384612,1.0791984732824427,0.07132616487455201,0.05337321733869421,-0.05464083160664754,0.0400982714749496,DT,1
0.617,0.617,0.039765726264582135,1.0811746643582791,0.03429861264038758,0.03703750997539923,0.0014731623499282809,0.000555075860367571,DT,1
0.617,0.617,0.06406502504040068,1.134563358034649,0.09618794326241142,0.06250909226529683,-0.0018264172958058766,-0.03272619806815885,DT,1
0.614,0.614,-0.010290634402407017,0.9792553877919732,-0.018366013071895337,-0.005612629621931181,-0.02622264838196542,0.04047951119080828,LR,1
0.623,0.623,0.0400201600806403,1.082510700413172,0.042232277526395134,0.040758995906054724,-0.012168937445206474,0.01064932617095471,LR,1
0.633,0.633,0.01990360442586986,1.040473438288589,-0.022162162162162158,0.020558847617671128,-0.024234402872876343,0.06753424439600997,LR,1
0.627,0.627,-0.04248511279038569,0.9148534876441647,-0.04488476300315736,-0.032580312536061445,-0.03329504448844839,0.04631127364793586,LR,1
0.624,0.624,0.024915533778482324,1.0528775083683075,0.022037510656436443,0.018523000658355077,0.02181440971946924,-0.026697491223563685,LR,1
0.628,0.628,0.021558075469280513,1.0463738156761413,0.05850494363624914,0.01583377556573401,0.04081756007787726,-0.08511730854360339,LR,1
0.624,0.624,-0.022274780994001098,0.9569471624266145,-0.0156440781440782,-0.012481463817547056,-0.034576930726953864,0.03952569169960474,LR,1
0.604,0.604,0.03990384615384612,1.0791984732824427,0.07132616487455201,0.05337321733869421,-0.05464083160664754,0.0400982714749496,LR,1
0.617,0.617,0.039765726264582135,1.0811746643582791,0.03429861264038758,0.03703750997539923,0.0014731623499282809,0.000555075860367571,LR,1
0.617,0.617,0.06406502504040068,1.134563358034649,0.09618794326241142,0.06250909226529683,-0.0018264172958058766,-0.03272619806815885,LR,1
0.547,0.547,0.3901158696626337,1.7864240547167378,0.3002614379084968,0.38286776253493154,-0.10096549848915101,0.12771224697830197,KN,1
0.62,0.62,-0.3507614030456122,0.2768252554491699,-0.4098225169941528,-0.35669697278279067,0.10501701226854532,-0.1335913027455316,KN,1
0.633,0.633,0.01990360442586986,1.040473438288589,-0.022162162162162158,0.020558847617671128,-0.024234402872876343,0.06753424439600997,KN,1
0.627,0.627,-0.04248511279038569,0.9148534876441647,-0.04488476300315736,-0.032580312536061445,-0.03329504448844839,0.04631127364793586,KN,1
0.572,0.572,0.4023474403932683,1.8538902010092944,0.3307331628303495,0.3894201225199595,-0.08497415534238284,0.06255531457581626,KN,1
0.628,0.628,0.021558075469280513,1.0463738156761413,0.05850494363624914,0.01583377556573401,0.04081756007787726,-0.08511730854360339,KN,1
0.607,0.607,0.37240824559086594,4.035127201565557,0.43307387057387053,0.3844265301492704,-0.1700682448660204,0.222068511198946,KN,1
0.604,0.604,0.03990384615384612,1.0791984732824427,0.07132616487455201,0.05337321733869421,-0.05464083160664754,0.0400982714749496,KN,1
0.617,0.617,0.039765726264582135,1.0811746643582791,0.03429861264038758,0.03703750997539923,0.0014731623499282809,0.000555075860367571,KN,1
0.617,0.617,0.06406502504040068,1.134563358034649,0.09618794326241142,0.06250909226529683,-0.0018264172958058766,-0.03272619806815885,KN,1
