accuracies,acc_m,statistical_parity_difference,disparate_impact,equal_opportunity_difference,average_odds_difference,average_predictive_value_difference,false_discovery_rate_difference,classifier,seed
0.807,0.807,-0.013539466103322462,0.9704804773369622,0.028321186549034705,0.026084181898158684,-0.05652342718719344,0.06312344445097692,DT,1
0.791,0.791,-0.0441561766247065,0.9085857665744712,0.027466600282134213,-0.00834873894829645,-0.026356929983953614,-0.005490773236725921,DT,1
0.808,0.808,-0.031280523930761694,0.9330293628618934,0.05711860295901039,0.0032872006260089848,-0.022944208259603985,-0.028123033354310906,DT,1
0.812,0.812,-0.0879536744476615,0.8184545950503397,0.012181658989683597,-0.03662041183300031,-0.016191721231392106,-0.038670002084636224,DT,1
0.805,0.805,-0.011152743751100869,0.9754740567283483,0.026767676767676774,0.0019703841132412553,-0.007323815561738334,-0.016134793998571095,DT,1
0.773,0.773,-0.0559613043756807,0.8796210163652024,-0.01442866633449591,-0.04470605544324001,0.020661195952937098,-0.05695629278567668,DT,1
0.797,0.797,-0.03643363387879739,0.9245082755646953,-0.01821079896393707,0.007206892876835458,-0.05860146941553264,0.09002378828426999,DT,1
0.82,0.82,-0.10881410256410257,0.7798313878080415,-0.02290039992382409,-0.05106870569831723,-0.011515679582659706,-0.014218109159743392,DT,1
0.781,0.781,-0.05697620457345853,0.8827239789196312,-0.03628079962807995,-0.03523620610808785,-0.007151275434945023,0.00585637480798773,DT,1
0.795,0.795,-0.01839229427670841,0.9600305985848155,-0.005865049058120686,-0.008685418644711895,-0.005049520550330269,0.0012987012987012714,DT,1
0.856,0.856,-0.06473657256257598,0.8551269653665701,-0.024805012146784322,-0.02042268831603091,-0.018246274945954544,0.018605305089511665,LR,1
0.856,0.856,-0.0702562810251241,0.8508542508746306,-0.003236245954692629,-0.02890909458706624,-0.0006920707870708698,-0.028728813559322053,LR,1
0.852,0.852,-0.05373012441754338,0.8807632855391503,0.004042363974452345,-0.01867022823906777,-0.0049867466685591805,-0.02256244963738918,LR,1
0.856,0.856,-0.06378974094052725,0.8642711679547371,-0.02253606913091477,-0.01019697124142964,-0.03315523151882613,0.04296203062722888,LR,1
0.86,0.86,-0.055227298201790176,0.8751606189485115,-0.019528619528619506,-0.040867862296433716,0.028913396865316424,-0.06154025943671848,LR,1
0.84,0.84,-0.0562335831891857,0.8716176685680854,-0.0887933898023584,-0.05135635054786047,0.01950629959430812,0.006776170864859682,LR,1
0.855,0.855,-0.051472912889838685,0.890086225313838,0.013827455668459887,0.004375521854163497,-0.04070771536416788,0.0339709289214179,LR,1
0.88,0.88,-0.07131410256410253,0.8394660894660896,-0.023090839840030464,-0.011172320395717125,-0.032113490205956934,0.046385644151007266,LR,1
0.85,0.85,-0.014466083115968698,0.9673687440215135,-0.01589958158995808,0.010827684607993535,-0.03260426439297616,0.06091787134650592,LR,1
0.861,0.861,-0.026504424070785126,0.9411273412233003,-0.020591620836454716,-0.01520061203525705,0.0027152181932520586,-0.0006710564945686393,LR,1
0.856,0.856,-0.06124767940592796,0.8572760498247184,-0.03739930955120829,-0.01905108686135358,-0.0229539787909296,0.03543007755081351,KN,1
0.844,0.844,-0.0663682654730619,0.8495452443348235,-0.009044892540038152,-0.027569575924503868,-0.003455368161250527,-0.023858494446729744,KN,1
0.847,0.847,-0.03820595346751854,0.9080787456177525,0.02025224351200583,-0.003733403731429545,-0.014181661945234736,-0.014902521179953054,KN,1
0.855,0.855,-0.06714161570775817,0.8448354048476211,0.008032281396322616,-0.011731945208027367,-0.022434858615906772,-0.009518746360851635,KN,1
0.85,0.85,-0.026308625962754795,0.9360700389105059,0.013131313131313105,-0.011877276162990467,0.008262665604437766,-0.03878787878787879,KN,1
0.827,0.827,-0.025241847651995608,0.9379844961240311,-0.0422064441122737,-0.019052893494168534,-0.0014742507751605294,0.02030456852791876,KN,1
0.843,0.843,-0.05859636063854906,0.8703456092658349,-0.01763299462044232,-0.007015832858393918,-0.039047301080352134,0.04788275815492671,KN,1
0.875,0.875,-0.09455128205128205,0.7852983988355168,-0.039849552466196925,-0.03466220744287367,-0.01161632411270029,0.007549850055242807,KN,1
0.843,0.843,-0.035677137507801104,0.9152667984189724,-0.03576011157601111,-0.011013821749906332,-0.018019219526454244,0.037500000000000006,KN,1
0.836,0.836,-0.0406566505064081,0.9072289156626506,-0.039703276022729383,-0.030459861681626323,0.011145497528476253,-0.009595959595959574,KN,1
