accuracies,acc_m,statistical_parity_difference,disparate_impact,equal_opportunity_difference,average_odds_difference,average_predictive_value_difference,false_discovery_rate_difference,classifier,seed
0.638,0.638,-0.3680142116381794,0.258130081300813,-0.40549315549315545,-0.3487800788395572,-0.06187323960761462,0.055555555555555525,DT,1
0.645,0.645,-0.3507614030456122,0.2768252554491699,-0.4100324778200254,-0.3286373485916704,-0.04857035701481113,0.06295682083410109,DT,1
0.666,0.666,-0.37503802981537526,0.23737036614948798,-0.4440600949729818,-0.3533027458402804,0.007635884386624353,-0.017991631799163188,DT,1
0.655,0.655,-0.3732394648213334,0.2519723588850454,-0.41767788196359623,-0.3442138853520696,-0.03652150910548976,0.023108841366102806,DT,1
0.634,0.634,-0.3466797969608173,0.26425160994341834,-0.3937244788308618,-0.33617839252451354,-0.0024462030633763676,-0.013646288209607005,DT,1
0.629,0.629,-0.3330930873214171,0.28347975882859605,-0.34128614664104095,-0.31687789113428566,-0.021209584058848763,-0.02653594771241835,DT,1
0.626,0.626,-0.3901808475302046,0.24585599034675867,-0.4695263700499302,-0.3745050328510521,-0.10083453166454115,0.15986622073578594,DT,1
0.651,0.651,-0.3684294871794872,0.268765903307888,-0.33239506172839506,-0.3387342184952248,0.0006018091127568681,-0.10058719906048147,DT,1
0.634,0.634,-0.3614200444864061,0.262225198445105,-0.39719989629245533,-0.33773491427441943,-0.02888482369001849,0.007883026064844256,DT,1
0.623,0.623,-0.3556136898190371,0.25306245904118563,-0.3870580434743652,-0.3368552383314548,0.00306191127603328,-0.04309623430962345,DT,1
0.638,0.638,-0.3680142116381794,0.258130081300813,-0.40549315549315545,-0.3487800788395572,-0.06187323960761462,0.055555555555555525,LR,1
0.645,0.645,-0.3507614030456122,0.2768252554491699,-0.4100324778200254,-0.3286373485916704,-0.04857035701481113,0.06295682083410109,LR,1
0.666,0.666,-0.37503802981537526,0.23737036614948798,-0.4440600949729818,-0.3533027458402804,0.007635884386624353,-0.017991631799163188,LR,1
0.655,0.655,-0.3732394648213334,0.2519723588850454,-0.41767788196359623,-0.3442138853520696,-0.03652150910548976,0.023108841366102806,LR,1
0.634,0.634,-0.3466797969608173,0.26425160994341834,-0.3937244788308618,-0.33617839252451354,-0.0024462030633763676,-0.013646288209607005,LR,1
0.629,0.629,-0.3330930873214171,0.28347975882859605,-0.34128614664104095,-0.31687789113428566,-0.021209584058848763,-0.02653594771241835,LR,1
0.626,0.626,-0.3901808475302046,0.24585599034675867,-0.4695263700499302,-0.3745050328510521,-0.10083453166454115,0.15986622073578594,LR,1
0.651,0.651,-0.3684294871794872,0.268765903307888,-0.33239506172839506,-0.3387342184952248,0.0006018091127568681,-0.10058719906048147,LR,1
0.634,0.634,-0.3614200444864061,0.262225198445105,-0.39719989629245533,-0.33773491427441943,-0.02888482369001849,0.007883026064844256,LR,1
0.623,0.623,-0.3556136898190371,0.25306245904118563,-0.3870580434743652,-0.3368552383314548,0.00306191127603328,-0.04309623430962345,LR,1
0.523,0.523,0.3901158696626337,1.7864240547167378,0.32746138996138996,0.40377314325480407,-0.22332321929153925,0.2485437600116499,KN,1
0.645,0.645,-0.3507614030456122,0.2768252554491699,-0.4100324778200254,-0.3286373485916704,-0.04857035701481113,0.06295682083410109,KN,1
0.6,0.6,-0.3360634737634306,0.6035756110460503,-0.26752087768134925,-0.30633420020641966,-0.020133410782303268,0.06395584923769793,KN,1
0.642,0.642,-0.04248511279038569,0.9148534876441647,-0.014616657473800254,0.0006189075781866393,-0.1463913533493849,0.16769815036219143,KN,1
0.509,0.509,0.007285711998206601,1.0084105843969795,0.02183537502686439,0.019509900938214086,-0.1033993969993208,0.09910648630633395,KN,1
0.604,0.604,-0.11022487026715355,0.7628940568475453,-0.10568405240020329,-0.09138453632155913,-0.1024666821388133,0.11570127504553734,KN,1
0.606,0.606,-0.022274780994001098,0.9569471624266145,-0.029735794133699867,0.007890255107063093,-0.15064164982761064,0.19367588932806323,KN,1
0.595,0.595,0.03990384615384612,1.0791984732824427,0.09970370370370374,0.07542837176799444,-0.15204855835398523,0.13955426866719312,KN,1
0.585,0.585,-0.34080107535485105,0.6084750436621014,-0.2757324345346124,-0.317495364392545,-0.053282731653925025,0.08096147171121137,KN,1
0.62,0.62,0.06406502504040068,1.134563358034649,0.10576492303281182,0.09294724838234128,-0.12832263823944856,0.11787030844130592,KN,1
