accuracies,acc_m,statistical_parity_difference,disparate_impact,equal_opportunity_difference,average_odds_difference,average_predictive_value_difference,false_discovery_rate_difference,classifier,seed
0.89,0.89,-0.676621215031048,0.1737414008755472,-0.1641012909632572,-0.2676046747856579,-0.26369880248537775,0.11826923076923078,DT,1
0.887,0.887,-0.6360225440901763,0.21708281427720305,-0.14125615763546795,-0.22381235215022988,-0.26368298334053886,0.20945945945945948,DT,1
0.875,0.875,-0.6345534899361099,0.23285324351007608,-0.11134648484046072,-0.24792842838233872,-0.34537390370424004,0.20322629277853158,DT,1
0.876,0.876,-0.6460668532823944,0.21595404488593842,-0.16440445325606223,-0.2635491055555552,-0.29648125538176817,0.23060956958706577,DT,1
0.873,0.873,-0.6551296216233528,0.22720146575497716,-0.13550985186250541,-0.2825401407164675,-0.3396882465574711,0.23867313915857602,DT,1
0.894,0.894,-0.6959446473188544,0.1784458309699376,-0.15895326618518635,-0.29277630101256463,-0.256388653682339,0.1484677923702314,DT,1
0.882,0.882,-0.6863321847774323,0.19322971548998946,-0.21096458896442516,-0.31365377061983746,-0.3214229161062757,0.1968864468864469,DT,1
0.886,0.886,-0.7153846153846154,0.14874141876430205,-0.26294117647058823,-0.34484565210856954,-0.2400468825284794,0.14931350114416475,DT,1
0.872,0.872,-0.6939799331103679,0.1798418972332016,-0.26864147088866186,-0.3603399200966091,-0.2971195471195471,0.1688311688311688,DT,1
0.854,0.854,-0.6301300820813133,0.21115884986329356,-0.17484206614641395,-0.30025887091104486,-0.3110917252952662,0.14526184538653367,DT,1
0.917,0.917,-0.7417738941168939,0.15510955557986073,-0.21226415094339623,-0.32030332089294355,-0.13870528569870078,0.06405193762131048,LR,1
0.917,0.917,-0.6839667358669435,0.19561658528324252,-0.10566502463054195,-0.23493275097875546,-0.15133742989291948,0.09152101363199276,LR,1
0.931,0.931,-0.6907095162607485,0.195000419897545,-0.07403680656692702,-0.21184276315427228,-0.16941696635604214,0.01904522893313257,LR,1
0.91,0.91,-0.7104132377027844,0.17516924564796907,-0.19792588073814243,-0.29759092528737874,-0.15456739759237803,0.10096153846153848,LR,1
0.912,0.912,-0.7047765448111319,0.1864099743985508,-0.1604199626060694,-0.2758476769407303,-0.1978499341236123,0.11438628623758694,LR,1
0.911,0.911,-0.7141552950221026,0.1691077817531306,-0.18389092204553548,-0.2845655998925979,-0.19125001923846463,0.12919871794871796,LR,1
0.919,0.919,-0.7492866547408945,0.1710380674925397,-0.21050045048734545,-0.33992003656442743,-0.15780925933598977,0.08763388510223952,LR,1
0.919,0.919,-0.7325320512820513,0.1478374347501864,-0.21235294117647063,-0.29404054825813825,-0.12876426518809694,0.07892324054718156,LR,1
0.902,0.902,-0.7421308668448257,0.15331951911929823,-0.28444707273802483,-0.37485322209411653,-0.16953259088806688,0.04690259475614726,LR,1
0.893,0.893,-0.7238675818813101,0.17600560974054952,-0.26179858788554444,-0.3750639131073914,-0.1612384440461896,0.07750979179550609,LR,1
0.903,0.903,-0.6987228730555022,0.1548780487804878,-0.22244289970208542,-0.27777364765324053,-0.21002608502608502,0.0873015873015873,KN,1
0.916,0.916,-0.6580666322665292,0.18994746249255265,-0.1334975369458128,-0.1986040630338912,-0.17467722532258176,0.10003510003510004,KN,1
0.912,0.912,-0.67552160894141,0.18535111179770403,-0.11963458228518475,-0.22759939749227437,-0.2143389135465974,0.026572855482614566,KN,1
0.916,0.916,-0.6724653699676826,0.17353492698628314,-0.18465761781302426,-0.22170145239205885,-0.16988720132869461,0.08707169995468646,KN,1
0.91,0.91,-0.6916462506605178,0.17612726024261846,-0.2045735653674673,-0.25480093519788616,-0.20706373337422151,0.12048503611971104,KN,1
0.898,0.898,-0.7197129860977641,0.15859641238812117,-0.220876380477378,-0.3282936668146969,-0.22109201645173573,0.12008281573498963,KN,1
0.905,0.905,-0.723866351314036,0.15721274811294378,-0.26682501979414097,-0.3189702235485688,-0.21766040864506342,0.09513457556935817,KN,1
0.907,0.907,-0.7016025641025642,0.1554783950617284,-0.18176470588235294,-0.26700652258859603,-0.19148080979575033,0.09408602150537636,KN,1
0.881,0.881,-0.71957561888912,0.14550395256916998,-0.3544701897747432,-0.37995186883663323,-0.237550787449981,0.11422146401985112,KN,1
0.883,0.883,-0.6880910094561513,0.17363232835648815,-0.25611827785740826,-0.33490803327759844,-0.2086309724374958,0.07336523125996809,KN,1
