accuracies,acc_m,statistical_parity_difference,disparate_impact,equal_opportunity_difference,average_odds_difference,average_predictive_value_difference,false_discovery_rate_difference,classifier,seed
0.742,0.742,-0.04028231227194162,0.9102481814291827,-0.07441475216879556,-0.031219499081281146,-0.01928791049789426,0.06140350877192979,DT,1
0.738,0.738,0.015780063120252485,1.0360995964531803,0.0024702121476315453,0.017783569430789764,-0.017603135548444226,0.03547904796540996,DT,1
0.745,0.745,-0.010216009351331434,0.9784131280663171,-0.032491191543882136,-0.0003554040141172943,-0.024259044650468853,0.05831202046035805,DT,1
0.743,0.743,-0.04125969620881742,0.9141015807376776,-0.0015889830508474256,-0.013672578051794768,-0.03460717361451959,0.023507519368069274,DT,1
0.726,0.726,-0.01437126707338554,0.967514252103882,0.035247140082020234,-0.015263687768400716,0.0312433088195921,-0.08551797040169135,DT,1
0.736,0.736,-0.022134665897879435,0.9472257226868294,-0.03179989944695827,-0.03621403280351966,0.04454160973569758,-0.05673435059473747,DT,1
0.737,0.737,-0.07227498109084801,0.854557754101133,-0.03371669541882305,-0.049355691250811407,-0.010869810134231342,-0.0064667842445620405,DT,1
0.739,0.739,-0.014423076923076927,0.9680851063829787,-0.0008581235697940892,0.009775492084040396,-0.05047903446559664,0.06879432624113474,DT,1
0.733,0.733,0.04168600278440099,1.1019449771064065,0.025696525696525696,0.04285413401802353,-0.027909375655371715,0.051285391697064475,DT,1
0.745,0.745,-0.026440423046768746,0.9422909027414004,0.0008474576271185752,-0.030671450996430802,0.028695796927709682,-0.06400404448938318,DT,1
0.812,0.812,-0.020597272901862917,0.9520026851644662,-0.03884214656262264,-0.005567972591723855,-0.025277182707900275,0.06029485599525308,LR,1
0.801,0.801,-0.054304217216868844,0.8796176423643748,-0.010109187528542396,-0.045148393810027325,0.03105971662053157,-0.07544471261285421,LR,1
0.8,0.8,-0.010143952859041516,0.9767454665589898,-0.0010810377962844342,0.005217462267094797,-0.022113369624555526,0.030197294735935187,LR,1
0.814,0.814,-0.04156004341018216,0.9087568137858274,0.014073849878934674,-0.005675349314031991,-0.026504480518056456,0.0050977060322854595,LR,1
0.807,0.807,0.016941281965060617,1.042007464464385,0.07053744873731926,0.01405233449123773,0.017573949788714877,-0.07407407407407407,LR,1
0.799,0.799,0.0004644756230379743,1.0011647989717636,-0.017345399698340924,-0.018082527610062057,0.0328340617704187,-0.038331908043664153,LR,1
0.799,0.799,-0.054594423701071315,0.8786514855008005,0.002817711328349626,-0.025128484607737575,-0.008188593789901985,-0.025922592259225913,LR,1
0.824,0.824,-0.046794871794871795,0.8932748538011696,-0.005816170861937531,-0.01075240235062816,-0.02499015682604938,0.02258305337812616,LR,1
0.799,0.799,0.017874573938647165,1.0432845074788808,0.0033855033855034744,0.019774556658083878,-0.019147311856304278,0.03975535168195721,LR,1
0.813,0.813,-0.022744363909822596,0.9456301396060431,0.004519774011299438,-0.02847101000431705,0.03389994935331728,-0.07435339618080734,LR,1
0.794,0.794,-0.009618462326355548,0.9754463373779466,-0.03108243602598193,0.0037169232910901143,-0.03541024189248064,0.07412060301507536,KN,1
0.786,0.786,-0.0004920019680078602,0.9986958043070268,0.03840245775729645,0.007781263958340133,-0.0003153508318726739,-0.03076100416525948,KN,1
0.796,0.796,0.02835022657763686,1.076122707827246,0.03447309417040356,0.04302941715681585,-0.04874241332306288,0.06927533122351551,KN,1
0.811,0.811,0.015157522095542442,1.0391501773911604,0.10305690072639229,0.052868766235575966,-0.05602587777059505,0.013728918140682861,KN,1
0.787,0.787,-0.012729980304558797,0.9661925113223193,0.026397582559896327,-0.016568409194547683,0.038762522399825194,-0.09093831273194822,KN,1
0.788,0.788,-0.004068165801781043,0.9892404795187868,-0.02576671694318744,-0.022255192311512663,0.0349341975258495,-0.037232084713610225,KN,1
0.779,0.779,-0.05780397712492846,0.8666691282354244,0.004830362277170819,-0.029789270813571092,-0.00525302173346269,-0.03891509433962265,KN,1
0.809,0.809,-0.003685897435897423,0.9903198653198654,0.019832189168573544,0.02771043001560851,-0.05756212986575707,0.07690161281321503,KN,1
0.778,0.778,0.04134195324126677,1.121565029173725,0.026029526029526018,0.04294374981861002,-0.03858186861605051,0.07189119170984457,KN,1
0.784,0.784,0.015008240131842099,1.0407250624118094,0.04759887005649721,0.010218972243379462,0.011773222084946411,-0.04748832602235745,KN,1
